MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2022 15:55:07,1.11.0,FR1,15,4.2,1,1,Left,Left,1,0,0,0,,,0.41
4/26/2022 15:55:23,1.11.0,FR1,15,4.2,2,1,Pellet,Left,1,0,1,0,12.94,,
4/26/2022 15:56:19,1.11.0,FR1,15,4.2,1,1,Right,Left,1,1,1,0,,,0.0
4/26/2022 15:57:45,1.11.0,FR1,15,4.2,1,1,Left,Left,2,1,1,0,,,0.28
4/26/2022 15:57:46,1.11.0,FR1,15,4.2,1,1,Pellet,Left,2,1,2,0,0.37,143.0,
4/26/2022 16:18:38,1.11.0,FR1,15,4.2,1,1,Left,Left,3,1,2,0,,,0.2
4/26/2022 16:18:41,1.11.0,FR1,15,4.2,2,1,Pellet,Left,3,1,3,0,0.25,1255.0,
4/26/2022 16:23:44,1.11.0,FR1,15,4.2,1,1,Right,Left,3,2,3,0,,,0.2
4/26/2022 16:52:16,1.11.0,FR1,15,4.2,1,1,Right,Left,3,3,3,0,,,0.17
4/26/2022 16:52:20,1.11.0,FR1,15,4.2,1,1,Left,Left,4,3,3,0,,,0.33
4/26/2022 16:52:21,1.11.0,FR1,15,4.2,1,1,Pellet,Left,4,3,4,0,0.44,2020.0,
4/26/2022 17:34:13,1.11.0,FR1,15,4.19,1,1,Left,Left,5,3,4,0,,,0.07
4/26/2022 17:34:16,1.11.0,FR1,15,4.2,2,1,Pellet,Left,5,3,5,0,0.25,2515.0,
4/26/2022 20:57:59,1.11.0,FR1,15,4.18,1,1,Left,Left,6,3,5,0,,,0.05
4/26/2022 20:58:00,1.11.0,FR1,15,4.2,1,1,Pellet,Left,6,3,6,0,0.37,12224.0,
4/26/2022 21:17:34,1.11.0,FR1,15,4.2,1,1,Left,Left,7,3,6,0,,,0.04
4/26/2022 21:17:35,1.11.0,FR1,15,4.2,1,1,Pellet,Left,7,3,7,0,0.19,1175.0,
4/26/2022 21:32:53,1.11.0,FR1,15,4.2,1,1,Right,Left,7,4,7,0,,,0.26
4/26/2022 21:32:56,1.11.0,FR1,15,4.2,1,1,Left,Left,8,4,7,0,,,0.06
4/26/2022 21:32:57,1.11.0,FR1,15,4.2,1,1,Pellet,Left,8,4,8,0,0.25,922.0,
4/26/2022 21:43:49,1.11.0,FR1,15,4.2,1,1,Left,Left,9,4,8,0,,,0.07
4/26/2022 21:43:50,1.11.0,FR1,15,4.2,1,1,Pellet,Left,9,4,9,0,0.25,653.0,
4/26/2022 21:44:10,1.11.0,FR1,15,4.2,1,1,Left,Left,10,4,9,0,,,0.26
4/26/2022 21:44:11,1.11.0,FR1,15,4.2,2,1,Pellet,Left,10,4,10,0,0.25,21.0,
4/26/2022 21:53:17,1.11.0,FR1,15,4.2,1,1,Right,Left,10,5,10,0,,,0.0
4/26/2022 21:54:01,1.11.0,FR1,15,4.2,1,1,Left,Left,11,5,10,0,,,0.37
4/26/2022 21:54:02,1.11.0,FR1,15,4.2,1,1,Pellet,Left,11,5,11,0,0.44,591.0,
4/26/2022 21:57:46,1.11.0,FR1,15,4.2,1,1,Left,Left,12,5,11,0,,,0.2
4/26/2022 21:57:47,1.11.0,FR1,15,4.2,1,1,Pellet,Left,12,5,12,0,0.19,225.0,
4/26/2022 22:04:59,1.11.0,FR1,15,4.2,1,1,Right,Left,12,6,12,0,,,0.65
4/26/2022 22:05:04,1.11.0,FR1,15,4.2,1,1,Left,Left,13,6,12,0,,,0.04
4/26/2022 22:05:05,1.11.0,FR1,15,4.2,1,1,Pellet,Left,13,6,13,0,0.37,438.0,
4/26/2022 23:17:40,1.11.0,FR1,15,4.2,1,1,Left,Left,14,6,13,0,,,0.02
4/26/2022 23:17:43,1.11.0,FR1,15,4.2,1,1,Pellet,Left,14,6,14,0,2.15,4358.0,
4/26/2022 23:18:10,1.11.0,FR1,15,4.2,1,1,Left,Left,15,6,14,0,,,0.04
4/26/2022 23:18:11,1.11.0,FR1,15,4.2,1,1,Pellet,Left,15,6,15,0,0.5,28.0,
4/26/2022 23:18:29,1.11.0,FR1,15,4.2,1,1,Left,Left,16,6,15,0,,,0.95
4/26/2022 23:18:30,1.11.0,FR1,15,4.2,1,1,Pellet,Left,16,6,16,0,0.25,19.0,
4/26/2022 23:19:14,1.11.0,FR1,15,4.2,1,1,Left,Left,17,6,16,0,,,0.3
4/26/2022 23:19:15,1.11.0,FR1,15,4.2,1,1,Pellet,Left,17,6,17,0,0.69,45.0,
4/26/2022 23:19:48,1.11.0,FR1,15,4.2,1,1,Left,Left,18,6,17,0,,,0.1
4/26/2022 23:19:51,1.11.0,FR1,15,4.2,2,1,Pellet,Left,18,6,18,0,0.25,36.0,
4/26/2022 23:20:13,1.11.0,FR1,15,4.2,1,1,Left,Left,19,6,18,0,,,0.44
4/26/2022 23:20:16,1.11.0,FR1,15,4.2,2,1,Pellet,Left,19,6,19,0,0.12,25.0,
4/26/2022 23:20:47,1.11.0,FR1,15,4.2,1,1,Left,Left,20,6,19,0,,,0.38
4/26/2022 23:21:02,1.11.0,FR1,15,4.2,3,1,Pellet,Left,20,6,20,0,9.64,46.0,
4/27/2022 0:59:33,1.11.0,FR1,15,4.2,1,1,Left,Left,21,6,20,0,,,0.13
4/27/2022 0:59:35,1.11.0,FR1,15,4.2,1,1,Pellet,Left,21,6,21,0,1.01,5913.0,
4/27/2022 0:59:52,1.11.0,FR1,15,4.2,1,1,Left,Left,22,6,21,0,,,0.02
4/27/2022 0:59:55,1.11.0,FR1,15,4.2,2,1,Pellet,Left,22,6,22,0,0.06,20.0,
4/27/2022 1:00:11,1.11.0,FR1,15,4.2,1,1,Left,Left,23,6,22,0,,,0.13
4/27/2022 1:00:14,1.11.0,FR1,15,4.2,2,1,Pellet,Left,23,6,23,0,0.06,18.0,
4/27/2022 1:00:36,1.11.0,FR1,15,4.2,1,1,Left,Left,24,6,23,0,,,0.12
4/27/2022 1:00:37,1.11.0,FR1,15,4.2,1,1,Pellet,Left,24,6,24,0,0.37,24.0,
4/27/2022 1:03:26,1.11.0,FR1,15,4.2,1,1,Right,Left,24,7,24,0,,,0.34
4/27/2022 1:03:29,1.11.0,FR1,15,4.2,1,1,Right,Left,24,8,24,0,,,0.22
4/27/2022 1:03:32,1.11.0,FR1,15,4.2,1,1,Left,Left,25,8,24,0,,,0.32
4/27/2022 1:03:33,1.11.0,FR1,15,4.2,1,1,Pellet,Left,25,8,25,0,0.37,176.0,
4/27/2022 1:03:49,1.11.0,FR1,15,4.2,1,1,Left,Left,26,8,25,0,,,0.23
4/27/2022 1:03:50,1.11.0,FR1,15,4.2,1,1,Pellet,Left,26,8,26,0,0.19,17.0,
4/27/2022 1:05:57,1.11.0,FR1,15,4.2,1,1,Left,Left,27,8,26,0,,,0.4
4/27/2022 1:05:59,1.11.0,FR1,15,4.2,1,1,Pellet,Left,27,8,27,0,0.5,129.0,
4/27/2022 1:07:49,1.11.0,FR1,15,4.2,1,1,Left,Left,28,8,27,0,,,0.05
4/27/2022 1:07:50,1.11.0,FR1,15,4.2,1,1,Pellet,Left,28,8,28,0,0.25,111.0,
4/27/2022 1:08:10,1.11.0,FR1,15,4.2,1,1,Left,Left,29,8,28,0,,,0.08
4/27/2022 1:08:14,1.11.0,FR1,15,4.2,2,1,Pellet,Left,29,8,29,0,0.63,24.0,
