MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/15/2022 16:58:04,1.11.0,FR3,7,4.19,1,3,Left,Left,1,0,0,0,nan,nan,0.11
3/15/2022 16:58:38,1.11.0,FR3,7,4.19,1,3,Right,Left,1,1,0,0,nan,nan,0.68
3/15/2022 16:58:42,1.11.0,FR3,7,4.19,1,3,Left,Left,2,1,0,0,nan,nan,0.12
3/15/2022 16:58:45,1.11.0,FR3,7,4.19,1,3,Left,Left,3,1,0,0,nan,nan,0.16
3/15/2022 16:58:46,1.11.0,FR3,7,4.19,1,3,Pellet,Left,3,1,1,0,0.06,nan,nan
3/15/2022 17:00:23,1.11.0,FR3,7,4.20,1,3,Right,Left,3,2,1,0,nan,nan,0.00
3/15/2022 17:05:26,1.11.0,FR3,7,4.19,1,3,Left,Left,4,2,1,0,nan,nan,0.20
3/15/2022 17:05:28,1.11.0,FR3,7,4.19,1,3,Left,Left,5,2,1,0,nan,nan,0.26
3/15/2022 17:05:29,1.11.0,FR3,7,4.19,1,3,Left,Left,6,2,1,0,nan,nan,0.37
3/15/2022 17:05:31,1.11.0,FR3,7,4.19,1,3,Pellet,Left,6,2,2,0,0.18,405,nan
3/15/2022 17:05:44,1.11.0,FR3,7,4.19,1,3,Left,Left,7,2,2,0,nan,nan,0.11
3/15/2022 17:05:46,1.11.0,FR3,7,4.19,1,3,Left,Left,8,2,2,0,nan,nan,0.08
3/15/2022 17:05:48,1.11.0,FR3,7,4.19,1,3,Left,Left,9,2,2,0,nan,nan,0.14
3/15/2022 17:05:51,1.11.0,FR3,7,4.19,2,3,Pellet,Left,9,2,3,0,0.06,21,nan
3/15/2022 17:06:16,1.11.0,FR3,7,4.19,1,3,Left,Left,10,2,3,0,nan,nan,0.01
3/15/2022 17:06:18,1.11.0,FR3,7,4.20,1,3,Left,Left,11,2,3,0,nan,nan,0.09
3/15/2022 17:06:20,1.11.0,FR3,7,4.19,1,3,Left,Left,12,2,3,0,nan,nan,0.03
3/15/2022 17:06:22,1.11.0,FR3,7,4.19,2,3,Pellet,Left,12,2,4,0,0.30,31,nan
3/15/2022 19:26:41,1.11.0,FR3,7,4.19,1,3,Left,Left,13,2,4,0,nan,nan,0.08
3/15/2022 19:26:43,1.11.0,FR3,7,4.18,1,3,Left,Left,14,2,4,0,nan,nan,0.09
3/15/2022 19:26:44,1.11.0,FR3,7,4.19,1,3,Left,Left,15,2,4,0,nan,nan,0.24
3/15/2022 19:26:57,1.11.0,FR3,7,4.20,4,3,Pellet,Left,15,2,5,0,5.64,8435,nan
3/15/2022 19:27:14,1.11.0,FR3,7,4.19,1,3,Left,Left,16,2,5,0,nan,nan,0.09
3/15/2022 19:27:32,1.11.0,FR3,7,4.19,1,3,Left,Left,17,2,5,0,nan,nan,0.05
3/15/2022 19:27:33,1.11.0,FR3,7,4.19,1,3,Left,Left,18,2,5,0,nan,nan,0.05
3/15/2022 19:27:37,1.11.0,FR3,7,4.20,2,3,Pellet,Left,18,2,6,0,0.73,40,nan
3/15/2022 19:27:51,1.11.0,FR3,7,4.20,1,3,Left,Left,19,2,6,0,nan,nan,0.03
3/15/2022 19:27:53,1.11.0,FR3,7,4.20,1,3,Left,Left,20,2,6,0,nan,nan,0.12
3/15/2022 19:27:55,1.11.0,FR3,7,4.19,1,3,Left,Left,21,2,6,0,nan,nan,0.89
3/15/2022 19:27:57,1.11.0,FR3,7,4.20,1,3,Pellet,Left,21,2,7,0,0.12,19,nan
3/15/2022 19:28:10,1.11.0,FR3,7,4.19,1,3,Left,Left,22,2,7,0,nan,nan,0.28
3/15/2022 19:28:15,1.11.0,FR3,7,4.19,1,3,Left,Left,23,2,7,0,nan,nan,0.12
3/15/2022 19:28:16,1.11.0,FR3,7,4.19,1,3,Left,Left,24,2,7,0,nan,nan,0.00
3/15/2022 19:28:18,1.11.0,FR3,7,4.19,1,3,Pellet,Left,24,2,8,0,0.36,21,nan
3/15/2022 19:41:34,1.11.0,FR3,7,4.20,1,3,Left,Left,25,2,8,0,nan,nan,0.05
3/15/2022 19:43:03,1.11.0,FR3,7,4.19,1,3,Left,Left,26,2,8,0,nan,nan,1.18
3/15/2022 19:43:05,1.11.0,FR3,7,4.20,1,3,Left,Left,27,2,8,0,nan,nan,0.44
3/15/2022 19:43:06,1.11.0,FR3,7,4.20,2,3,Pellet,Left,27,2,9,0,0.36,889,nan
3/15/2022 19:44:58,1.11.0,FR3,7,4.19,1,3,Left,Left,28,2,9,0,nan,nan,0.16
3/15/2022 19:45:00,1.11.0,FR3,7,4.19,1,3,Left,Left,29,2,9,0,nan,nan,0.19
3/15/2022 19:45:05,1.11.0,FR3,7,4.19,1,3,Left,Left,30,2,9,0,nan,nan,0.11
3/15/2022 19:45:06,1.11.0,FR3,7,4.19,1,3,Pellet,Left,30,2,10,0,0.67,120,nan
3/15/2022 19:45:18,1.11.0,FR3,7,4.19,1,3,Left,Left,31,2,10,0,nan,nan,0.16
3/15/2022 19:45:20,1.11.0,FR3,7,4.19,1,3,Left,Left,32,2,10,0,nan,nan,0.26
3/15/2022 19:45:21,1.11.0,FR3,7,4.19,1,3,Left,Left,33,2,10,0,nan,nan,0.23
3/15/2022 19:45:23,1.11.0,FR3,7,4.20,2,3,Pellet,Left,33,2,11,0,0.06,16,nan
3/15/2022 19:45:33,1.11.0,FR3,7,4.19,1,3,Left,Left,34,2,11,0,nan,nan,0.09
3/15/2022 19:45:35,1.11.0,FR3,7,4.20,1,3,Left,Left,35,2,11,0,nan,nan,0.12
3/15/2022 19:45:39,1.11.0,FR3,7,4.19,1,3,Left,Left,36,2,11,0,nan,nan,0.20
3/15/2022 19:45:41,1.11.0,FR3,7,4.20,1,3,Pellet,Left,36,2,12,0,0.18,18,nan
3/15/2022 20:52:41,1.11.0,FR3,7,4.18,1,3,Left,Left,37,2,12,0,nan,nan,0.38
3/15/2022 20:52:46,1.11.0,FR3,7,4.18,1,3,Left,Left,38,2,12,0,nan,nan,0.22
3/15/2022 20:52:47,1.11.0,FR3,7,4.19,1,3,Left,Left,39,2,12,0,nan,nan,0.13
3/15/2022 20:52:49,1.11.0,FR3,7,4.18,1,3,Pellet,Left,39,2,13,0,0.30,4028,nan
3/15/2022 20:53:02,1.11.0,FR3,7,4.19,1,3,Left,Left,40,2,13,0,nan,nan,0.12
3/15/2022 20:53:07,1.11.0,FR3,7,4.18,1,3,Left,Left,41,2,13,0,nan,nan,0.17
3/15/2022 20:53:09,1.11.0,FR3,7,4.18,1,3,Left,Left,42,2,13,0,nan,nan,0.09
3/15/2022 20:53:10,1.11.0,FR3,7,4.18,1,3,Pellet,Left,42,2,14,0,0.55,22,nan
3/15/2022 20:53:21,1.11.0,FR3,7,4.18,1,3,Left,Left,43,2,14,0,nan,nan,0.12
3/15/2022 20:53:27,1.11.0,FR3,7,4.18,1,3,Left,Left,44,2,14,0,nan,nan,0.24
3/15/2022 20:53:29,1.11.0,FR3,7,4.18,1,3,Left,Left,45,2,14,0,nan,nan,0.63
3/15/2022 20:53:30,1.11.0,FR3,7,4.19,1,3,Pellet,Left,45,2,15,0,0.06,19,nan
3/15/2022 20:53:39,1.11.0,FR3,7,4.19,1,3,Left,Left,46,2,15,0,nan,nan,0.13
3/15/2022 20:53:40,1.11.0,FR3,7,4.18,1,3,Left,Left,47,2,15,0,nan,nan,0.04
3/15/2022 20:53:42,1.11.0,FR3,7,4.18,1,3,Left,Left,48,2,15,0,nan,nan,0.56
3/15/2022 20:53:54,1.11.0,FR3,7,4.18,2,3,Pellet,Left,48,2,16,0,9.03,25,nan
3/15/2022 20:54:09,1.11.0,FR3,7,4.19,1,3,Left,Left,49,2,16,0,nan,nan,0.11
3/15/2022 20:54:13,1.11.0,FR3,7,4.19,1,3,Left,Left,50,2,16,0,nan,nan,0.22
3/15/2022 20:54:16,1.11.0,FR3,7,4.19,1,3,Left,Left,51,2,16,0,nan,nan,0.13
3/15/2022 20:54:17,1.11.0,FR3,7,4.19,1,3,Pellet,Left,51,2,17,0,0.12,23,nan
3/15/2022 21:08:01,1.11.0,FR3,7,4.19,1,3,Right,Left,51,3,17,0,nan,nan,0.06
3/15/2022 21:13:18,1.11.0,FR3,7,4.19,1,3,Left,Left,52,3,17,0,nan,nan,0.16
3/15/2022 21:13:19,1.11.0,FR3,7,4.19,1,3,Left,Left,53,3,17,0,nan,nan,0.00
3/15/2022 21:13:20,1.11.0,FR3,7,4.19,1,3,Left,Left,54,3,17,0,nan,nan,0.19
3/15/2022 21:13:22,1.11.0,FR3,7,4.20,1,3,Pellet,Left,54,3,18,0,0.24,1144,nan
3/15/2022 21:13:33,1.11.0,FR3,7,4.20,1,3,Left,Left,55,3,18,0,nan,nan,0.10
3/15/2022 21:13:44,1.11.0,FR3,7,4.19,1,3,Left,Left,56,3,18,0,nan,nan,0.09
3/15/2022 21:15:05,1.11.0,FR3,7,4.19,1,3,Left,Left,57,3,18,0,nan,nan,0.63
3/15/2022 21:15:09,1.11.0,FR3,7,4.19,2,3,LeftWithPellet,Left,58,3,18,0,nan,nan,0.08
3/15/2022 21:17:22,1.11.0,FR3,7,4.20,2,3,Pellet,Left,58,3,19,0,Timed_out,241,nan
3/15/2022 21:32:49,1.11.0,FR3,7,4.19,1,3,Right,Left,58,4,19,0,nan,nan,0.16
3/15/2022 21:32:54,1.11.0,FR3,7,4.19,1,3,Left,Left,59,4,19,0,nan,nan,0.19
