MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/2/2022 17:13:22,1.11.0,Free_feed,19,3.87,11,0,LeftWithPellet,Left,1,0,0,0,,,0.17
2/2/2022 17:13:42,1.11.0,Free_feed,19,3.85,11,0,RightWithPellet,Left,1,1,0,0,,,0.12
2/2/2022 17:17:28,1.11.0,Free_feed,19,3.86,11,0,RightWithPellet,Left,1,2,0,0,,,0.52
2/2/2022 17:18:01,1.11.0,Free_feed,19,3.85,11,0,Pellet,Left,1,2,1,0,Timed_out,,
2/2/2022 17:32:26,1.11.0,Free_feed,19,3.85,1,0,RightWithPellet,Left,1,3,1,0,,,2.07
2/2/2022 17:35:31,1.11.0,Free_feed,19,3.85,1,0,LeftWithPellet,Left,2,3,1,0,,,0.28
2/2/2022 18:33:23,1.11.0,Free_feed,19,3.85,1,0,RightWithPellet,Left,2,4,1,0,,,0.17
2/2/2022 18:36:09,1.11.0,Free_feed,19,3.84,1,0,Pellet,Left,2,4,2,0,Timed_out,4688.0,
2/2/2022 18:44:36,1.11.0,Free_feed,19,3.84,1,0,Pellet,Left,2,4,3,0,Timed_out,507.0,
2/2/2022 18:44:48,1.11.0,Free_feed,19,3.84,1,0,Pellet,Left,2,4,4,0,5.75,12.0,
2/2/2022 18:52:02,1.11.0,Free_feed,19,3.84,1,0,LeftWithPellet,Left,3,4,4,0,,,0.21
2/2/2022 21:01:08,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,3,4,5,0,Timed_out,8180.0,
2/2/2022 21:01:19,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,3,4,6,0,4.68,11.0,
2/2/2022 21:04:22,1.11.0,Free_feed,19,3.82,1,0,RightWithPellet,Left,3,5,6,0,,,0.11
2/2/2022 21:04:27,1.11.0,Free_feed,19,3.82,1,0,LeftWithPellet,Left,4,5,6,0,,,0.17
2/2/2022 21:07:07,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,5,7,0,Timed_out,348.0,
2/2/2022 21:10:29,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,5,8,0,Timed_out,202.0,
2/2/2022 21:22:00,1.11.0,Free_feed,19,3.82,1,0,RightWithPellet,Left,4,6,8,0,,,0.1
2/2/2022 21:25:20,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,6,9,0,Timed_out,891.0,
2/2/2022 21:28:14,1.11.0,Free_feed,19,3.82,6,0,Pellet,Left,4,6,10,0,Timed_out,174.0,
2/2/2022 21:28:18,1.11.0,Free_feed,19,3.81,1,0,Pellet,Left,4,6,11,0,3.10,4.0,
2/2/2022 21:28:19,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,6,12,0,0.06,1.0,
2/2/2022 21:28:43,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,6,13,0,17.12,24.0,
2/2/2022 21:29:21,1.11.0,Free_feed,19,3.82,1,0,RightWithPellet,Left,4,7,13,0,,,1.06
2/2/2022 21:31:04,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,7,14,0,Timed_out,140.0,
2/2/2022 21:35:43,1.11.0,Free_feed,19,3.82,1,0,Pellet,Left,4,7,15,0,Timed_out,280.0,
