MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/25/2023 17:20:51,1.17.0,FR1,2,4.13,,1,Left,Left,1,0,0,0,,,0.48
3/25/2023 17:21:27,1.17.0,FR1,2,4.13,1.0,1,Pellet,Left,1,0,1,0,35.23,,
3/25/2023 18:21:03,1.17.0,FR1,2,4.12,,1,Right,Left,1,1,1,0,,,0.03
3/25/2023 18:21:05,1.17.0,FR1,2,4.12,,1,Right,Left,1,2,1,0,,,0.0
3/25/2023 18:22:24,1.17.0,FR1,2,4.12,,1,Right,Left,1,3,1,0,,,0.04
3/25/2023 18:43:29,1.17.0,FR1,2,4.12,,1,Left,Left,2,3,1,0,,,0.16
3/25/2023 18:43:41,1.17.0,FR1,2,4.13,1.0,1,Pellet,Left,2,3,2,0,10.24,4933.0,
3/25/2023 19:19:11,1.17.0,FR1,2,4.13,,1,Right,Left,2,4,2,0,,,0.43
3/25/2023 19:24:39,1.17.0,FR1,2,4.12,,1,Right,Left,2,5,2,0,,,0.21
3/25/2023 19:25:06,1.17.0,FR1,2,4.12,,1,Left,Left,3,5,2,0,,,0.09
3/25/2023 19:25:06,1.17.0,FR1,2,4.12,,1,LeftDuringDispense,Left,3,5,2,0,,,0.06
3/25/2023 19:25:17,1.17.0,FR1,2,4.12,2.0,1,Pellet,Left,3,5,3,0,7.88,2497.0,
3/25/2023 19:34:02,1.17.0,FR1,2,4.13,,1,Left,Left,4,5,3,0,,,0.9
3/25/2023 19:34:09,1.17.0,FR1,2,4.13,1.0,1,Pellet,Left,4,5,4,0,5.70,532.0,
3/25/2023 19:35:08,1.17.0,FR1,2,4.12,,1,Left,Left,5,5,4,0,,,0.35
3/25/2023 19:35:17,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,5,5,5,0,7.72,68.0,
3/25/2023 19:52:49,1.17.0,FR1,2,4.13,,1,Right,Left,5,6,5,0,,,0.03
3/25/2023 19:53:13,1.17.0,FR1,2,4.13,,1,Left,Left,6,6,5,0,,,0.04
3/25/2023 19:53:18,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,6,6,6,0,4.53,1081.0,
3/25/2023 19:53:43,1.17.0,FR1,2,4.13,,1,Left,Left,7,6,6,0,,,0.18
3/25/2023 19:53:46,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,7,6,7,0,2.87,28.0,
3/25/2023 20:21:45,1.17.0,FR1,2,4.13,,1,Right,Left,7,7,7,0,,,0.08
3/25/2023 20:31:30,1.17.0,FR1,2,4.12,,1,Right,Left,7,8,7,0,,,0.44
3/25/2023 20:51:12,1.17.0,FR1,2,4.12,,1,Right,Left,7,9,7,0,,,0.08
3/25/2023 20:59:54,1.17.0,FR1,2,4.12,,1,Left,Left,8,9,7,0,,,0.28
3/25/2023 20:59:57,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,8,9,8,0,2.32,3971.0,
3/25/2023 21:09:40,1.17.0,FR1,2,4.12,,1,Right,Left,8,10,8,0,,,0.26
3/25/2023 21:18:34,1.17.0,FR1,2,4.12,,1,Right,Left,8,11,8,0,,,0.23
3/25/2023 21:28:39,1.17.0,FR1,2,4.12,,1,Right,Left,8,12,8,0,,,0.24
3/25/2023 21:50:08,1.17.0,FR1,2,4.12,,1,Right,Left,8,13,8,0,,,0.09
3/25/2023 21:50:09,1.17.0,FR1,2,4.12,,1,Right,Left,8,14,8,0,,,0.12
3/25/2023 21:51:30,1.17.0,FR1,2,4.12,,1,Right,Left,8,15,8,0,,,0.05
3/25/2023 22:02:09,1.17.0,FR1,2,4.12,,1,Left,Left,9,15,8,0,,,0.62
3/25/2023 22:02:11,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,9,15,9,0,1.28,3734.0,
3/25/2023 22:10:33,1.17.0,FR1,2,4.12,,1,Right,Left,9,16,9,0,,,0.12
3/25/2023 22:10:52,1.17.0,FR1,2,4.12,,1,Left,Left,10,16,9,0,,,0.79
3/25/2023 22:10:56,1.17.0,FR1,2,4.12,2.0,1,Pellet,Left,10,16,10,0,0.61,525.0,
3/25/2023 22:13:55,1.17.0,FR1,2,4.12,,1,Left,Left,11,16,10,0,,,0.31
3/25/2023 22:13:58,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,11,16,11,0,2.20,182.0,
3/25/2023 22:15:05,1.17.0,FR1,2,4.12,,1,Left,Left,12,16,11,0,,,0.41
3/25/2023 22:15:06,1.17.0,FR1,2,4.12,,1,LeftDuringDispense,Left,12,16,11,0,,,0.0
3/25/2023 22:15:13,1.17.0,FR1,2,4.12,3.0,1,Pellet,Left,12,16,12,0,2.51,75.0,
3/25/2023 22:15:27,1.17.0,FR1,2,4.12,,1,Left,Left,13,16,12,0,,,0.43
3/25/2023 22:15:29,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,13,16,13,0,1.46,16.0,
3/25/2023 22:16:32,1.17.0,FR1,2,4.12,,1,Left,Left,14,16,13,0,,,0.35
3/25/2023 22:16:35,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,14,16,14,0,2.20,66.0,
3/25/2023 22:20:30,1.17.0,FR1,2,4.12,,1,Left,Left,15,16,14,0,,,0.18
3/25/2023 22:20:31,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,15,16,15,0,0.97,236.0,
3/25/2023 22:21:03,1.17.0,FR1,2,4.12,,1,Left,Left,16,16,15,0,,,0.53
3/25/2023 22:21:08,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,16,16,16,0,4.54,37.0,
3/25/2023 22:21:29,1.17.0,FR1,2,4.12,,1,Left,Left,17,16,16,0,,,0.12
3/25/2023 22:21:31,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,17,16,17,0,1.22,23.0,
3/25/2023 22:24:11,1.17.0,FR1,2,4.12,,1,Left,Left,18,16,17,0,,,0.32
3/25/2023 22:24:13,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,18,16,18,0,1.83,162.0,
3/25/2023 22:24:32,1.17.0,FR1,2,4.12,,1,Left,Left,19,16,18,0,,,0.18
3/25/2023 22:24:36,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,19,16,19,0,3.06,23.0,
3/25/2023 22:24:51,1.17.0,FR1,2,4.12,,1,Left,Left,20,16,19,0,,,0.06
3/25/2023 22:24:54,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,20,16,20,0,1.77,17.0,
3/25/2023 22:25:18,1.17.0,FR1,2,4.12,,1,Left,Left,21,16,20,0,,,0.12
3/25/2023 22:25:21,1.17.0,FR1,2,4.12,1.0,1,Pellet,Left,21,16,21,0,3.00,28.0,
3/25/2023 22:30:32,1.17.0,FR1,2,4.12,,1,Right,Left,21,17,21,0,,,0.04
