MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-05-29 20:24:50,1.17.0,FR1,6,4.05,,1,Poke,Left,1,0,0,0,,,0.03,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 20:24:58,1.17.0,FR1,6,4.04,3.0,1,Pellet,Left,1,0,1,0,3.06,,,0 days 00:00:08.000000000,1.0,,0.0,0.0,,0,FR1
2023-05-29 20:26:29,1.17.0,FR1,6,4.05,,1,Poke,Left,2,0,1,0,,,0.15,0 days 00:01:39.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 20:26:40,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,2,0,2,0,10.49,102.0,,0 days 00:01:50.000000000,1.0,1.7,0.0,0.0,,0,FR1
2023-05-29 20:28:38,1.17.0,FR1,6,4.06,,1,Poke,Left,3,0,2,0,,,0.01,0 days 00:03:48.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 20:29:02,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,3,0,3,0,23.24,142.0,,0 days 00:04:12.000000000,1.0,2.3666666666666667,0.0,0.0,,0,FR1
2023-05-29 20:33:23,1.17.0,FR1,6,4.05,,1,Poke,Left,4,0,3,0,,,0.01,0 days 00:08:33.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 20:33:24,1.17.0,FR1,6,4.05,,1,Poke,Left,4,0,3,0,,,0.07,0 days 00:08:34.000000000,0.0,,0.0,0.0,0.0,0,FR1
2023-05-29 20:33:39,1.17.0,FR1,6,4.05,2.0,1,Pellet,Left,4,0,4,0,12.09,277.0,,0 days 00:08:49.000000000,1.0,4.616666666666666,0.0,0.0,,0,FR1
2023-05-29 20:49:12,1.17.0,FR1,6,4.05,,1,Poke,Left,4,1,4,0,,,0.16,0 days 00:24:22.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:08:07,1.17.0,FR1,6,4.05,,1,Poke,Left,5,1,4,0,,,0.04,0 days 00:43:17.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:08:16,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,5,1,5,0,8.89,2077.0,,0 days 00:43:26.000000000,1.0,34.61666666666667,0.0,0.0,,0,FR1
2023-05-29 21:09:07,1.17.0,FR1,6,4.05,,1,Poke,Left,6,1,5,0,,,0.68,0 days 00:44:17.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:09:09,1.17.0,FR1,6,4.05,,1,Poke,Left,6,1,5,0,,,0.2,0 days 00:44:19.000000000,0.0,,0.0,0.0,0.0,0,FR1
2023-05-29 21:09:16,1.17.0,FR1,6,4.05,3.0,1,Pellet,Left,6,1,6,0,3.55,60.0,,0 days 00:44:26.000000000,1.0,1.0,0.0,0.0,,0,FR1
2023-05-29 21:16:09,1.17.0,FR1,6,4.05,,1,Poke,Left,6,2,6,0,,,0.08,0 days 00:51:19.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:29:34,1.17.0,FR1,6,4.05,,1,Poke,Left,7,2,6,0,,,0.27,0 days 01:04:44.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:29:37,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,7,2,7,0,2.75,1221.0,,0 days 01:04:47.000000000,1.0,20.35,0.0,0.0,,0,FR1
2023-05-29 21:32:53,1.17.0,FR1,6,4.05,,1,Poke,Left,8,2,7,0,,,0.02,0 days 01:08:03.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:33:13,1.17.0,FR1,6,4.05,2.0,1,Pellet,Left,8,2,8,0,16.83,216.0,,0 days 01:08:23.000000000,1.0,3.6,0.0,0.0,,0,FR1
2023-05-29 21:34:42,1.17.0,FR1,6,4.05,,1,Poke,Left,9,2,8,0,,,0.1,0 days 01:09:52.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:34:42,1.17.0,FR1,6,4.05,,1,Poke,Left,9,2,8,0,,,0.03,0 days 01:09:52.000000000,0.0,,0.0,0.0,0.0,0,FR1
2023-05-29 21:34:59,1.17.0,FR1,6,4.05,3.0,1,Pellet,Left,9,2,9,0,11.87,106.0,,0 days 01:10:09.000000000,1.0,1.7666666666666666,0.0,0.0,,0,FR1
2023-05-29 21:35:43,1.17.0,FR1,6,4.05,,1,Poke,Left,9,3,9,0,,,0.86,0 days 01:10:53.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:35:44,1.17.0,FR1,6,4.05,,1,Poke,Left,9,4,9,0,,,0.62,0 days 01:10:54.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:35:45,1.17.0,FR1,6,4.05,,1,Poke,Left,9,5,9,0,,,0.13,0 days 01:10:55.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:35:46,1.17.0,FR1,6,4.05,,1,Poke,Left,9,6,9,0,,,0.0,0 days 01:10:56.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:40:07,1.17.0,FR1,6,4.05,,1,Poke,Left,9,7,9,0,,,0.66,0 days 01:15:17.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:40:09,1.17.0,FR1,6,4.05,,1,Poke,Left,9,8,9,0,,,0.25,0 days 01:15:19.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 21:45:00,1.17.0,FR1,6,4.05,,1,Poke,Left,10,8,9,0,,,0.56,0 days 01:20:10.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:45:06,1.17.0,FR1,6,4.04,1.0,1,Pellet,Left,10,8,10,0,4.84,607.0,,0 days 01:20:16.000000000,1.0,10.116666666666667,0.0,0.0,,0,FR1
2023-05-29 21:45:53,1.17.0,FR1,6,4.05,,1,Poke,Left,11,8,10,0,,,0.16,0 days 01:21:03.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 21:45:56,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,11,8,11,0,2.08,50.0,,0 days 01:21:06.000000000,1.0,0.8333333333333334,0.0,0.0,,0,FR1
2023-05-29 22:04:57,1.17.0,FR1,6,4.05,,1,Poke,Left,12,8,11,0,,,0.02,0 days 01:40:07.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 22:04:59,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,12,8,12,0,1.71,1143.0,,0 days 01:40:09.000000000,1.0,19.05,0.0,0.0,,0,FR1
2023-05-29 22:05:12,1.17.0,FR1,6,4.05,,1,Poke,Left,13,8,12,0,,,0.15,0 days 01:40:22.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 22:05:14,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,13,8,13,0,1.1,15.0,,0 days 01:40:24.000000000,1.0,0.25,0.0,0.0,,0,FR1
2023-05-29 22:17:47,1.17.0,FR1,6,4.05,,1,Poke,Left,14,8,13,0,,,0.08,0 days 01:52:57.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 22:17:51,1.17.0,FR1,6,4.05,2.0,1,Pellet,Left,14,8,14,0,1.65,757.0,,0 days 01:53:01.000000000,1.0,12.616666666666667,0.0,0.0,,0,FR1
2023-05-29 22:18:15,1.17.0,FR1,6,4.05,,1,Poke,Left,14,9,14,0,,,0.54,0 days 01:53:25.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-05-29 22:18:19,1.17.0,FR1,6,4.05,,1,Poke,Left,15,9,14,0,,,0.68,0 days 01:53:29.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 22:18:21,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,15,9,15,0,1.03,30.0,,0 days 01:53:31.000000000,1.0,0.5,0.0,0.0,,0,FR1
2023-05-29 22:18:39,1.17.0,FR1,6,4.05,,1,Poke,Left,16,9,15,0,,,0.27,0 days 01:53:49.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-05-29 22:18:41,1.17.0,FR1,6,4.05,1.0,1,Pellet,Left,16,9,16,0,0.73,20.0,,0 days 01:53:51.000000000,1.0,0.3333333333333333,0.0,0.0,,0,FR1
2023-05-29 22:18:51,1.17.0,FR1,6,4.05,,1,Poke,Left,17,9,16,0,,,0.18,0 days 01:54:01.000000000,0.0,,1.0,0.0,1.0,0,FR1
