MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-03-08 19:55:15,1.17.0,FR1,5,3.97,,1,Poke,Left,0,1,0,0,,,0.25,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:00:43,1.17.0,FR1,5,3.97,,1,Poke,Left,0,2,0,0,,,0.19,0 days 00:05:28.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:01:15,1.17.0,FR1,5,3.97,,1,Poke,Left,1,2,0,0,,,0.1,0 days 00:06:00.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:01:24,1.17.0,FR1,5,3.97,1.0,1,Pellet,Left,1,2,1,0,8.7,,,0 days 00:06:09.000000000,1.0,,0.0,0.0,,0,FR1
2023-03-08 20:07:06,1.17.0,FR1,5,3.97,,1,Poke,Left,1,3,1,0,,,0.05,0 days 00:11:51.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:07:08,1.17.0,FR1,5,3.97,,1,Poke,Left,1,4,1,0,,,0.6,0 days 00:11:53.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:07:09,1.17.0,FR1,5,3.96,,1,Poke,Left,1,5,1,0,,,0.27,0 days 00:11:54.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:07:18,1.17.0,FR1,5,3.96,,1,Poke,Left,2,5,1,0,,,0.1,0 days 00:12:03.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:07:21,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,2,5,2,0,1.89,357.0,,0 days 00:12:06.000000000,1.0,5.95,0.0,0.0,,0,FR1
2023-03-08 20:14:28,1.17.0,FR1,5,3.96,,1,Poke,Left,3,5,2,0,,,0.0,0 days 00:19:13.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:14:33,1.17.0,FR1,5,3.97,1.0,1,Pellet,Left,3,5,3,0,5.02,432.0,,0 days 00:19:18.000000000,1.0,7.2,0.0,0.0,,0,FR1
2023-03-08 20:16:33,1.17.0,FR1,5,3.97,,1,Poke,Left,3,6,3,0,,,0.04,0 days 00:21:18.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:20:31,1.17.0,FR1,5,3.96,,1,Poke,Left,4,6,3,0,,,0.09,0 days 00:25:16.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:20:36,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,4,6,4,0,4.9,363.0,,0 days 00:25:21.000000000,1.0,6.05,0.0,0.0,,0,FR1
2023-03-08 20:37:00,1.17.0,FR1,5,3.96,,1,Poke,Left,4,7,4,0,,,0.27,0 days 00:41:45.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:37:26,1.17.0,FR1,5,3.97,,1,Poke,Left,5,7,4,0,,,0.37,0 days 00:42:11.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:37:30,1.17.0,FR1,5,3.96,2.0,1,Pellet,Left,5,7,5,0,3.0,1014.0,,0 days 00:42:15.000000000,1.0,16.9,0.0,0.0,,0,FR1
2023-03-08 20:39:26,1.17.0,FR1,5,3.96,,1,Poke,Left,6,7,5,0,,,0.44,0 days 00:44:11.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:39:32,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,6,7,6,0,5.45,122.0,,0 days 00:44:17.000000000,1.0,2.033333333333333,0.0,0.0,,0,FR1
2023-03-08 20:41:00,1.17.0,FR1,5,3.96,,1,Poke,Left,6,8,6,0,,,0.48,0 days 00:45:45.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:41:01,1.17.0,FR1,5,3.96,,1,Poke,Left,6,9,6,0,,,1.02,0 days 00:45:46.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:46:50,1.17.0,FR1,5,3.97,,1,Poke,Left,7,9,6,0,,,0.44,0 days 00:51:35.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:46:53,1.17.0,FR1,5,3.97,1.0,1,Pellet,Left,7,9,7,0,2.32,441.0,,0 days 00:51:38.000000000,1.0,7.35,0.0,0.0,,0,FR1
2023-03-08 20:55:08,1.17.0,FR1,5,3.96,,1,Poke,Left,7,10,7,0,,,0.62,0 days 00:59:53.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 20:55:32,1.17.0,FR1,5,3.96,,1,Poke,Left,8,10,7,0,,,0.37,0 days 01:00:17.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:55:35,1.17.0,FR1,5,3.97,1.0,1,Pellet,Left,8,10,8,0,2.08,522.0,,0 days 01:00:20.000000000,1.0,8.7,0.0,0.0,,0,FR1
2023-03-08 20:55:53,1.17.0,FR1,5,3.96,,1,Poke,Left,9,10,8,0,,,0.47,0 days 01:00:38.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:55:59,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,9,10,9,0,4.66,24.0,,0 days 01:00:44.000000000,1.0,0.4,0.0,0.0,,0,FR1
2023-03-08 20:56:58,1.17.0,FR1,5,3.96,,1,Poke,Left,10,10,9,0,,,0.59,0 days 01:01:43.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:57:02,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,10,10,10,0,3.43,63.0,,0 days 01:01:47.000000000,1.0,1.05,0.0,0.0,,0,FR1
2023-03-08 20:57:22,1.17.0,FR1,5,3.96,,1,Poke,Left,11,10,10,0,,,0.81,0 days 01:02:07.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:57:28,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,11,10,11,0,5.14,26.0,,0 days 01:02:13.000000000,1.0,0.4333333333333333,0.0,0.0,,0,FR1
2023-03-08 20:57:53,1.17.0,FR1,5,3.96,,1,Poke,Left,12,10,11,0,,,0.04,0 days 01:02:38.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:57:55,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,12,10,12,0,1.52,27.0,,0 days 01:02:40.000000000,1.0,0.45,0.0,0.0,,0,FR1
2023-03-08 20:58:10,1.17.0,FR1,5,3.96,,1,Poke,Left,13,10,12,0,,,0.14,0 days 01:02:55.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:58:13,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,13,10,13,0,1.89,18.0,,0 days 01:02:58.000000000,1.0,0.3,0.0,0.0,,0,FR1
2023-03-08 20:58:40,1.17.0,FR1,5,3.97,,1,Poke,Left,14,10,13,0,,,0.3,0 days 01:03:25.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:58:42,1.17.0,FR1,5,3.97,1.0,1,Pellet,Left,14,10,14,0,1.59,29.0,,0 days 01:03:27.000000000,1.0,0.4833333333333333,0.0,0.0,,0,FR1
2023-03-08 20:59:16,1.17.0,FR1,5,3.97,,1,Poke,Left,15,10,14,0,,,0.69,0 days 01:04:01.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 20:59:18,1.17.0,FR1,5,3.96,2.0,1,Pellet,Left,15,10,15,0,1.03,36.0,,0 days 01:04:03.000000000,1.0,0.6,0.0,0.0,,0,FR1
2023-03-08 21:02:48,1.17.0,FR1,5,3.96,,1,Poke,Left,15,11,15,0,,,0.28,0 days 01:07:33.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:03:33,1.17.0,FR1,5,3.96,,1,Poke,Left,15,12,15,0,,,0.01,0 days 01:08:18.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:03:41,1.17.0,FR1,5,3.96,,1,Poke,Left,15,13,15,0,,,0.34,0 days 01:08:26.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:09:03,1.17.0,FR1,5,3.96,,1,Poke,Left,16,13,15,0,,,0.04,0 days 01:13:48.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-08 21:09:05,1.17.0,FR1,5,3.96,1.0,1,Pellet,Left,16,13,16,0,1.22,587.0,,0 days 01:13:50.000000000,1.0,9.783333333333331,0.0,0.0,,0,FR1
2023-03-08 21:11:48,1.17.0,FR1,5,3.96,,1,Poke,Left,16,14,16,0,,,0.31,0 days 01:16:33.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:11:51,1.17.0,FR1,5,3.96,,1,Poke,Left,16,15,16,0,,,0.1,0 days 01:16:36.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:38:21,1.17.0,FR1,5,3.96,,1,Poke,Left,16,16,16,0,,,0.33,0 days 01:43:06.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:38:27,1.17.0,FR1,5,3.96,,1,Poke,Left,16,17,16,0,,,1.31,0 days 01:43:12.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:38:55,1.17.0,FR1,5,3.96,,1,Poke,Left,16,18,16,0,,,0.29,0 days 01:43:40.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 21:39:00,1.17.0,FR1,5,3.96,,1,Poke,Left,16,19,16,0,,,0.64,0 days 01:43:45.000000000,0.0,,0.0,1.0,0.0,0,FR1
