MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/7/2023 20:14:12,1.17.0,Free_feed,5,4.04,10.0,1,Pellet,Left,0,0,1,0,Timed_out,,
3/7/2023 20:14:31,1.17.0,Free_feed,5,4.04,2.0,1,Pellet,Left,0,0,2,0,10.34,19.0,
3/7/2023 20:14:44,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,3,0,11.76,13.0,
3/7/2023 20:14:55,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,4,0,4.65,11.0,
3/7/2023 20:15:53,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,5,0,51.93,58.0,
3/7/2023 20:15:54,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,6,0,0.06,1.0,
3/7/2023 20:16:16,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,7,0,15.88,22.0,
3/7/2023 20:17:18,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,8,0,54.94,62.0,
3/7/2023 20:17:20,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,9,0,0.06,2.0,
3/7/2023 20:17:26,1.17.0,Free_feed,5,4.04,,1,LeftDuringDispense,Left,0,0,9,0,,,0.54
3/7/2023 20:18:58,1.17.0,Free_feed,5,4.04,2.0,1,Pellet,Left,0,0,10,0,Timed_out,98.0,
3/7/2023 20:19:00,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,11,0,0.91,2.0,
3/7/2023 20:19:17,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,12,0,10.71,17.0,
3/7/2023 20:21:17,1.17.0,Free_feed,5,4.04,1.0,1,Pellet,Left,0,0,13,0,Timed_out,120.0,
3/7/2023 20:24:08,1.17.0,Free_feed,5,4.04,2.0,1,Pellet,Left,0,0,14,0,Timed_out,171.0,
