MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-24 22:04:54,1.9.0,FR1,5,4.02,1,1,Left,Left,1,0,0,0,,,0.24
2022-10-24 22:07:24,1.9.0,FR1,5,4.02,3,1,Pellet,Left,1,0,1,0,Timed_out,,
2022-10-24 22:16:01,1.9.0,FR1,5,4.01,1,1,Right,Left,1,1,1,0,,,0.02
2022-10-24 22:24:53,1.9.0,FR1,5,4.01,1,1,Right,Left,1,2,1,0,,,0.08
2022-10-24 22:25:06,1.9.0,FR1,5,4.01,1,1,Left,Left,2,2,1,0,,,0.21
2022-10-24 22:25:22,1.9.0,FR1,5,4.01,1,1,Pellet,Left,2,2,2,0,15.39,1079.0,
2022-10-24 22:26:57,1.9.0,FR1,5,4.01,1,1,Left,Left,3,2,2,0,,,0.04
2022-10-24 22:27:00,1.9.0,FR1,5,4.01,1,1,Pellet,Left,3,2,3,0,2.37,98.0,
2022-10-24 22:48:07,1.9.0,FR1,5,4.01,1,1,Left,Left,4,2,3,0,,,0.44
2022-10-24 22:48:11,1.9.0,FR1,5,4.02,1,1,Pellet,Left,4,2,4,0,2.90,1271.0,
2022-10-24 22:49:33,1.9.0,FR1,5,4.02,1,1,Left,Left,5,2,4,0,,,0.04
2022-10-24 22:49:42,1.9.0,FR1,5,4.01,1,1,Pellet,Left,5,2,5,0,7.72,91.0,
2022-10-24 23:00:09,1.9.0,FR1,5,4.01,1,1,Left,Left,6,2,5,0,,,0.14
2022-10-24 23:00:12,1.9.0,FR1,5,4.01,1,1,Pellet,Left,6,2,6,0,2.63,630.0,
2022-10-24 23:11:13,1.9.0,FR1,5,4.01,1,1,Left,Left,7,2,6,0,,,0.02
2022-10-24 23:11:15,1.9.0,FR1,5,4.02,1,1,Pellet,Left,7,2,7,0,1.44,663.0,
