MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-09-26 22:26:10,1.9.0,FR1,18,4.05,1,1,Left,Left,1,0,0,0,,,0.09
2022-09-26 22:26:22,1.9.0,FR1,18,4.05,3,1,Pellet,Left,1,0,1,0,9.43,,
2022-09-26 22:30:00,1.9.0,FR1,18,4.05,1,1,Left,Left,2,0,1,0,,,0.1
2022-09-26 22:30:07,1.9.0,FR1,18,4.05,2,1,Pellet,Left,2,0,2,0,6.39,225.0,
2022-09-26 22:31:44,1.9.0,FR1,18,4.05,1,1,Left,Left,3,0,2,0,,,0.12
2022-09-26 22:31:47,1.9.0,FR1,18,4.05,2,1,Pellet,Left,3,0,3,0,1.97,100.0,
2022-09-26 22:32:43,1.9.0,FR1,18,4.05,1,1,Left,Left,4,0,3,0,,,0.38
2022-09-26 22:32:47,1.9.0,FR1,18,4.05,2,1,Pellet,Left,4,0,4,0,2.70,60.0,
2022-09-27 00:08:00,1.9.0,FR1,18,4.05,1,1,Right,Left,4,1,4,0,,,0.66
2022-09-27 02:32:43,1.9.0,FR1,18,4.05,1,1,Left,Left,5,1,4,0,,,0.05
2022-09-27 02:32:45,1.9.0,FR1,18,4.04,1,1,Pellet,Left,5,1,5,0,1.64,14398.0,
2022-09-27 02:42:04,1.9.0,FR1,18,4.05,1,1,Left,Left,6,1,5,0,,,0.85
2022-09-27 02:42:07,1.9.0,FR1,18,4.05,1,1,Pellet,Left,6,1,6,0,2.23,562.0,
2022-09-27 02:44:21,1.9.0,FR1,18,4.05,1,1,Left,Left,7,1,6,0,,,0.02
2022-09-27 02:44:25,1.9.0,FR1,18,4.04,1,1,Pellet,Left,7,1,7,0,3.03,138.0,
2022-09-27 02:47:06,1.9.0,FR1,18,4.05,1,1,Left,Left,8,1,7,0,,,0.19
2022-09-27 02:47:11,1.9.0,FR1,18,4.04,1,1,Pellet,Left,8,1,8,0,4.48,166.0,
2022-09-27 02:48:32,1.9.0,FR1,18,4.05,1,1,Left,Left,9,1,8,0,,,0.08
2022-09-27 02:48:36,1.9.0,FR1,18,4.04,1,1,Pellet,Left,9,1,9,0,3.09,85.0,
2022-09-27 02:50:12,1.9.0,FR1,18,4.05,1,1,Left,Left,10,1,9,0,,,0.02
2022-09-27 02:50:14,1.9.0,FR1,18,4.04,1,1,Pellet,Left,10,1,10,0,1.44,98.0,
2022-09-27 02:52:09,1.9.0,FR1,18,4.05,1,1,Left,Left,11,1,10,0,,,0.0
2022-09-27 02:52:12,1.9.0,FR1,18,4.04,1,1,Pellet,Left,11,1,11,0,1.77,118.0,
2022-09-27 02:57:57,1.9.0,FR1,18,4.05,1,1,Right,Left,11,2,11,0,,,0.81
2022-09-27 02:58:10,1.9.0,FR1,18,4.04,1,1,Left,Left,12,2,11,0,,,0.02
2022-09-27 02:58:12,1.9.0,FR1,18,4.05,1,1,Pellet,Left,12,2,12,0,1.18,360.0,
2022-09-27 03:12:03,1.9.0,FR1,18,4.04,1,1,Left,Left,13,2,12,0,,,0.01
2022-09-27 03:12:06,1.9.0,FR1,18,4.04,1,1,Pellet,Left,13,2,13,0,1.64,834.0,
2022-09-27 03:13:43,1.9.0,FR1,18,4.04,1,1,Left,Left,14,2,13,0,,,0.27
2022-09-27 03:13:47,1.9.0,FR1,18,4.05,2,1,Pellet,Left,14,2,14,0,1.44,101.0,
2022-09-27 03:14:34,1.9.0,FR1,18,4.04,1,1,Left,Left,15,2,14,0,,,0.08
2022-09-27 03:14:36,1.9.0,FR1,18,4.04,1,1,Pellet,Left,15,2,15,0,1.18,48.0,
2022-09-27 03:15:37,1.9.0,FR1,18,4.04,1,1,Left,Left,16,2,15,0,,,0.52
2022-09-27 03:15:39,1.9.0,FR1,18,4.04,1,1,Pellet,Left,16,2,16,0,0.92,64.0,
2022-09-27 04:07:31,1.9.0,FR1,18,4.04,1,1,Right,Left,16,3,16,0,,,0.03
2022-09-27 04:08:29,1.9.0,FR1,18,4.05,1,1,Left,Left,17,3,16,0,,,0.14
2022-09-27 04:08:31,1.9.0,FR1,18,4.04,1,1,Pellet,Left,17,3,17,0,1.05,3172.0,
2022-09-27 04:12:47,1.9.0,FR1,18,4.04,1,1,Left,Left,18,3,17,0,,,0.18
2022-09-27 04:12:49,1.9.0,FR1,18,4.04,1,1,Pellet,Left,18,3,18,0,1.64,258.0,
2022-09-27 04:13:47,1.9.0,FR1,18,4.04,1,1,Left,Left,19,3,18,0,,,0.51
2022-09-27 04:13:50,1.9.0,FR1,18,4.03,1,1,Pellet,Left,19,3,19,0,2.04,61.0,
2022-09-27 04:15:24,1.9.0,FR1,18,4.04,1,1,Left,Left,20,3,19,0,,,0.02
2022-09-27 04:15:26,1.9.0,FR1,18,4.04,1,1,Pellet,Left,20,3,20,0,1.44,96.0,
2022-09-27 04:15:59,1.9.0,FR1,18,4.04,1,1,Left,Left,21,3,20,0,,,0.03
