MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2022 15:57:17,1.11.0,FR1,2,4.22,1,1,Left,Left,1,0,0,0,,,0.41
4/26/2022 15:57:19,1.11.0,FR1,2,4.22,2,1,Pellet,Left,1,0,1,0,0.06,,
4/26/2022 15:58:47,1.11.0,FR1,2,4.22,1,1,Left,Left,2,0,1,0,,,0.29
4/26/2022 15:59:04,1.11.0,FR1,2,4.22,2,1,Pellet,Left,2,0,2,0,16.03,106.0,
4/26/2022 16:02:40,1.11.0,FR1,2,4.21,1,1,Left,Left,3,0,2,0,,,0.08
4/26/2022 16:07:55,1.11.0,FR1,2,4.22,1,1,LeftWithPellet,Left,4,0,2,0,,,0.17
4/26/2022 16:10:25,1.11.0,FR1,2,4.22,1,1,LeftWithPellet,Left,5,0,2,0,,,0.08
4/26/2022 16:12:16,1.11.0,FR1,2,4.22,1,1,RightWithPellet,Left,5,1,2,0,,,0.02
4/26/2022 16:13:47,1.11.0,FR1,2,4.22,1,1,Pellet,Left,5,1,3,0,Timed_out,882.0,
4/26/2022 16:19:12,1.11.0,FR1,2,4.22,1,1,Left,Left,6,1,3,0,,,0.05
4/26/2022 16:19:17,1.11.0,FR1,2,4.22,1,1,Pellet,Left,6,1,4,0,3.73,331.0,
4/26/2022 16:35:25,1.11.0,FR1,2,4.22,1,1,Left,Left,7,1,4,0,,,0.23
4/26/2022 16:35:27,1.11.0,FR1,2,4.22,1,1,Pellet,Left,7,1,5,0,0.06,969.0,
4/26/2022 16:39:06,1.11.0,FR1,2,4.22,1,1,Right,Left,7,2,5,0,,,0.15
4/26/2022 16:39:08,1.11.0,FR1,2,4.22,1,1,Left,Left,8,2,5,0,,,0.13
4/26/2022 16:39:10,1.11.0,FR1,2,4.22,1,1,Pellet,Left,8,2,6,0,0.48,224.0,
4/26/2022 16:49:21,1.11.0,FR1,2,4.22,1,1,Right,Left,8,3,6,0,,,0.01
4/26/2022 16:55:37,1.11.0,FR1,2,4.22,1,1,Left,Left,9,3,6,0,,,0.17
4/26/2022 16:55:40,1.11.0,FR1,2,4.22,2,1,Pellet,Left,9,3,7,0,0.18,990.0,
4/26/2022 17:18:30,1.11.0,FR1,2,4.21,1,1,Left,Left,10,3,7,0,,,0.05
4/26/2022 17:18:33,1.11.0,FR1,2,4.21,2,1,Pellet,Left,10,3,8,0,0.42,1373.0,
4/26/2022 17:18:57,1.11.0,FR1,2,4.21,1,1,Left,Left,11,3,8,0,,,0.09
4/26/2022 17:18:59,1.11.0,FR1,2,4.21,1,1,Pellet,Left,11,3,9,0,0.36,25.0,
4/26/2022 17:19:18,1.11.0,FR1,2,4.21,1,1,Left,Left,12,3,9,0,,,0.14
4/26/2022 17:19:19,1.11.0,FR1,2,4.21,1,1,Pellet,Left,12,3,10,0,0.30,21.0,
4/26/2022 17:19:36,1.11.0,FR1,2,4.21,1,1,Left,Left,13,3,10,0,,,0.09
4/26/2022 17:19:38,1.11.0,FR1,2,4.21,1,1,Pellet,Left,13,3,11,0,0.55,19.0,
4/26/2022 17:19:50,1.11.0,FR1,2,4.22,1,1,Left,Left,14,3,11,0,,,0.22
4/26/2022 17:19:51,1.11.0,FR1,2,4.2,2,1,Pellet,Left,14,3,12,0,0.18,13.0,
4/26/2022 17:20:14,1.11.0,FR1,2,4.21,1,1,Left,Left,15,3,12,0,,,0.14
4/26/2022 17:20:15,1.11.0,FR1,2,4.21,1,1,Pellet,Left,15,3,13,0,0.12,24.0,
4/26/2022 17:44:45,1.11.0,FR1,2,4.2,1,1,Left,Left,16,3,13,0,,,0.15
