MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/15/2022 16:43:23,1.11.0,FR3,22,4.18,1,3,Right,Left,0,1,0,0,nan,nan,0.15
3/15/2022 16:47:32,1.11.0,FR3,22,4.18,1,3,Left,Left,1,1,0,0,nan,nan,0.75
3/15/2022 16:47:34,1.11.0,FR3,22,4.18,1,3,Left,Left,2,1,0,0,nan,nan,0.67
3/15/2022 16:48:11,1.11.0,FR3,22,4.18,1,3,Right,Left,2,2,0,0,nan,nan,0.26
3/15/2022 16:48:31,1.11.0,FR3,22,4.18,1,3,Left,Left,3,2,0,0,nan,nan,0.13
3/15/2022 16:48:36,1.11.0,FR3,22,4.18,1,3,Pellet,Left,3,2,1,0,3.49,nan,nan
3/15/2022 18:26:15,1.11.0,FR3,22,4.16,1,3,Left,Left,4,2,1,0,nan,nan,0.19
3/15/2022 18:26:16,1.11.0,FR3,22,4.17,1,3,Left,Left,5,2,1,0,nan,nan,0.19
3/15/2022 18:26:17,1.11.0,FR3,22,4.17,1,3,Left,Left,6,2,1,0,nan,nan,0.29
3/15/2022 18:26:20,1.11.0,FR3,22,4.18,2,3,Pellet,Left,6,2,2,0,0.12,5864,nan
3/15/2022 19:41:12,1.11.0,FR3,22,4.17,1,3,Left,Left,7,2,2,0,nan,nan,0.11
3/15/2022 19:41:14,1.11.0,FR3,22,4.17,1,3,Left,Left,8,2,2,0,nan,nan,0.31
3/15/2022 20:35:34,1.11.0,FR3,22,4.16,1,3,Right,Left,8,3,2,0,nan,nan,0.07
3/15/2022 20:35:35,1.11.0,FR3,22,4.17,1,3,Right,Left,8,4,2,0,nan,nan,0.08
3/15/2022 20:36:41,1.11.0,FR3,22,4.16,1,3,Left,Left,9,4,2,0,nan,nan,0.16
3/15/2022 20:36:43,1.11.0,FR3,22,4.17,1,3,Pellet,Left,9,4,3,0,1.10,7823,nan
3/15/2022 20:37:02,1.11.0,FR3,22,4.18,1,3,Left,Left,10,4,3,0,nan,nan,0.07
3/15/2022 20:37:04,1.11.0,FR3,22,4.18,1,3,Left,Left,11,4,3,0,nan,nan,0.13
3/15/2022 20:37:07,1.11.0,FR3,22,4.18,1,3,Left,Left,12,4,3,0,nan,nan,0.07
3/15/2022 20:37:08,1.11.0,FR3,22,4.18,1,3,Pellet,Left,12,4,4,0,0.24,25,nan
3/15/2022 20:37:42,1.11.0,FR3,22,4.18,1,3,Right,Left,12,5,4,0,nan,nan,0.12
3/15/2022 20:46:23,1.11.0,FR3,22,4.17,1,3,Left,Left,13,5,4,0,nan,nan,0.39
3/15/2022 20:46:45,1.11.0,FR3,22,4.18,1,3,Left,Left,14,5,4,0,nan,nan,0.07
3/15/2022 20:46:58,1.11.0,FR3,22,4.18,1,3,Left,Left,15,5,4,0,nan,nan,0.05
3/15/2022 20:46:59,1.11.0,FR3,22,4.17,1,3,Pellet,Left,15,5,5,0,0.30,591,nan
3/15/2022 20:47:32,1.11.0,FR3,22,4.18,1,3,Left,Left,16,5,5,0,nan,nan,0.10
3/15/2022 20:47:34,1.11.0,FR3,22,4.18,1,3,Left,Left,17,5,5,0,nan,nan,0.26
3/15/2022 20:47:36,1.11.0,FR3,22,4.18,1,3,Left,Left,18,5,5,0,nan,nan,0.08
3/15/2022 20:47:39,1.11.0,FR3,22,4.17,2,3,Pellet,Left,18,5,6,0,0.06,40,nan
3/15/2022 20:47:58,1.11.0,FR3,22,4.18,1,3,Left,Left,19,5,6,0,nan,nan,0.07
3/15/2022 20:48:00,1.11.0,FR3,22,4.18,1,3,Left,Left,20,5,6,0,nan,nan,0.27
3/15/2022 20:48:06,1.11.0,FR3,22,4.18,1,3,Left,Left,21,5,6,0,nan,nan,0.24
3/15/2022 20:48:09,1.11.0,FR3,22,4.18,2,3,Pellet,Left,21,5,7,0,0.18,30,nan
3/15/2022 21:26:42,1.11.0,FR3,22,4.18,1,3,Right,Left,21,6,7,0,nan,nan,0.05
3/15/2022 21:29:46,1.11.0,FR3,22,4.17,1,3,Left,Left,22,6,7,0,nan,nan,0.03
3/15/2022 21:29:51,1.11.0,FR3,22,4.17,1,3,Right,Left,22,7,7,0,nan,nan,0.17
3/15/2022 21:32:22,1.11.0,FR3,22,4.18,1,3,Right,Left,22,8,7,0,nan,nan,0.14
3/15/2022 21:32:26,1.11.0,FR3,22,4.18,1,3,Left,Left,23,8,7,0,nan,nan,0.28
3/15/2022 21:32:29,1.11.0,FR3,22,4.18,1,3,Left,Left,24,8,7,0,nan,nan,0.18
3/15/2022 21:32:30,1.11.0,FR3,22,4.18,1,3,Pellet,Left,24,8,8,0,0.48,2661,nan
3/15/2022 21:32:53,1.11.0,FR3,22,4.18,1,3,Left,Left,25,8,8,0,nan,nan,0.08
3/15/2022 21:32:56,1.11.0,FR3,22,4.18,1,3,Left,Left,26,8,8,0,nan,nan,0.15
3/15/2022 21:38:49,1.11.0,FR3,22,4.18,1,3,Left,Left,27,8,8,0,nan,nan,0.14
3/15/2022 21:38:50,1.11.0,FR3,22,4.18,1,3,Pellet,Left,27,8,9,0,0.18,380,nan
3/15/2022 21:39:05,1.11.0,FR3,22,4.18,1,3,Left,Left,28,8,9,0,nan,nan,0.11
3/15/2022 21:39:07,1.11.0,FR3,22,4.18,1,3,Left,Left,29,8,9,0,nan,nan,0.08
3/15/2022 21:39:09,1.11.0,FR3,22,4.18,1,3,Left,Left,30,8,9,0,nan,nan,0.15
3/15/2022 21:39:12,1.11.0,FR3,22,4.18,2,3,Pellet,Left,30,8,10,0,0.06,22,nan
3/15/2022 21:39:25,1.11.0,FR3,22,4.18,1,3,Left,Left,31,8,10,0,nan,nan,0.14
3/15/2022 21:39:29,1.11.0,FR3,22,4.18,1,3,Left,Left,32,8,10,0,nan,nan,0.12
3/15/2022 21:39:31,1.11.0,FR3,22,4.18,1,3,Left,Left,33,8,10,0,nan,nan,0.15
3/15/2022 21:39:32,1.11.0,FR3,22,4.18,1,3,Pellet,Left,33,8,11,0,0.24,20,nan
3/15/2022 21:39:46,1.11.0,FR3,22,4.18,1,3,Left,Left,34,8,11,0,nan,nan,0.15
3/15/2022 21:39:48,1.11.0,FR3,22,4.18,1,3,Left,Left,35,8,11,0,nan,nan,0.46
3/15/2022 21:39:51,1.11.0,FR3,22,4.18,1,3,Left,Left,36,8,11,0,nan,nan,0.15
3/15/2022 21:39:52,1.11.0,FR3,22,4.18,2,3,Pellet,Left,36,8,12,0,0.24,20,nan
3/15/2022 21:40:03,1.11.0,FR3,22,4.18,1,3,Left,Left,37,8,12,0,nan,nan,0.04
3/15/2022 21:40:05,1.11.0,FR3,22,4.18,1,3,Left,Left,38,8,12,0,nan,nan,0.15
3/15/2022 21:40:07,1.11.0,FR3,22,4.18,1,3,Left,Left,39,8,12,0,nan,nan,0.21
3/15/2022 21:40:08,1.11.0,FR3,22,4.18,1,3,Pellet,Left,39,8,13,0,0.18,16,nan
3/15/2022 21:40:28,1.11.0,FR3,22,4.17,1,3,Left,Left,40,8,13,0,nan,nan,0.11
3/15/2022 21:40:29,1.11.0,FR3,22,4.18,1,3,Left,Left,41,8,13,0,nan,nan,0.16
3/15/2022 21:40:31,1.11.0,FR3,22,4.18,1,3,Left,Left,42,8,13,0,nan,nan,0.17
3/15/2022 21:40:32,1.11.0,FR3,22,4.18,1,3,Pellet,Left,42,8,14,0,0.12,23,nan
3/15/2022 21:40:45,1.11.0,FR3,22,4.18,1,3,Left,Left,43,8,14,0,nan,nan,0.10
3/15/2022 21:40:47,1.11.0,FR3,22,4.18,1,3,Left,Left,44,8,14,0,nan,nan,0.18
3/15/2022 21:40:49,1.11.0,FR3,22,4.18,1,3,Left,Left,45,8,14,0,nan,nan,0.13
3/15/2022 21:40:50,1.11.0,FR3,22,4.18,1,3,Pellet,Left,45,8,15,0,0.12,19,nan
3/15/2022 21:50:08,1.11.0,FR3,22,4.18,1,3,Right,Left,45,9,15,0,nan,nan,0.22
3/15/2022 21:50:48,1.11.0,FR3,22,4.18,1,3,Left,Left,46,9,15,0,nan,nan,0.11
3/15/2022 21:51:25,1.11.0,FR3,22,4.18,1,3,Right,Left,46,10,15,0,nan,nan,0.34
3/15/2022 21:52:34,1.11.0,FR3,22,4.18,1,3,Left,Left,47,10,15,0,nan,nan,0.20
3/15/2022 21:52:36,1.11.0,FR3,22,4.18,1,3,Left,Left,48,10,15,0,nan,nan,0.15
3/15/2022 21:52:37,1.11.0,FR3,22,4.18,1,3,Pellet,Left,48,10,16,0,0.67,707,nan
3/15/2022 21:52:52,1.11.0,FR3,22,4.17,1,3,Left,Left,49,10,16,0,nan,nan,0.03
3/15/2022 21:52:54,1.11.0,FR3,22,4.18,1,3,Left,Left,50,10,16,0,nan,nan,0.27
3/15/2022 21:53:07,1.11.0,FR3,22,4.18,1,3,Left,Left,51,10,16,0,nan,nan,0.07
3/15/2022 21:53:12,1.11.0,FR3,22,4.18,1,3,Pellet,Left,51,10,17,0,4.78,35,nan
3/15/2022 21:57:56,1.11.0,FR3,22,4.18,1,3,Right,Left,51,11,17,0,nan,nan,1.92
3/15/2022 21:58:01,1.11.0,FR3,22,4.18,1,3,Right,Left,51,12,17,0,nan,nan,0.08
3/15/2022 22:02:16,1.11.0,FR3,22,4.18,1,3,Left,Left,52,12,17,0,nan,nan,0.12
3/15/2022 22:02:17,1.11.0,FR3,22,4.18,1,3,Left,Left,53,12,17,0,nan,nan,0.14
3/15/2022 22:02:19,1.11.0,FR3,22,4.17,1,3,Left,Left,54,12,17,0,nan,nan,0.13
3/15/2022 22:02:20,1.11.0,FR3,22,4.18,1,3,Pellet,Left,54,12,18,0,0.30,548,nan
3/15/2022 22:02:32,1.11.0,FR3,22,4.18,1,3,Left,Left,55,12,18,0,nan,nan,0.02
3/15/2022 22:02:33,1.11.0,FR3,22,4.18,1,3,Left,Left,56,12,18,0,nan,nan,0.16
3/15/2022 22:02:35,1.11.0,FR3,22,4.18,1,3,Left,Left,57,12,18,0,nan,nan,0.14
3/15/2022 22:02:35,1.11.0,FR3,22,4.18,1,3,Pellet,Left,57,12,19,0,0.06,15,nan
3/15/2022 22:02:41,1.11.0,FR3,22,4.18,1,3,Left,Left,58,12,19,0,nan,nan,0.08
3/15/2022 22:02:44,1.11.0,FR3,22,4.17,1,3,Left,Left,59,12,19,0,nan,nan,0.12
3/15/2022 22:02:46,1.11.0,FR3,22,4.18,1,3,Left,Left,60,12,19,0,nan,nan,0.17
3/15/2022 22:02:47,1.11.0,FR3,22,4.18,1,3,Pellet,Left,60,12,20,0,0.12,12,nan
3/15/2022 22:02:59,1.11.0,FR3,22,4.18,1,3,Left,Left,61,12,20,0,nan,nan,0.09
3/15/2022 22:03:00,1.11.0,FR3,22,4.18,1,3,Left,Left,62,12,20,0,nan,nan,0.05
3/15/2022 22:03:02,1.11.0,FR3,22,4.18,1,3,Left,Left,63,12,20,0,nan,nan,0.17
3/15/2022 22:03:03,1.11.0,FR3,22,4.17,1,3,Pellet,Left,63,12,21,0,0.12,16,nan
3/15/2022 22:03:15,1.11.0,FR3,22,4.17,1,3,Left,Left,64,12,21,0,nan,nan,0.02
3/15/2022 22:03:16,1.11.0,FR3,22,4.17,1,3,Left,Left,65,12,21,0,nan,nan,0.22
3/15/2022 22:03:18,1.11.0,FR3,22,4.18,1,3,Left,Left,66,12,21,0,nan,nan,0.20
3/15/2022 22:03:19,1.11.0,FR3,22,4.18,1,3,Pellet,Left,66,12,22,0,0.06,15,nan
3/15/2022 22:03:34,1.11.0,FR3,22,4.17,1,3,Left,Left,67,12,22,0,nan,nan,0.13
3/15/2022 22:03:39,1.11.0,FR3,22,4.18,1,3,Left,Left,68,12,22,0,nan,nan,0.53
3/15/2022 22:03:41,1.11.0,FR3,22,4.17,1,3,Left,Left,69,12,22,0,nan,nan,0.23
3/15/2022 22:03:42,1.11.0,FR3,22,4.18,1,3,Pellet,Left,69,12,23,0,0.06,23,nan
3/15/2022 22:03:57,1.11.0,FR3,22,4.18,1,3,Left,Left,70,12,23,0,nan,nan,0.09
3/15/2022 22:03:59,1.11.0,FR3,22,4.18,1,3,Left,Left,71,12,23,0,nan,nan,0.14
3/15/2022 22:04:04,1.11.0,FR3,22,4.18,1,3,Left,Left,72,12,23,0,nan,nan,0.13
3/15/2022 22:04:05,1.11.0,FR3,22,4.18,2,3,Pellet,Left,72,12,24,0,0.06,24,nan
3/15/2022 22:04:18,1.11.0,FR3,22,4.18,1,3,Left,Left,73,12,24,0,nan,nan,0.15
3/15/2022 22:06:53,1.11.0,FR3,22,4.18,1,3,Right,Left,73,13,24,0,nan,nan,1.19
3/15/2022 22:09:50,1.11.0,FR3,22,4.18,1,3,Left,Left,74,13,24,0,nan,nan,0.13
3/15/2022 22:09:53,1.11.0,FR3,22,4.18,1,3,Left,Left,75,13,24,0,nan,nan,0.15
3/15/2022 22:09:55,1.11.0,FR3,22,4.18,1,3,Pellet,Left,75,13,25,0,1.65,350,nan
3/15/2022 22:17:08,1.11.0,FR3,22,4.18,1,3,Left,Left,76,13,25,0,nan,nan,0.00
3/15/2022 22:17:11,1.11.0,FR3,22,4.18,1,3,Left,Left,77,13,25,0,nan,nan,0.26
3/15/2022 22:17:16,1.11.0,FR3,22,4.18,1,3,Left,Left,78,13,25,0,nan,nan,0.15
3/15/2022 22:17:17,1.11.0,FR3,22,4.18,1,3,Pellet,Left,78,13,26,0,0.24,442,nan
3/15/2022 22:17:31,1.11.0,FR3,22,4.18,1,3,Left,Left,79,13,26,0,nan,nan,0.09
3/15/2022 22:17:34,1.11.0,FR3,22,4.18,1,3,Left,Left,80,13,26,0,nan,nan,0.27
3/15/2022 22:17:35,1.11.0,FR3,22,4.18,1,3,Left,Left,81,13,26,0,nan,nan,0.31
3/15/2022 22:17:36,1.11.0,FR3,22,4.18,1,3,Pellet,Left,81,13,27,0,0.30,19,nan
3/15/2022 22:17:54,1.11.0,FR3,22,4.18,1,3,Left,Left,82,13,27,0,nan,nan,0.17
3/15/2022 22:17:55,1.11.0,FR3,22,4.18,1,3,Left,Left,83,13,27,0,nan,nan,0.20
3/15/2022 22:18:00,1.11.0,FR3,22,4.18,1,3,Left,Left,84,13,27,0,nan,nan,0.31
3/15/2022 22:18:01,1.11.0,FR3,22,4.18,1,3,Pellet,Left,84,13,28,0,0.12,25,nan
3/15/2022 22:18:16,1.11.0,FR3,22,4.17,1,3,Left,Left,85,13,28,0,nan,nan,0.11
3/15/2022 22:18:17,1.11.0,FR3,22,4.18,1,3,Left,Left,86,13,28,0,nan,nan,0.21
3/15/2022 22:18:19,1.11.0,FR3,22,4.17,1,3,Left,Left,87,13,28,0,nan,nan,0.20
3/15/2022 22:18:22,1.11.0,FR3,22,4.18,2,3,Pellet,Left,87,13,29,0,0.49,21,nan
3/15/2022 22:23:04,1.11.0,FR3,22,4.17,1,3,Left,Left,88,13,29,0,nan,nan,0.08
3/15/2022 22:23:05,1.11.0,FR3,22,4.18,1,3,Left,Left,89,13,29,0,nan,nan,0.15
3/15/2022 22:23:08,1.11.0,FR3,22,4.18,1,3,Left,Left,90,13,29,0,nan,nan,0.05
3/15/2022 22:23:11,1.11.0,FR3,22,4.18,2,3,Pellet,Left,90,13,30,0,0.06,289,nan
3/15/2022 22:23:38,1.11.0,FR3,22,4.18,1,3,Left,Left,91,13,30,0,nan,nan,0.18
3/15/2022 22:23:39,1.11.0,FR3,22,4.18,1,3,Left,Left,92,13,30,0,nan,nan,0.12
3/15/2022 22:26:45,1.11.0,FR3,22,4.18,1,3,Left,Left,93,13,30,0,nan,nan,0.10
3/15/2022 22:26:46,1.11.0,FR3,22,4.17,1,3,Pellet,Left,93,13,31,0,0.42,215,nan
3/15/2022 22:26:58,1.11.0,FR3,22,4.18,1,3,Left,Left,94,13,31,0,nan,nan,0.19
3/15/2022 22:27:00,1.11.0,FR3,22,4.18,1,3,Left,Left,95,13,31,0,nan,nan,0.17
3/15/2022 22:27:01,1.11.0,FR3,22,4.18,1,3,Left,Left,96,13,31,0,nan,nan,0.16
