MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/15/2022 16:41:54,1.11.0,FR3,19,4.24,1,3,Left,Left,1,0,0,0,nan,nan,0.10
3/15/2022 16:41:55,1.11.0,FR3,19,4.25,1,3,Left,Left,2,0,0,0,nan,nan,0.08
3/15/2022 16:48:54,1.11.0,FR3,19,4.25,1,3,Left,Left,3,0,0,0,nan,nan,0.14
3/15/2022 16:48:59,1.11.0,FR3,19,4.25,2,3,Pellet,Left,3,0,1,0,1.26,nan,nan
3/15/2022 17:05:59,1.11.0,FR3,19,4.25,1,3,Right,Left,3,1,1,0,nan,nan,0.09
3/15/2022 17:10:24,1.11.0,FR3,19,4.25,1,3,Left,Left,4,1,1,0,nan,nan,0.00
3/15/2022 17:23:41,1.11.0,FR3,19,4.25,1,3,Right,Left,4,2,1,0,nan,nan,0.21
3/15/2022 19:17:30,1.11.0,FR3,19,4.24,1,3,Left,Left,5,2,1,0,nan,nan,0.08
3/15/2022 20:57:04,1.11.0,FR3,19,4.23,1,3,Left,Left,6,2,1,0,nan,nan,0.11
3/15/2022 20:57:16,1.11.0,FR3,19,4.25,7,3,Pellet,Left,6,2,2,0,0.25,14898,nan
3/15/2022 20:57:35,1.11.0,FR3,19,4.25,1,3,Left,Left,7,2,2,0,nan,nan,0.05
3/15/2022 20:57:36,1.11.0,FR3,19,4.24,1,3,Left,Left,8,2,2,0,nan,nan,0.05
3/15/2022 20:57:38,1.11.0,FR3,19,4.25,1,3,Left,Left,9,2,2,0,nan,nan,0.12
3/15/2022 20:57:42,1.11.0,FR3,19,4.24,3,3,Pellet,Left,9,2,3,0,0.82,26,nan
3/15/2022 20:58:02,1.11.0,FR3,19,4.25,1,3,Left,Left,10,2,3,0,nan,nan,0.09
3/15/2022 20:58:07,1.11.0,FR3,19,4.25,1,3,Left,Left,11,2,3,0,nan,nan,0.08
3/15/2022 20:58:09,1.11.0,FR3,19,4.24,1,3,Left,Left,12,2,3,0,nan,nan,0.04
3/15/2022 20:58:20,1.11.0,FR3,19,4.25,2,3,Pellet,Left,12,2,4,0,8.05,38,nan
3/15/2022 21:10:39,1.11.0,FR3,19,4.25,1,3,Right,Left,12,3,4,0,nan,nan,0.16
3/15/2022 21:43:18,1.11.0,FR3,19,4.25,1,3,Left,Left,13,3,4,0,nan,nan,0.07
3/15/2022 21:43:19,1.11.0,FR3,19,4.25,1,3,Left,Left,14,3,4,0,nan,nan,0.06
3/15/2022 21:43:20,1.11.0,FR3,19,4.24,1,3,Left,Left,15,3,4,0,nan,nan,0.14
3/15/2022 21:43:24,1.11.0,FR3,19,4.25,3,3,Pellet,Left,15,3,5,0,0.19,2704,nan
3/15/2022 21:43:47,1.11.0,FR3,19,4.25,1,3,Left,Left,16,3,5,0,nan,nan,0.06
3/15/2022 21:43:48,1.11.0,FR3,19,4.25,1,3,Left,Left,17,3,5,0,nan,nan,0.03
3/15/2022 21:43:50,1.11.0,FR3,19,4.25,1,3,Left,Left,18,3,5,0,nan,nan,0.13
3/15/2022 21:43:51,1.11.0,FR3,19,4.25,2,3,Pellet,Left,18,3,6,0,0.06,27,nan
3/15/2022 21:44:03,1.11.0,FR3,19,4.25,1,3,Left,Left,19,3,6,0,nan,nan,0.12
3/15/2022 21:44:05,1.11.0,FR3,19,4.25,1,3,Left,Left,20,3,6,0,nan,nan,0.05
3/15/2022 21:44:06,1.11.0,FR3,19,4.25,1,3,Left,Left,21,3,6,0,nan,nan,0.12
3/15/2022 21:44:12,1.11.0,FR3,19,4.24,3,3,Pellet,Left,21,3,7,0,0.44,21,nan
3/15/2022 21:44:20,1.11.0,FR3,19,4.24,1,3,Left,Left,22,3,7,0,nan,nan,0.06
3/15/2022 21:44:22,1.11.0,FR3,19,4.25,1,3,Left,Left,23,3,7,0,nan,nan,0.09
3/15/2022 21:44:23,1.11.0,FR3,19,4.25,1,3,Left,Left,24,3,7,0,nan,nan,0.25
3/15/2022 21:44:27,1.11.0,FR3,19,4.24,2,3,Pellet,Left,24,3,8,0,0.37,15,nan
3/15/2022 21:44:44,1.11.0,FR3,19,4.24,1,3,Left,Left,25,3,8,0,nan,nan,0.06
3/15/2022 21:44:46,1.11.0,FR3,19,4.24,1,3,Left,Left,26,3,8,0,nan,nan,0.10
3/15/2022 21:44:48,1.11.0,FR3,19,4.25,1,3,Left,Left,27,3,8,0,nan,nan,0.12
3/15/2022 21:44:53,1.11.0,FR3,19,4.25,4,3,Pellet,Left,27,3,9,0,0.25,26,nan
3/15/2022 21:45:14,1.11.0,FR3,19,4.25,1,3,Left,Left,28,3,9,0,nan,nan,0.18
3/15/2022 21:45:16,1.11.0,FR3,19,4.24,1,3,Left,Left,29,3,9,0,nan,nan,0.28
3/15/2022 21:45:18,1.11.0,FR3,19,4.25,1,3,Left,Left,30,3,9,0,nan,nan,0.31
3/15/2022 21:45:19,1.11.0,FR3,19,4.25,2,3,Pellet,Left,30,3,10,0,0.12,26,nan
3/15/2022 21:45:33,1.11.0,FR3,19,4.25,1,3,Left,Left,31,3,10,0,nan,nan,0.03
3/15/2022 21:45:35,1.11.0,FR3,19,4.25,1,3,Left,Left,32,3,10,0,nan,nan,0.06
3/15/2022 21:45:37,1.11.0,FR3,19,4.25,1,3,Left,Left,33,3,10,0,nan,nan,0.29
3/15/2022 21:45:41,1.11.0,FR3,19,4.25,2,3,Pellet,Left,33,3,11,0,0.56,21,nan
3/15/2022 21:46:12,1.11.0,FR3,19,4.24,1,3,Left,Left,34,3,11,0,nan,nan,0.06
3/15/2022 21:46:14,1.11.0,FR3,19,4.25,1,3,Left,Left,35,3,11,0,nan,nan,0.11
3/15/2022 21:46:16,1.11.0,FR3,19,4.25,1,3,Left,Left,36,3,11,0,nan,nan,0.22
3/15/2022 21:46:24,1.11.0,FR3,19,4.24,4,3,Pellet,Left,36,3,12,0,1.07,44,nan
