MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/3/2022 11:19:03,1.11.0,Free_feed,99,4.11,1,0,Pellet,Left,0,0,1,0,Timed_out,,
2/3/2022 11:19:13,1.11.0,Free_feed,99,4.11,1,0,RightWithPellet,Left,0,1,1,0,,,0.63
2/3/2022 11:19:47,1.11.0,Free_feed,99,4.11,1,0,Pellet,Left,0,1,2,0,37.91,44.0,
2/3/2022 11:20:00,1.11.0,Free_feed,99,4.11,1,0,Pellet,Left,0,1,3,0,5.75,13.0,
2/3/2022 11:21:56,1.11.0,Free_feed,99,4.11,1,0,LeftWithPellet,Left,1,1,3,0,,,0.72
2/3/2022 11:25:38,1.11.0,Free_feed,99,4.11,1,0,LeftWithPellet,Left,2,1,3,0,,,0.25
2/3/2022 11:34:05,1.11.0,Free_feed,99,4.11,1,0,Pellet,Left,2,1,4,0,Timed_out,844.0,
2/3/2022 11:34:25,1.11.0,Free_feed,99,4.12,1,0,RightWithPellet,Left,2,2,4,0,,,0.16
2/3/2022 11:34:43,1.11.0,Free_feed,99,4.12,1,0,RightWithPellet,Left,2,3,4,0,,,0.0
2/3/2022 11:34:44,1.11.0,Free_feed,99,4.12,1,0,RightWithPellet,Left,2,4,4,0,,,0.18
2/3/2022 11:39:43,1.11.0,Free_feed,99,4.12,1,0,LeftWithPellet,Left,3,4,4,0,,,0.22
2/3/2022 11:39:44,1.11.0,Free_feed,99,4.12,1,0,LeftWithPellet,Left,4,4,4,0,,,0.1
2/3/2022 11:39:46,1.11.0,Free_feed,99,4.12,1,0,LeftWithPellet,Left,5,4,4,0,,,0.31
2/3/2022 11:39:55,1.11.0,Free_feed,99,4.12,1,0,LeftWithPellet,Left,6,4,4,0,,,0.35
2/3/2022 11:39:57,1.11.0,Free_feed,99,4.11,1,0,LeftWithPellet,Left,7,4,4,0,,,0.46
2/3/2022 11:39:59,1.11.0,Free_feed,99,4.12,1,0,LeftWithPellet,Left,8,4,4,0,,,0.42
2/3/2022 11:40:01,1.11.0,Free_feed,99,4.12,1,0,Pellet,Left,8,4,5,0,Timed_out,357.0,
2/3/2022 12:44:36,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,4,6,0,Timed_out,3875.0,
2/3/2022 12:44:37,1.11.0,Free_feed,99,4.15,1,0,Pellet,Left,8,4,7,0,0.06,1.0,
2/3/2022 12:45:12,1.11.0,Free_feed,99,4.15,1,0,Pellet,Left,8,4,8,0,27.98,35.0,
2/3/2022 12:45:41,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,4,9,0,21.38,29.0,
2/3/2022 12:45:59,1.11.0,Free_feed,99,4.15,3,0,Pellet,Left,8,4,10,0,7.59,18.0,
2/3/2022 12:46:16,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,4,11,0,9.24,16.0,
2/3/2022 12:46:55,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,4,12,0,32.25,39.0,
2/3/2022 12:49:44,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,4,13,0,Timed_out,170.0,
2/3/2022 13:03:24,1.11.0,Free_feed,99,4.15,1,0,RightWithPellet,Left,8,5,13,0,,,0.19
2/3/2022 13:03:27,1.11.0,Free_feed,99,4.14,1,0,RightWithPellet,Left,8,6,13,0,,,0.22
2/3/2022 13:03:50,1.11.0,Free_feed,99,4.15,1,0,Pellet,Left,8,6,14,0,Timed_out,846.0,
2/3/2022 13:04:10,1.11.0,Free_feed,99,4.15,2,0,Pellet,Left,8,6,15,0,13.43,20.0,
2/3/2022 13:10:38,1.11.0,Free_feed,99,4.16,1,0,Pellet,Left,8,6,16,0,Timed_out,388.0,
2/3/2022 13:10:54,1.11.0,Free_feed,99,4.14,1,0,Pellet,Left,8,6,17,0,9.43,16.0,
2/3/2022 13:11:08,1.11.0,Free_feed,99,4.15,1,0,Pellet,Left,8,6,18,0,6.45,14.0,
2/3/2022 15:01:58,1.11.0,Free_feed,99,4.18,2,0,Pellet,Left,8,6,19,0,Timed_out,6650.0,
2/3/2022 15:02:40,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,20,0,35.00,42.0,
2/3/2022 15:03:55,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,21,0,Timed_out,75.0,
2/3/2022 15:04:11,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,22,0,9.31,16.0,
2/3/2022 15:04:26,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,23,0,7.98,15.0,
2/3/2022 15:04:43,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,24,0,10.20,17.0,
2/3/2022 15:05:00,1.11.0,Free_feed,99,4.18,1,0,Pellet,Left,8,6,25,0,10.51,17.0,
