MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-03-25 16:13:44,1.17.0,FR1,0,4.11,,1,Poke,Left,1,0,0,0,,,0.05,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-25 16:25:30,1.17.0,FR1,0,4.11,1.0,1,Pellet,Left,1,0,1,0,,,,0 days 00:11:46.000000000,1.0,,0.0,0.0,,0,FR1
2023-03-25 17:30:49,1.17.0,FR1,0,4.11,,1,Poke,Left,1,1,1,0,,,0.51,0 days 01:17:05.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-25 17:36:05,1.17.0,FR1,0,4.11,,1,Poke,Left,2,1,1,0,,,0.01,0 days 01:22:21.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-25 17:36:06,1.17.0,FR1,0,4.11,,1,Poke,Left,2,1,1,0,,,0.59,0 days 01:22:22.000000000,0.0,,0.0,0.0,0.0,0,FR1
2023-03-25 17:36:50,1.17.0,FR1,0,4.11,2.0,1,Pellet,Left,2,1,2,0,41.58,4280.0,,0 days 01:23:06.000000000,1.0,71.33333333333333,0.0,0.0,,0,FR1
2023-03-25 18:37:46,1.17.0,FR1,0,4.1,,1,Poke,Left,2,2,2,0,,,0.05,0 days 02:24:02.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-25 18:39:16,1.17.0,FR1,0,4.11,,1,Poke,Left,3,2,2,0,,,0.54,0 days 02:25:32.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-25 18:39:24,1.17.0,FR1,0,4.11,1.0,1,Pellet,Left,3,2,3,0,7.29,3754.0,,0 days 02:25:40.000000000,1.0,62.56666666666667,0.0,0.0,,0,FR1
2023-03-25 18:48:27,1.17.0,FR1,0,4.1,,1,Poke,Left,3,3,3,0,,,0.29,0 days 02:34:43.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-25 18:58:53,1.17.0,FR1,0,4.11,,1,Poke,Left,3,4,3,0,,,0.07,0 days 02:45:09.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-25 19:22:44,1.17.0,FR1,0,4.1,,1,Poke,Left,3,5,3,0,,,0.22,0 days 03:09:00.000000000,0.0,,0.0,1.0,0.0,0,FR1
