MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-03-06 19:33:22,1.17.0,FR1,3,4.09,,1,Poke,Left,1,0,0,0,,,0.22,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-06 20:01:09,1.17.0,FR1,3,4.09,1.0,1,Pellet,Left,1,0,1,0,,,,0 days 00:27:47.000000000,1.0,,0.0,0.0,,0,FR1
2023-03-06 20:02:34,1.17.0,FR1,3,4.09,,1,Poke,Left,2,0,1,0,,,0.6,0 days 00:29:12.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-06 20:02:40,1.17.0,FR1,3,4.09,1.0,1,Pellet,Left,2,0,2,0,4.59,90.0,,0 days 00:29:18.000000000,1.0,1.5166666666666666,0.0,0.0,,0,FR1
2023-03-06 20:29:07,1.17.0,FR1,3,4.09,,1,Poke,Left,3,0,2,0,,,0.5,0 days 00:55:45.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-06 20:29:21,1.17.0,FR1,3,4.09,1.0,1,Pellet,Left,3,0,3,0,13.44,1602.0,,0 days 00:55:59.000000000,1.0,26.683333333333334,0.0,0.0,,0,FR1
2023-03-06 20:31:16,1.17.0,FR1,3,4.09,,1,Poke,Left,3,1,3,0,,,0.05,0 days 00:57:54.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-06 20:31:59,1.17.0,FR1,3,4.09,,1,Poke,Left,4,1,3,0,,,0.64,0 days 00:58:37.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-06 20:32:05,1.17.0,FR1,3,4.09,2.0,1,Pellet,Left,4,1,4,0,3.79,164.0,,0 days 00:58:43.000000000,1.0,2.7333333333333334,0.0,0.0,,0,FR1
2023-03-06 20:33:16,1.17.0,FR1,3,4.09,,1,Poke,Left,4,2,4,0,,,0.91,0 days 00:59:54.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-06 20:36:12,1.17.0,FR1,3,4.09,,1,Poke,Left,5,2,4,0,,,0.16,0 days 01:02:50.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-03-06 20:36:17,1.17.0,FR1,3,4.09,1.0,1,Pellet,Left,5,2,5,0,4.41,252.0,,0 days 01:02:55.000000000,1.0,4.2,0.0,0.0,,0,FR1
2023-03-06 20:38:03,1.17.0,FR1,3,4.09,,1,Poke,Left,6,2,5,0,,,0.3,0 days 01:04:41.000000000,0.0,,1.0,0.0,1.0,0,FR1
