MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/6/2023 18:19:47,1.17.0,FR1,4,4.12,,1,Left,Left,1,0,0,0,,,0.05
3/6/2023 18:24:45,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,1,0,1,0,Timed_out,,
3/6/2023 19:41:31,1.17.0,FR1,4,4.12,,1,Right,Left,1,1,1,0,,,0.04
3/6/2023 19:41:32,1.17.0,FR1,4,4.12,,1,Right,Left,1,2,1,0,,,0.09
3/6/2023 19:41:33,1.17.0,FR1,4,4.11,,1,Right,Left,1,3,1,0,,,0.0
3/6/2023 19:41:36,1.17.0,FR1,4,4.11,,1,Right,Left,1,4,1,0,,,0.0
3/6/2023 19:41:37,1.17.0,FR1,4,4.12,,1,Right,Left,1,5,1,0,,,0.13
3/6/2023 19:43:45,1.17.0,FR1,4,4.12,,1,Right,Left,1,6,1,0,,,0.02
3/6/2023 19:47:29,1.17.0,FR1,4,4.11,,1,Right,Left,1,7,1,0,,,0.26
3/6/2023 20:51:22,1.17.0,FR1,4,4.11,,1,Left,Left,2,7,1,0,,,0.37
3/6/2023 20:51:52,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,2,7,2,0,29.31,8827.0,
3/6/2023 21:02:40,1.17.0,FR1,4,4.11,,1,Left,Left,3,7,2,0,,,0.06
3/6/2023 21:02:40,1.17.0,FR1,4,4.11,,1,LeftDuringDispense,Left,3,7,2,0,,,0.05
3/6/2023 21:02:50,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,3,7,3,0,6.68,658.0,
3/6/2023 21:03:35,1.17.0,FR1,4,4.11,,1,Left,Left,4,7,3,0,,,1.21
3/6/2023 21:03:35,1.17.0,FR1,4,4.11,,1,LeftDuringDispense,Left,4,7,3,0,,,0.02
3/6/2023 21:03:48,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,4,7,4,0,9.65,58.0,
3/6/2023 21:04:32,1.17.0,FR1,4,4.11,,1,Left,Left,5,7,4,0,,,0.88
3/6/2023 21:04:43,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,5,7,5,0,8.61,55.0,
3/6/2023 21:06:34,1.17.0,FR1,4,4.11,,1,Left,Left,6,7,5,0,,,1.27
3/6/2023 21:06:40,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,6,7,6,0,5.51,117.0,
3/6/2023 21:07:15,1.17.0,FR1,4,4.11,,1,Left,Left,7,7,6,0,,,0.04
3/6/2023 21:07:15,1.17.0,FR1,4,4.11,,1,LeftDuringDispense,Left,7,7,6,0,,,0.0
3/6/2023 21:07:24,1.17.0,FR1,4,4.11,3.0,1,Pellet,Left,7,7,7,0,4.04,44.0,
3/6/2023 21:07:56,1.17.0,FR1,4,4.11,,1,Left,Left,8,7,7,0,,,0.23
3/6/2023 21:08:01,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,8,7,8,0,4.96,37.0,
3/6/2023 21:10:41,1.17.0,FR1,4,4.11,,1,Left,Left,9,7,8,0,,,0.19
3/6/2023 21:10:46,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,9,7,9,0,4.40,165.0,
3/6/2023 21:12:20,1.17.0,FR1,4,4.11,,1,Right,Left,9,8,9,0,,,0.03
3/6/2023 21:13:32,1.17.0,FR1,4,4.11,,1,Left,Left,10,8,9,0,,,0.66
3/6/2023 21:13:38,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,10,8,10,0,5.57,172.0,
3/6/2023 21:14:45,1.17.0,FR1,4,4.11,,1,Left,Left,11,8,10,0,,,0.03
3/6/2023 21:14:52,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,11,8,11,0,4.34,74.0,
3/6/2023 21:17:06,1.17.0,FR1,4,4.11,,1,Left,Left,12,8,11,0,,,0.08
3/6/2023 21:17:21,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,12,8,12,0,14.11,148.0,
3/6/2023 21:23:06,1.17.0,FR1,4,4.11,,1,Left,Left,13,8,12,0,,,0.25
3/6/2023 21:23:11,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,13,8,13,0,4.65,351.0,
3/6/2023 21:23:55,1.17.0,FR1,4,4.11,,1,Left,Left,14,8,13,0,,,0.25
3/6/2023 21:24:00,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,14,8,14,0,3.49,49.0,
3/6/2023 21:29:10,1.17.0,FR1,4,4.11,,1,Left,Left,15,8,14,0,,,0.02
3/6/2023 21:29:11,1.17.0,FR1,4,4.11,,1,LeftDuringDispense,Left,15,8,14,0,,,0.01
3/6/2023 21:29:15,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,15,8,15,0,1.22,315.0,
3/6/2023 21:31:26,1.17.0,FR1,4,4.11,,1,Left,Left,16,8,15,0,,,0.37
3/6/2023 21:31:34,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,16,8,16,0,6.54,139.0,
3/6/2023 21:42:46,1.17.0,FR1,4,4.11,,1,Left,Left,17,8,16,0,,,0.0
3/6/2023 21:42:56,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,17,8,17,0,9.38,682.0,
3/6/2023 21:48:23,1.17.0,FR1,4,4.11,,1,Right,Left,17,9,17,0,,,0.04
3/6/2023 21:48:28,1.17.0,FR1,4,4.11,,1,Right,Left,17,10,17,0,,,0.33
3/6/2023 21:48:46,1.17.0,FR1,4,4.11,,1,Left,Left,18,10,17,0,,,0.0
3/6/2023 21:48:51,1.17.0,FR1,4,4.11,2.0,1,Pellet,Left,18,10,18,0,2.57,355.0,
3/6/2023 21:51:53,1.17.0,FR1,4,4.11,,1,Left,Left,19,10,18,0,,,0.31
3/6/2023 21:51:57,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,19,10,19,0,3.12,186.0,
3/6/2023 21:54:07,1.17.0,FR1,4,4.11,,1,Left,Left,20,10,19,0,,,0.06
3/6/2023 21:54:15,1.17.0,FR1,4,4.11,1.0,1,Pellet,Left,20,10,20,0,6.43,138.0,
3/6/2023 21:55:00,1.17.0,FR1,4,4.11,,1,Right,Left,20,11,20,0,,,0.07
3/6/2023 21:55:02,1.17.0,FR1,4,4.12,,1,Right,Left,20,12,20,0,,,0.82
