MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/28/2023 17:05:24,1.17.0,Free_feed,6,4.14,1.0,1,Pellet,Left,0,0,1,0,43.01,,
5/28/2023 17:09:42,1.17.0,Free_feed,6,4.14,4.0,1,Pellet,Left,0,0,2,0,Timed_out,258.0,
5/28/2023 17:09:52,1.17.0,Free_feed,6,4.14,1.0,1,Pellet,Left,0,0,3,0,9.25,10.0,
5/28/2023 18:29:32,1.17.0,Free_feed,6,4.13,2.0,1,Pellet,Left,0,0,4,0,Timed_out,4780.0,
5/28/2023 18:29:33,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,5,0,0.24,1.0,
5/28/2023 18:29:35,1.17.0,Free_feed,6,4.14,1.0,1,Pellet,Left,0,0,6,0,0.18,2.0,
5/28/2023 18:32:26,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,7,0,Timed_out,171.0,
5/28/2023 18:32:27,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,8,0,0.67,1.0,
5/28/2023 18:32:28,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,9,0,0.06,1.0,
5/28/2023 18:32:31,1.17.0,Free_feed,6,4.12,1.0,1,Pellet,Left,0,0,10,0,0.97,3.0,
5/28/2023 18:32:33,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,11,0,0.18,1.0,
5/28/2023 18:32:40,1.17.0,Free_feed,6,4.12,1.0,1,Pellet,Left,0,0,12,0,1.64,8.0,
5/28/2023 18:36:04,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,13,0,Timed_out,204.0,
5/28/2023 18:36:06,1.17.0,Free_feed,6,4.14,1.0,1,Pellet,Left,0,0,14,0,0.55,2.0,
5/28/2023 18:37:26,1.17.0,Free_feed,6,4.13,6.0,1,Pellet,Left,0,0,15,0,Timed_out,80.0,
5/28/2023 18:38:23,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,16,0,50.36,57.0,
5/28/2023 18:40:26,1.17.0,Free_feed,6,4.13,2.0,1,Pellet,Left,0,0,17,0,Timed_out,123.0,
5/28/2023 18:45:43,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,18,0,Timed_out,316.0,
5/28/2023 18:46:23,1.17.0,Free_feed,6,4.12,6.0,1,Pellet,Left,0,0,19,0,23.58,41.0,
5/28/2023 19:23:52,1.17.0,Free_feed,6,4.13,4.0,1,Pellet,Left,0,0,20,0,Timed_out,2249.0,
5/28/2023 19:25:35,1.17.0,Free_feed,6,4.13,1.0,1,Pellet,Left,0,0,21,0,Timed_out,103.0,
