MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/5/2023 23:12:37,1.17.0,Free_feed,3,4.15,11.0,1,Pellet,Left,0,0,1,0,Timed_out,,
3/5/2023 23:12:38,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,2,0,0.06,1.0,
3/5/2023 23:16:26,1.17.0,Free_feed,3,4.15,2.0,1,Pellet,Left,0,0,3,0,Timed_out,228.0,
3/5/2023 23:16:50,1.17.0,Free_feed,3,4.15,2.0,1,Pellet,Left,0,0,4,0,21.60,24.0,
3/5/2023 23:16:51,1.17.0,Free_feed,3,4.16,1.0,1,Pellet,Left,0,0,5,0,0.12,1.0,
3/5/2023 23:25:34,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,6,0,Timed_out,523.0,
3/5/2023 23:25:36,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,7,0,0.06,2.0,
3/5/2023 23:26:13,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,8,0,30.34,37.0,
3/5/2023 23:26:29,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,9,0,9.00,16.0,
3/5/2023 23:26:44,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,10,0,7.90,15.0,
3/5/2023 23:26:49,1.17.0,Free_feed,3,4.15,,1,RightDuringDispense,Left,0,0,10,0,,,0.42
3/5/2023 23:57:01,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,11,0,Timed_out,1817.0,
3/5/2023 23:57:43,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,12,0,35.64,42.0,
3/6/2023 0:09:09,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,13,0,Timed_out,686.0,
3/6/2023 0:09:47,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,14,0,31.56,38.0,
3/6/2023 0:10:33,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,15,0,38.96,46.0,
3/6/2023 0:10:34,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,16,0,0.06,1.0,
3/6/2023 0:12:04,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,17,0,Timed_out,90.0,
3/6/2023 0:12:05,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,18,0,0.12,1.0,
3/6/2023 0:12:32,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,19,0,20.31,27.0,
3/6/2023 0:13:07,1.17.0,Free_feed,3,4.15,2.0,1,Pellet,Left,0,0,20,0,27.62,35.0,
3/6/2023 0:16:29,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,21,0,Timed_out,202.0,
3/6/2023 0:16:56,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,22,0,20.18,27.0,
3/6/2023 0:17:18,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,23,0,15.32,22.0,
3/6/2023 0:17:49,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,24,0,23.69,31.0,
3/6/2023 0:18:27,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,25,0,31.69,38.0,
3/6/2023 0:39:34,1.17.0,Free_feed,3,4.14,2.0,1,Pellet,Left,0,0,26,0,Timed_out,1267.0,
3/6/2023 0:39:56,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,27,0,21.23,22.0,
3/6/2023 0:40:20,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,28,0,21.84,23.0,
3/6/2023 0:40:28,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,29,0,1.83,9.0,
3/6/2023 0:51:15,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,30,0,Timed_out,647.0,
3/6/2023 0:52:03,1.17.0,Free_feed,3,4.14,2.0,1,Pellet,Left,0,0,31,0,38.47,48.0,
3/6/2023 0:52:20,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,32,0,10.78,17.0,
3/6/2023 0:52:20,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,33,0,0.06,0.0,
3/6/2023 0:52:36,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,34,0,8.51,16.0,
3/6/2023 0:52:56,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,35,0,14.22,20.0,
3/6/2023 0:59:08,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,36,0,Timed_out,371.0,
3/6/2023 0:59:23,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,37,0,8.63,16.0,
3/6/2023 0:59:40,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,38,0,11.27,17.0,
3/6/2023 0:59:43,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,39,0,0.97,3.0,
3/6/2023 0:59:59,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,40,0,15.57,16.0,
3/6/2023 1:00:17,1.17.0,Free_feed,3,4.15,1.0,1,Pellet,Left,0,0,41,0,11.14,18.0,
3/6/2023 1:00:37,1.17.0,Free_feed,3,4.14,2.0,1,Pellet,Left,0,0,42,0,12.74,20.0,
3/6/2023 1:00:46,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,43,0,1.83,9.0,
3/6/2023 1:00:47,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,44,0,0.06,1.0,
3/6/2023 1:15:03,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,45,0,Timed_out,856.0,
3/6/2023 1:15:20,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,46,0,10.29,17.0,
3/6/2023 1:15:37,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,47,0,9.73,17.0,
3/6/2023 1:15:52,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,48,0,8.69,15.0,
3/6/2023 1:16:11,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,49,0,12.62,19.0,
3/6/2023 1:16:22,1.17.0,Free_feed,3,4.14,1.0,1,Pellet,Left,0,0,50,0,4.71,11.0,
3/6/2023 1:22:59,1.17.0,Free_feed,3,4.14,2.0,1,Pellet,Left,0,0,51,0,Timed_out,397.0,
