MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-31 22:30:57,1.9.0,FR1,17,3.96,1,1,Left,Left,1,0,0,0,,,0.16
2022-10-31 22:31:00,1.9.0,FR1,17,3.96,2,1,LeftWithPellet,Left,2,0,0,0,,,0.05
2022-10-31 22:31:03,1.9.0,FR1,17,3.96,2,1,LeftWithPellet,Left,3,0,0,0,,,0.06
2022-10-31 22:31:06,1.9.0,FR1,17,3.96,2,1,Pellet,Left,3,0,1,0,6.65,,
2022-10-31 22:35:13,1.9.0,FR1,17,3.96,1,1,Left,Left,4,0,1,0,,,0.49
2022-10-31 22:35:14,1.9.0,FR1,17,3.96,1,1,Pellet,Left,4,0,2,0,0.72,248.0,
2022-10-31 22:35:37,1.9.0,FR1,17,3.96,1,1,Left,Left,5,0,2,0,,,0.46
2022-10-31 22:35:38,1.9.0,FR1,17,3.96,1,1,Pellet,Left,5,0,3,0,0.72,24.0,
2022-10-31 22:55:21,1.9.0,FR1,17,3.97,1,1,Left,Left,6,0,3,0,,,0.17
2022-10-31 22:55:27,1.9.0,FR1,17,3.96,1,1,Pellet,Left,6,0,4,0,4.67,1189.0,
2022-10-31 22:55:45,1.9.0,FR1,17,3.96,1,1,Right,Left,6,1,4,0,,,0.02
2022-10-31 22:58:22,1.9.0,FR1,17,3.96,1,1,Right,Left,6,2,4,0,,,0.25
2022-10-31 23:03:42,1.9.0,FR1,17,3.96,1,1,Left,Left,7,2,4,0,,,0.07
2022-10-31 23:03:45,1.9.0,FR1,17,3.96,1,1,Pellet,Left,7,2,5,0,1.70,498.0,
2022-10-31 23:04:29,1.9.0,FR1,17,3.96,1,1,Right,Left,7,3,5,0,,,0.02
2022-10-31 23:04:30,1.9.0,FR1,17,3.96,1,1,Right,Left,7,4,5,0,,,0.4
2022-10-31 23:17:19,1.9.0,FR1,17,3.96,1,1,Left,Left,8,4,5,0,,,0.16
2022-10-31 23:17:20,1.9.0,FR1,17,3.96,1,1,Pellet,Left,8,4,6,0,0.46,815.0,
2022-10-31 23:18:14,1.9.0,FR1,17,3.96,1,1,Left,Left,9,4,6,0,,,0.45
2022-10-31 23:18:19,1.9.0,FR1,17,3.96,1,1,Pellet,Left,9,4,7,0,3.68,59.0,
2022-10-31 23:18:40,1.9.0,FR1,17,3.96,1,1,Left,Left,10,4,7,0,,,0.09
2022-10-31 23:18:43,1.9.0,FR1,17,3.96,1,1,LeftWithPellet,Left,11,4,7,0,,,0.25
2022-10-31 23:18:44,1.9.0,FR1,17,3.96,1,1,LeftWithPellet,Left,12,4,7,0,,,0.55
2022-10-31 23:18:45,1.9.0,FR1,17,3.96,1,1,Pellet,Left,12,4,8,0,4.71,26.0,
2022-10-31 23:19:27,1.9.0,FR1,17,3.96,1,1,Left,Left,13,4,8,0,,,0.24
2022-10-31 23:19:28,1.9.0,FR1,17,3.96,1,1,Pellet,Left,13,4,9,0,0.46,43.0,
2022-10-31 23:20:12,1.9.0,FR1,17,3.96,1,1,Left,Left,14,4,9,0,,,0.3
2022-10-31 23:20:24,1.9.0,FR1,17,3.96,6,1,LeftWithPellet,Left,15,4,9,0,,,0.31
2022-10-31 23:20:26,1.9.0,FR1,17,3.96,6,1,LeftWithPellet,Left,16,4,9,0,,,0.2
2022-10-31 23:20:27,1.9.0,FR1,17,3.96,6,1,LeftWithPellet,Left,17,4,9,0,,,0.05
2022-10-31 23:20:27,1.9.0,FR1,17,3.96,6,1,LeftWithPellet,Left,18,4,9,0,,,0.04
2022-10-31 23:20:34,1.9.0,FR1,17,3.96,6,1,Pellet,Left,18,4,10,0,10.80,66.0,
2022-10-31 23:25:12,1.9.0,FR1,17,3.96,1,1,Right,Left,18,5,10,0,,,0.32
2022-10-31 23:25:22,1.9.0,FR1,17,3.96,1,1,Left,Left,19,5,10,0,,,0.03
2022-10-31 23:25:24,1.9.0,FR1,17,3.96,2,1,Pellet,Left,19,5,11,0,0.65,290.0,
2022-10-31 23:26:20,1.9.0,FR1,17,3.96,1,1,Left,Left,20,5,11,0,,,0.26
2022-10-31 23:26:21,1.9.0,FR1,17,3.96,2,1,LeftWithPellet,Left,21,5,11,0,,,0.01
2022-10-31 23:26:22,1.9.0,FR1,17,3.96,2,1,Pellet,Left,21,5,12,0,1.53,58.0,
2022-10-31 23:26:47,1.9.0,FR1,17,3.96,1,1,Left,Left,22,5,12,0,,,0.06
2022-10-31 23:26:48,1.9.0,FR1,17,3.96,1,1,Pellet,Left,22,5,13,0,0.59,26.0,
2022-10-31 23:27:12,1.9.0,FR1,17,3.96,1,1,Left,Left,23,5,13,0,,,0.33
2022-10-31 23:27:13,1.9.0,FR1,17,3.96,1,1,Pellet,Left,23,5,14,0,0.52,25.0,
2022-10-31 23:27:38,1.9.0,FR1,17,3.96,1,1,Left,Left,24,5,14,0,,,0.09
2022-10-31 23:27:40,1.9.0,FR1,17,3.96,1,1,Pellet,Left,24,5,15,0,1.44,27.0,
2022-10-31 23:35:02,1.9.0,FR1,17,3.96,1,1,Left,Left,25,5,15,0,,,0.05
2022-10-31 23:35:04,1.9.0,FR1,17,3.96,1,1,Pellet,Left,25,5,16,0,1.51,444.0,
2022-10-31 23:35:50,1.9.0,FR1,17,3.96,1,1,Left,Left,26,5,16,0,,,0.27
2022-10-31 23:35:52,1.9.0,FR1,17,3.96,1,1,Pellet,Left,26,5,17,0,1.18,48.0,
2022-10-31 23:38:36,1.9.0,FR1,17,3.96,1,1,Left,Left,27,5,17,0,,,0.03
2022-10-31 23:38:37,1.9.0,FR1,17,3.96,1,1,Pellet,Left,27,5,18,0,0.72,165.0,
2022-10-31 23:39:50,1.9.0,FR1,17,3.96,1,1,Left,Left,28,5,18,0,,,0.12
2022-10-31 23:39:52,1.9.0,FR1,17,3.96,1,1,Pellet,Left,28,5,19,0,1.25,75.0,
2022-10-31 23:44:21,1.9.0,FR1,17,3.96,1,1,Left,Left,29,5,19,0,,,0.16
2022-10-31 23:44:23,1.9.0,FR1,17,3.96,1,1,Pellet,Left,29,5,20,0,0.98,271.0,
2022-10-31 23:44:52,1.9.0,FR1,17,3.96,1,1,Left,Left,30,5,20,0,,,0.19
2022-10-31 23:44:54,1.9.0,FR1,17,3.96,1,1,Pellet,Left,30,5,21,0,0.52,31.0,
2022-10-31 23:45:22,1.9.0,FR1,17,3.96,1,1,Left,Left,31,5,21,0,,,0.46
