MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-27 21:41:30,1.16.3,Free_feed,4,4.18,11.0,1,Pellet,Left,0,0,1,0,Timed_out,,
2022-10-27 21:44:39,1.16.3,Free_feed,4,4.18,,1,LeftWithPellet,Left,1,0,1,0,,,0.9
2022-10-27 21:56:02,1.16.3,Free_feed,4,4.17,,1,LeftWithPellet,Left,2,0,1,0,,,0.7
2022-10-27 21:56:27,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,2,1,1,0,,,0.78
2022-10-27 22:01:11,1.16.3,Free_feed,4,4.18,,1,LeftWithPellet,Left,3,1,1,0,,,0.25
2022-10-27 22:08:17,1.16.3,Free_feed,4,4.17,,1,RightWithPellet,Left,3,2,1,0,,,0.3
2022-10-27 22:14:33,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,3,3,1,0,,,0.07
2022-10-27 22:29:11,1.16.3,Free_feed,4,4.18,,1,LeftWithPellet,Left,4,3,1,0,,,0.27
2022-10-27 22:33:14,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,4,4,1,0,,,0.15
2022-10-27 22:33:17,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,4,5,1,0,,,0.32
2022-10-27 22:33:46,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,4,6,1,0,,,0.03
2022-10-27 22:33:49,1.16.3,Free_feed,4,4.18,,1,RightWithPellet,Left,4,7,1,0,,,0.46
2022-10-27 22:33:53,1.16.3,Free_feed,4,4.18,3.0,1,Pellet,Left,4,7,2,0,Timed_out,3142.0,
2022-10-27 22:33:54,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,4,7,3,0,0.06,2.0,
2022-10-27 22:34:02,1.16.3,Free_feed,4,4.18,2.0,1,Pellet,Left,4,7,4,0,0.06,7.0,
2022-10-27 22:34:50,1.16.3,Free_feed,4,4.18,,1,LeftWithPellet,Left,5,7,4,0,,,0.13
2022-10-27 22:34:53,1.16.3,Free_feed,4,4.18,2.0,1,Pellet,Left,5,7,5,0,44.86,52.0,
2022-10-27 22:43:22,1.16.3,Free_feed,4,4.18,2.0,1,Pellet,Left,5,7,6,0,Timed_out,509.0,
2022-10-27 22:43:24,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,7,7,0,0.92,2.0,
2022-10-27 22:56:44,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,7,8,0,Timed_out,800.0,
2022-10-27 23:01:25,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,7,9,0,Timed_out,281.0,
2022-10-27 23:01:26,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,7,10,0,0.72,1.0,
2022-10-27 23:05:51,1.16.3,Free_feed,4,4.18,3.0,1,Pellet,Left,5,7,11,0,Timed_out,265.0,
2022-10-27 23:10:13,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,7,12,0,Timed_out,261.0,
2022-10-27 23:10:49,1.16.3,Free_feed,4,4.17,,1,RightWithPellet,Left,5,8,12,0,,,0.02
2022-10-27 23:12:26,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,8,13,0,Timed_out,134.0,
2022-10-27 23:19:13,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,8,14,0,Timed_out,407.0,
2022-10-27 23:19:14,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,8,15,0,0.06,1.0,
2022-10-27 23:25:10,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,8,16,0,Timed_out,355.0,
2022-10-27 23:25:34,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,8,17,0,17.49,25.0,
2022-10-27 23:27:54,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,5,8,18,0,Timed_out,140.0,
2022-10-27 23:28:58,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,5,8,19,0,56.44,64.0,
2022-10-27 23:32:21,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,8,20,0,Timed_out,203.0,
2022-10-27 23:44:45,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,5,8,21,0,Timed_out,744.0,
2022-10-27 23:45:27,1.16.3,Free_feed,4,4.17,,1,LeftWithPellet,Left,6,8,21,0,,,0.11
2022-10-27 23:45:32,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,22,0,40.47,47.0,
2022-10-27 23:45:51,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,23,0,17.03,19.0,
2022-10-27 23:48:30,1.16.3,Free_feed,4,4.18,1.0,1,Pellet,Left,6,8,24,0,Timed_out,158.0,
2022-10-27 23:48:53,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,25,0,16.30,24.0,
2022-10-27 23:49:01,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,26,0,0.92,7.0,
2022-10-27 23:49:18,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,27,0,10.22,18.0,
2022-10-27 23:55:55,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,28,0,Timed_out,397.0,
2022-10-27 23:56:14,1.16.3,Free_feed,4,4.18,2.0,1,Pellet,Left,6,8,29,0,9.96,19.0,
2022-10-28 00:01:44,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,30,0,Timed_out,329.0,
2022-10-28 00:02:00,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,31,0,9.10,17.0,
2022-10-28 00:16:55,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,32,0,Timed_out,895.0,
2022-10-28 00:17:11,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,8,33,0,7.38,16.0,
2022-10-28 00:17:32,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,34,0,14.12,21.0,
2022-10-28 00:22:57,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,35,0,Timed_out,324.0,
2022-10-28 00:22:58,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,36,0,0.06,1.0,
2022-10-28 00:23:28,1.16.3,Free_feed,4,4.17,2.0,1,Pellet,Left,6,8,37,0,20.61,30.0,
2022-10-28 00:23:30,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,38,0,1.11,2.0,
2022-10-28 00:24:17,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,39,0,40.30,48.0,
2022-10-28 00:24:40,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,40,0,15.65,22.0,
2022-10-28 00:24:59,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,41,0,12.47,20.0,
2022-10-28 00:25:21,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,42,0,15.05,22.0,
2022-10-28 00:39:48,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,43,0,Timed_out,866.0,
2022-10-28 00:45:20,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,44,0,Timed_out,333.0,
2022-10-28 00:46:14,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,8,45,0,46.70,53.0,
2022-10-28 00:47:03,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,46,0,42.07,50.0,
2022-10-28 00:47:04,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,47,0,0.19,1.0,
2022-10-28 00:47:05,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,8,48,0,0.06,1.0,
2022-10-28 00:50:45,1.16.3,Free_feed,4,4.16,,1,RightWithPellet,Left,6,9,48,0,,,0.09
2022-10-28 00:50:47,1.16.3,Free_feed,4,4.16,,1,RightWithPellet,Left,6,10,48,0,,,0.21
2022-10-28 00:53:44,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,49,0,Timed_out,399.0,
2022-10-28 00:54:07,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,50,0,15.98,23.0,
2022-10-28 00:54:19,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,10,51,0,5.34,12.0,
2022-10-28 00:54:35,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,10,52,0,8.90,16.0,
2022-10-28 00:54:52,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,53,0,10.56,17.0,
2022-10-28 00:55:02,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,54,0,8.37,10.0,
2022-10-28 00:55:14,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,10,55,0,5.27,12.0,
2022-10-28 00:55:23,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,56,0,2.30,9.0,
2022-10-28 01:07:13,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,57,0,Timed_out,710.0,
2022-10-28 01:09:38,1.16.3,Free_feed,4,4.17,2.0,1,Pellet,Left,6,10,58,0,Timed_out,144.0,
2022-10-28 01:14:02,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,10,59,0,Timed_out,264.0,
2022-10-28 01:14:29,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,60,0,19.41,27.0,
2022-10-28 01:16:31,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,61,0,Timed_out,123.0,
2022-10-28 01:16:50,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,62,0,11.87,19.0,
2022-10-28 01:17:07,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,63,0,10.09,17.0,
2022-10-28 01:20:57,1.16.3,Free_feed,4,4.17,1.0,1,Pellet,Left,6,10,64,0,Timed_out,230.0,
2022-10-28 01:21:14,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,65,0,9.89,17.0,
2022-10-28 01:21:27,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,66,0,11.21,12.0,
2022-10-28 01:21:45,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,67,0,11.48,18.0,
2022-10-28 01:27:41,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,68,0,Timed_out,357.0,
2022-10-28 01:27:59,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,69,0,11.28,18.0,
2022-10-28 01:29:31,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,70,0,Timed_out,92.0,
2022-10-28 01:37:01,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,71,0,Timed_out,450.0,
2022-10-28 01:44:17,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,72,0,Timed_out,436.0,
2022-10-28 01:46:36,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,73,0,Timed_out,139.0,
2022-10-28 01:47:06,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,10,74,0,23.12,30.0,
2022-10-28 01:49:13,1.16.3,Free_feed,4,4.16,3.0,1,Pellet,Left,6,10,75,0,Timed_out,126.0,
2022-10-28 01:49:55,1.16.3,Free_feed,4,4.16,,1,RightWithPellet,Left,6,11,75,0,,,0.56
2022-10-28 01:50:01,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,6,11,76,0,41.47,49.0,
2022-10-28 01:50:07,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,6,11,77,0,0.06,6.0,
2022-10-28 01:50:11,1.16.3,Free_feed,4,4.16,,1,LeftDuringDispense,Left,7,11,77,0,,,0.26
2022-10-28 01:50:12,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,11,78,0,0.06,5.0,
2022-10-28 01:50:56,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,11,79,0,36.98,44.0,
2022-10-28 01:54:54,1.16.3,Free_feed,4,4.16,,1,RightWithPellet,Left,7,12,79,0,,,0.27
2022-10-28 02:05:04,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,80,0,Timed_out,848.0,
2022-10-28 02:05:26,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,81,0,19.74,21.0,
2022-10-28 02:05:52,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,82,0,19.48,26.0,
2022-10-28 02:06:09,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,83,0,11.15,18.0,
2022-10-28 02:06:26,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,12,84,0,9.76,17.0,
2022-10-28 02:06:51,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,85,0,18.29,25.0,
2022-10-28 02:07:11,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,12,86,0,12.47,20.0,
2022-10-28 02:09:58,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,12,87,0,Timed_out,167.0,
2022-10-28 02:10:12,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,88,0,7.05,14.0,
2022-10-28 02:11:47,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,89,0,Timed_out,95.0,
2022-10-28 02:16:49,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,90,0,Timed_out,301.0,
2022-10-28 02:17:05,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,91,0,9.49,16.0,
2022-10-28 02:18:25,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,12,92,0,Timed_out,81.0,
2022-10-28 02:25:53,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,93,0,Timed_out,448.0,
2022-10-28 02:26:12,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,94,0,11.15,18.0,
2022-10-28 02:26:29,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,12,95,0,10.62,18.0,
2022-10-28 02:26:30,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,96,0,0.06,1.0,
2022-10-28 02:34:41,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,97,0,Timed_out,491.0,
2022-10-28 02:34:56,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,12,98,0,7.31,14.0,
2022-10-28 02:35:01,1.16.3,Free_feed,4,4.16,,1,RightDuringDispense,Left,7,13,98,0,,,0.29
2022-10-28 02:42:36,1.16.3,Free_feed,4,4.16,2.0,1,Pellet,Left,7,13,99,0,Timed_out,461.0,
2022-10-28 02:45:05,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,100,0,Timed_out,149.0,
2022-10-28 02:45:46,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,101,0,34.58,41.0,
2022-10-28 02:53:54,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,102,0,Timed_out,488.0,
2022-10-28 02:54:17,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,103,0,15.44,23.0,
2022-10-28 02:54:28,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,104,0,4.87,11.0,
2022-10-28 02:54:44,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,105,0,8.24,15.0,
2022-10-28 02:55:01,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,106,0,11.02,18.0,
2022-10-28 02:56:03,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,107,0,54.47,62.0,
2022-10-28 02:56:19,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,108,0,9.63,16.0,
2022-10-28 03:05:32,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,109,0,Timed_out,552.0,
2022-10-28 03:05:49,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,110,0,10.62,18.0,
2022-10-28 03:14:54,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,111,0,Timed_out,545.0,
2022-10-28 03:25:40,1.16.3,Free_feed,4,4.15,2.0,1,Pellet,Left,7,13,112,0,Timed_out,646.0,
2022-10-28 03:25:55,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,113,0,8.18,15.0,
2022-10-28 03:26:03,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,114,0,1.11,7.0,
2022-10-28 03:26:46,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,115,0,36.44,44.0,
2022-10-28 03:29:17,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,116,0,Timed_out,151.0,
2022-10-28 03:31:14,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,117,0,Timed_out,117.0,
2022-10-28 03:31:32,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,118,0,11.08,17.0,
2022-10-28 03:31:51,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,119,0,12.07,19.0,
2022-10-28 03:32:04,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,120,0,6.19,14.0,
2022-10-28 03:48:40,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,121,0,Timed_out,996.0,
2022-10-28 03:51:07,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,122,0,Timed_out,147.0,
2022-10-28 03:51:27,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,123,0,11.94,19.0,
2022-10-28 04:09:53,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,124,0,Timed_out,1107.0,
2022-10-28 04:14:33,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,125,0,Timed_out,280.0,
2022-10-28 04:14:54,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,126,0,13.07,21.0,
2022-10-28 04:26:43,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,127,0,Timed_out,708.0,
2022-10-28 04:35:42,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,128,0,Timed_out,539.0,
2022-10-28 04:36:53,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,129,0,Timed_out,72.0,
2022-10-28 04:43:23,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,130,0,Timed_out,390.0,
2022-10-28 04:43:45,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,131,0,14.72,21.0,
2022-10-28 04:44:15,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,132,0,22.92,31.0,
2022-10-28 04:44:39,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,133,0,17.56,24.0,
2022-10-28 04:45:02,1.16.3,Free_feed,4,4.16,1.0,1,Pellet,Left,7,13,134,0,16.37,23.0,
2022-10-28 05:11:44,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,135,0,Timed_out,1601.0,
2022-10-28 05:12:03,1.16.3,Free_feed,4,4.14,2.0,1,Pellet,Left,7,13,136,0,11.54,19.0,
2022-10-28 05:12:04,1.16.3,Free_feed,4,4.14,1.0,1,Pellet,Left,7,13,137,0,0.06,1.0,
2022-10-28 05:12:24,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,138,0,13.19,21.0,
2022-10-28 05:12:42,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,13,139,0,11.08,18.0,
2022-10-28 05:13:09,1.16.3,Free_feed,4,4.14,1.0,1,Pellet,Left,7,13,140,0,19.61,26.0,
2022-10-28 05:35:15,1.16.3,Free_feed,4,4.14,,1,RightWithPellet,Left,7,14,140,0,,,0.45
2022-10-28 05:35:18,1.16.3,Free_feed,4,4.15,1.0,1,Pellet,Left,7,14,141,0,Timed_out,1330.0,
