MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-03 22:26:03,1.9.0,Free_feed,2,4.19,5,1,Pellet,Left,0,0,1,0,Timed_out,,
2022-10-03 22:39:23,1.9.0,Free_feed,2,4.19,2,1,Pellet,Left,0,0,2,0,Timed_out,800.0,
2022-10-03 22:52:27,1.9.0,Free_feed,2,4.19,1,1,Pellet,Left,0,0,3,0,Timed_out,784.0,
2022-10-03 22:52:29,1.9.0,Free_feed,2,4.19,1,1,Pellet,Left,0,0,4,0,0.06,1.0,
2022-10-03 22:52:35,1.9.0,Free_feed,2,4.18,1,1,Pellet,Left,0,0,5,0,1.24,7.0,
2022-10-03 22:55:35,1.9.0,Free_feed,2,4.18,2,1,Pellet,Left,0,0,6,0,Timed_out,180.0,
2022-10-03 22:56:11,1.9.0,Free_feed,2,4.19,1,1,RightWithPellet,Left,0,1,6,0,,,0.12
2022-10-03 22:58:33,1.9.0,Free_feed,2,4.18,1,1,Pellet,Left,0,1,7,0,Timed_out,178.0,
2022-10-03 23:01:09,1.9.0,Free_feed,2,4.19,2,1,Pellet,Left,0,1,8,0,Timed_out,156.0,
2022-10-03 23:01:41,1.9.0,Free_feed,2,4.18,2,1,Pellet,Left,0,1,9,0,24.74,31.0,
2022-10-03 23:07:54,1.9.0,Free_feed,2,4.19,2,1,Pellet,Left,0,1,10,0,Timed_out,374.0,
2022-10-03 23:12:13,1.9.0,Free_feed,2,4.18,1,1,Pellet,Left,0,1,11,0,Timed_out,259.0,
2022-10-03 23:12:40,1.9.0,Free_feed,2,4.18,2,1,Pellet,Left,0,1,12,0,19.85,26.0,
2022-10-03 23:13:15,1.9.0,Free_feed,2,4.19,1,1,Pellet,Left,0,1,13,0,32.43,36.0,
2022-10-03 23:13:16,1.9.0,Free_feed,2,4.19,1,1,Pellet,Left,0,1,14,0,0.06,1.0,
2022-10-03 23:15:12,1.9.0,Free_feed,2,4.18,1,1,Pellet,Left,0,1,15,0,Timed_out,115.0,
