MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-03-19 22:53:46,1.16.3,FR1,11,3.96,,1,Right,Left,0,1,0,0,,,0.39
2023-03-19 22:57:24,1.16.3,FR1,11,3.96,,1,Left,Left,1,1,0,0,,,0.17
2023-03-19 22:57:24,1.16.3,FR1,11,3.96,,1,LeftDuringDispense,Left,2,1,0,0,,,0.05
2023-03-19 22:57:30,1.16.3,FR1,11,3.96,,1,LeftDuringDispense,Left,3,1,0,0,,,0.79
2023-03-19 22:57:41,1.16.3,FR1,11,3.97,4.0,1,Pellet,Left,3,1,1,0,7.78,,
2023-03-19 22:58:07,1.16.3,FR1,11,3.96,,1,Right,Left,3,2,1,0,,,0.04
2023-03-19 22:59:07,1.16.3,FR1,11,3.96,,1,Left,Left,4,2,1,0,,,0.72
2023-03-19 23:00:32,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,4,2,2,0,Timed_out,172.0,
2023-03-19 23:41:40,1.16.3,FR1,11,3.96,,1,Right,Left,4,3,2,0,,,0.04
2023-03-19 23:41:41,1.16.3,FR1,11,3.97,,1,Right,Left,4,4,2,0,,,0.18
2023-03-20 00:06:41,1.16.3,FR1,11,3.96,,1,Left,Left,5,4,2,0,,,0.4
2023-03-20 00:06:41,1.16.3,FR1,11,3.96,,1,LeftDuringDispense,Left,6,4,2,0,,,0.02
2023-03-20 00:06:49,1.16.3,FR1,11,3.96,4.0,1,Pellet,Left,6,4,3,0,2.30,3977.0,
2023-03-20 00:09:02,1.16.3,FR1,11,3.96,,1,Right,Left,6,5,3,0,,,0.05
2023-03-20 00:09:03,1.16.3,FR1,11,3.96,,1,Right,Left,6,6,3,0,,,0.0
2023-03-20 00:09:04,1.16.3,FR1,11,3.96,,1,Right,Left,6,7,3,0,,,0.14
2023-03-20 00:09:08,1.16.3,FR1,11,3.96,,1,Right,Left,6,8,3,0,,,0.22
2023-03-20 00:10:20,1.16.3,FR1,11,3.96,,1,Right,Left,6,9,3,0,,,0.06
2023-03-20 00:10:21,1.16.3,FR1,11,3.96,,1,Right,Left,6,10,3,0,,,0.0
2023-03-20 00:12:19,1.16.3,FR1,11,3.96,,1,Left,Left,7,10,3,0,,,0.23
2023-03-20 00:12:21,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,7,10,4,0,1.44,332.0,
2023-03-20 00:12:48,1.16.3,FR1,11,3.96,,1,Left,Left,8,10,4,0,,,0.01
2023-03-20 00:12:48,1.16.3,FR1,11,3.96,,1,LeftDuringDispense,Left,9,10,4,0,,,0.03
2023-03-20 00:12:55,1.16.3,FR1,11,3.96,3.0,1,Pellet,Left,9,10,5,0,2.83,34.0,
2023-03-20 00:13:42,1.16.3,FR1,11,3.96,,1,Left,Left,10,10,5,0,,,0.07
2023-03-20 00:13:42,1.16.3,FR1,11,3.96,,1,LeftDuringDispense,Left,11,10,5,0,,,0.06
2023-03-20 00:13:47,1.16.3,FR1,11,3.96,2.0,1,Pellet,Left,11,10,6,0,1.05,51.0,
2023-03-20 00:14:57,1.16.3,FR1,11,3.96,,1,Right,Left,11,11,6,0,,,0.06
2023-03-20 00:14:58,1.16.3,FR1,11,3.96,,1,Right,Left,11,12,6,0,,,0.06
2023-03-20 00:16:04,1.16.3,FR1,11,3.96,,1,Left,Left,12,12,6,0,,,0.17
2023-03-20 00:16:11,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,12,12,7,0,6.13,145.0,
2023-03-20 00:17:03,1.16.3,FR1,11,3.96,,1,Left,Left,13,12,7,0,,,0.05
2023-03-20 00:17:47,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,13,12,8,0,42.89,96.0,
2023-03-20 00:19:10,1.16.3,FR1,11,3.96,,1,Right,Left,13,13,8,0,,,0.32
2023-03-20 00:26:34,1.16.3,FR1,11,3.96,,1,Right,Left,13,14,8,0,,,0.14
2023-03-20 00:28:28,1.16.3,FR1,11,3.96,,1,Left,Left,14,14,8,0,,,0.35
2023-03-20 00:28:30,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,14,14,9,0,0.98,643.0,
2023-03-20 00:29:02,1.16.3,FR1,11,3.96,,1,Left,Left,15,14,9,0,,,0.05
2023-03-20 00:29:04,1.16.3,FR1,11,3.96,1.0,1,Pellet,Left,15,14,10,0,1.71,34.0,
