MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-01-30 23:38:32,1.16.3,Free_feed,3,4.16,,1,Poke,Left,1,0,0,0,,,0.89,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:38:33,1.16.3,Free_feed,3,4.15,,1,Poke,Left,2,0,0,0,,,0.33,0 days 00:00:01.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:38:35,1.16.3,Free_feed,3,4.15,,1,Poke,Left,3,0,0,0,,,0.03,0 days 00:00:03.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:43:57,1.16.3,Free_feed,3,4.16,,1,Poke,Left,3,1,0,0,,,0.24,0 days 00:05:25.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-30 23:54:45,1.16.3,Free_feed,3,4.15,,1,Poke,Left,4,1,0,0,,,0.42,0 days 00:16:13.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:54:49,1.16.3,Free_feed,3,4.15,,1,Poke,Left,5,1,0,0,,,0.04,0 days 00:16:17.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:54:51,1.16.3,Free_feed,3,4.16,,1,Poke,Left,6,1,0,0,,,0.29,0 days 00:16:19.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:54:52,1.16.3,Free_feed,3,4.16,,1,Poke,Left,7,1,0,0,,,0.02,0 days 00:16:20.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-30 23:54:58,1.16.3,Free_feed,3,4.16,3.0,1,Pellet,Left,7,1,1,0,,,,0 days 00:16:26.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-01-30 23:54:59,1.16.3,Free_feed,3,4.16,1.0,1,Pellet,Left,7,1,2,0,0.13,1.0,,0 days 00:16:27.000000000,1.0,0.0166666666666666,0.0,0.0,,0,Free_feed
2023-01-31 00:32:28,1.16.3,Free_feed,3,4.12,,1,Poke,Left,7,2,2,0,,,1.01,0 days 00:53:56.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-31 00:34:50,1.16.3,Free_feed,3,4.12,,1,Poke,Left,8,2,2,0,,,0.56,0 days 00:56:18.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:51,1.16.3,Free_feed,3,4.12,,1,Poke,Left,9,2,2,0,,,0.1,0 days 00:56:19.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:52,1.16.3,Free_feed,3,4.13,,1,Poke,Left,10,2,2,0,,,0.06,0 days 00:56:20.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:52,1.16.3,Free_feed,3,4.12,,1,Poke,Left,11,2,2,0,,,0.08,0 days 00:56:20.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:53,1.16.3,Free_feed,3,4.12,,1,Poke,Left,12,2,2,0,,,0.05,0 days 00:56:21.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:53,1.16.3,Free_feed,3,4.12,,1,Poke,Left,13,2,2,0,,,0.11,0 days 00:56:21.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:54,1.16.3,Free_feed,3,4.12,,1,Poke,Left,14,2,2,0,,,0.13,0 days 00:56:22.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:34:55,1.16.3,Free_feed,3,4.12,,1,Poke,Left,15,2,2,0,,,0.29,0 days 00:56:23.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:39:24,1.16.3,Free_feed,3,4.12,,1,Poke,Left,15,3,2,0,,,0.87,0 days 01:00:52.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-31 00:39:25,1.16.3,Free_feed,3,4.12,,1,Poke,Left,15,4,2,0,,,0.12,0 days 01:00:53.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-31 00:39:25,1.16.3,Free_feed,3,4.12,,1,Poke,Left,15,5,2,0,,,0.39,0 days 01:00:53.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-31 00:39:33,1.16.3,Free_feed,3,4.12,,1,Poke,Left,15,6,2,0,,,0.86,0 days 01:01:01.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-01-31 00:42:29,1.16.3,Free_feed,3,4.12,,1,Poke,Left,16,6,2,0,,,0.36,0 days 01:03:57.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:30,1.16.3,Free_feed,3,4.12,,1,Poke,Left,17,6,2,0,,,0.52,0 days 01:03:58.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:31,1.16.3,Free_feed,3,4.12,,1,Poke,Left,18,6,2,0,,,0.47,0 days 01:03:59.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:32,1.16.3,Free_feed,3,4.12,,1,Poke,Left,19,6,2,0,,,0.62,0 days 01:04:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:32,1.16.3,Free_feed,3,4.12,,1,Poke,Left,20,6,2,0,,,0.09,0 days 01:04:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:33,1.16.3,Free_feed,3,4.12,,1,Poke,Left,21,6,2,0,,,0.01,0 days 01:04:01.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:36,1.16.3,Free_feed,3,4.12,,1,Poke,Left,22,6,2,0,,,0.74,0 days 01:04:04.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:37,1.16.3,Free_feed,3,4.12,,1,Poke,Left,23,6,2,0,,,0.2,0 days 01:04:05.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:42,1.16.3,Free_feed,3,4.12,,1,Poke,Left,24,6,2,0,,,0.44,0 days 01:04:10.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:46,1.16.3,Free_feed,3,4.12,,1,Poke,Left,25,6,2,0,,,0.03,0 days 01:04:14.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:47,1.16.3,Free_feed,3,4.12,,1,Poke,Left,26,6,2,0,,,0.67,0 days 01:04:15.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:48,1.16.3,Free_feed,3,4.12,,1,Poke,Left,27,6,2,0,,,0.01,0 days 01:04:16.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:50,1.16.3,Free_feed,3,4.12,,1,Poke,Left,28,6,2,0,,,0.47,0 days 01:04:18.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:50,1.16.3,Free_feed,3,4.12,,1,Poke,Left,29,6,2,0,,,0.08,0 days 01:04:18.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-01-31 00:42:51,1.16.3,Free_feed,3,4.12,,1,Poke,Left,30,6,2,0,,,0.19,0 days 01:04:19.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
