MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-11-11 22:23:02,1.16.3,Free_feed,16,4.11,,1,RightWithPellet,Left,0,1,0,0,,,0.01
2022-11-11 22:33:32,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,1,1,0,0,,,0.09
2022-11-11 22:35:13,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,2,1,0,0,,,0.11
2022-11-11 22:47:38,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,3,1,0,0,,,1.01
2022-11-11 22:47:40,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,4,1,0,0,,,0.39
2022-11-11 22:47:44,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,5,1,0,0,,,0.74
2022-11-11 22:54:55,1.16.3,Free_feed,16,4.11,,1,RightWithPellet,Left,5,2,0,0,,,0.08
2022-11-11 22:54:59,1.16.3,Free_feed,16,4.1,,1,LeftWithPellet,Left,6,2,0,0,,,0.06
2022-11-11 22:55:00,1.16.3,Free_feed,16,4.11,,1,LeftWithPellet,Left,7,2,0,0,,,0.33
2022-11-11 23:03:48,1.16.3,Free_feed,16,4.11,4.0,1,Pellet,Left,7,2,1,0,Timed_out,,
2022-11-11 23:03:55,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,2,0,1.57,7.0,
2022-11-11 23:03:56,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,3,0,0.13,1.0,
2022-11-11 23:07:13,1.16.3,Free_feed,16,4.11,2.0,1,Pellet,Left,7,2,4,0,Timed_out,197.0,
2022-11-11 23:09:55,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,5,0,Timed_out,162.0,
2022-11-11 23:12:42,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,6,0,Timed_out,167.0,
2022-11-11 23:14:10,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,7,0,Timed_out,88.0,
2022-11-11 23:18:11,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,8,0,Timed_out,241.0,
2022-11-11 23:25:39,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,9,0,Timed_out,448.0,
2022-11-11 23:30:16,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,10,0,Timed_out,277.0,
2022-11-11 23:35:13,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,11,0,Timed_out,297.0,
2022-11-11 23:36:40,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,12,0,Timed_out,87.0,
2022-11-11 23:36:53,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,13,0,11.73,13.0,
2022-11-11 23:37:06,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,14,0,7.05,13.0,
2022-11-11 23:46:08,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,15,0,Timed_out,542.0,
2022-11-11 23:50:24,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,16,0,Timed_out,256.0,
2022-11-11 23:52:40,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,17,0,Timed_out,136.0,
2022-11-11 23:57:24,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,18,0,Timed_out,284.0,
2022-11-12 00:02:21,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,19,0,Timed_out,297.0,
2022-11-12 00:08:20,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,20,0,Timed_out,359.0,
2022-11-12 00:11:42,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,21,0,Timed_out,202.0,
2022-11-12 00:20:38,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,22,0,Timed_out,535.0,
2022-11-12 00:20:40,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,23,0,0.13,3.0,
2022-11-12 00:22:06,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,24,0,Timed_out,86.0,
2022-11-12 00:25:09,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,25,0,Timed_out,183.0,
2022-11-12 00:25:43,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,26,0,26.63,34.0,
2022-11-12 00:26:47,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,27,0,57.36,64.0,
2022-11-12 00:26:53,1.16.3,Free_feed,16,4.11,1.0,1,Pellet,Left,7,2,28,0,5.79,6.0,
2022-11-12 00:30:36,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,29,0,Timed_out,223.0,
2022-11-12 00:34:22,1.16.3,Free_feed,16,4.1,1.0,1,Pellet,Left,7,2,30,0,Timed_out,226.0,
