MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2023-03-30 10:04:46,13,4.09,,FR1,Poke,Left,0,1,0,,0
2023-03-30 10:11:26,13,4.07,,FR1,Poke,Left,0,2,0,,0
2023-03-30 10:11:57,13,4.08,,FR1,Poke,Left,0,3,0,,0
2023-03-30 10:12:00,13,4.07,,FR1,Poke,Left,0,4,0,,0
2023-03-30 10:12:02,13,4.08,,FR1,Poke,Left,0,5,0,,0
2023-03-30 10:12:03,13,4.08,,FR1,Poke,Left,0,6,0,,0
2023-03-30 10:12:06,13,4.07,,FR1,Poke,Left,0,7,0,,0
2023-03-30 10:12:12,13,4.08,,FR1,Poke,Left,0,8,0,,0
2023-03-30 10:12:14,13,4.07,,FR1,Poke,Left,1,8,0,,0
2023-03-30 10:12:24,13,4.07,3.0,FR1,Pellet,Left,1,8,1,6.68,0
2023-03-30 10:12:42,13,4.08,,FR1,Poke,Left,1,9,1,,0
2023-03-30 10:12:43,13,4.08,,FR1,Poke,Left,1,10,1,,0
2023-03-30 10:29:01,13,4.07,,FR1,Poke,Left,1,11,1,,0
2023-03-30 10:30:06,13,4.07,,FR1,Poke,Left,1,12,1,,0
2023-03-30 10:30:22,13,4.08,,FR1,Poke,Left,2,12,1,,0
2023-03-30 10:30:26,13,4.07,2.0,FR1,Pellet,Left,2,12,2,2.57,0
2023-03-30 11:50:25,13,4.07,,FR1,Poke,Left,3,12,2,,0
2023-03-30 11:50:31,13,4.07,3.0,FR1,Pellet,Left,3,12,3,3.43,0
2023-03-30 15:23:08,13,4.07,,FR1,Poke,Left,4,12,3,,0
2023-03-30 15:23:12,13,4.07,1.0,FR1,Pellet,Left,4,12,4,2.88,0
2023-03-30 15:28:02,13,4.07,,FR1,Poke,Left,5,12,4,,0
2023-03-30 15:28:07,13,4.07,1.0,FR1,Pellet,Left,5,12,5,4.23,0
2023-03-30 15:29:53,13,4.07,,FR1,Poke,Left,5,13,5,,0
2023-03-30 17:25:43,13,4.07,,FR1,Poke,Left,6,13,5,,0
2023-03-30 17:25:46,13,4.07,1.0,FR1,Pellet,Left,6,13,6,2.14,0
2023-03-30 17:27:15,13,4.07,,FR1,Poke,Left,6,14,6,,0
2023-03-30 19:27:48,13,4.07,,FR1,Poke,Left,6,15,6,,0
2023-03-30 20:33:51,13,4.07,,FR1,Poke,Left,6,16,6,,0
