MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2023 10:02:31,1.14.0,Free_feed,1,4.16,2,1,Pellet,Left,0,0,1,0,13.00,nan,nan
3/29/2023 10:27:27,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,1,0,1,0,nan,nan,0.16
3/29/2023 10:27:42,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,1,0,2,0,Timed_out,1511,nan
3/29/2023 10:29:08,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,2,0,2,0,nan,nan,0.69
3/29/2023 10:29:12,1.14.0,Free_feed,1,4.16,2,1,Pellet,Left,2,0,3,0,Timed_out,90,nan
3/29/2023 10:29:20,1.14.0,Free_feed,1,4.16,2,1,Pellet,Left,2,0,4,0,0.06,8,nan
3/29/2023 10:30:02,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,0,5,0,36.02,42,nan
3/29/2023 10:30:25,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,2,1,5,0,nan,nan,0.08
3/29/2023 10:30:26,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,2,2,5,0,nan,nan,0.04
3/29/2023 10:31:27,1.14.0,Free_feed,1,4.16,2,1,Pellet,Left,2,2,6,0,Timed_out,85,nan
3/29/2023 10:31:40,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,2,3,6,0,nan,nan,0.27
3/29/2023 10:31:42,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,2,4,6,0,nan,nan,1.08
3/29/2023 10:31:46,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,4,7,0,11.13,19,nan
3/29/2023 10:32:44,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,4,8,0,56.75,58,nan
3/29/2023 10:32:52,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,4,9,0,0.79,8,nan
3/29/2023 10:33:06,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,4,10,0,6.74,14,nan
3/29/2023 10:33:16,1.14.0,Free_feed,1,4.16,2,1,Pellet,Left,2,4,11,0,1.40,10,nan
3/29/2023 10:35:31,1.14.0,Free_feed,1,4.16,1,1,Pellet,Left,2,4,12,0,Timed_out,135,nan
3/29/2023 10:35:38,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,3,4,12,0,nan,nan,1.28
3/29/2023 10:35:39,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,4,4,12,0,nan,nan,0.02
3/29/2023 10:35:41,1.14.0,Free_feed,1,4.17,1,1,Pellet,Left,4,4,13,0,3.72,10,nan
3/29/2023 10:37:46,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,4,5,13,0,nan,nan,0.39
3/29/2023 10:39:04,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,4,6,13,0,nan,nan,0.07
3/29/2023 10:39:09,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,4,7,13,0,nan,nan,0.87
3/29/2023 10:39:10,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,4,8,13,0,nan,nan,0.85
3/29/2023 10:39:28,1.14.0,Free_feed,1,4.16,nan,1,RightWithPellet,Left,4,9,13,0,nan,nan,0.28
3/29/2023 10:39:40,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,5,9,13,0,nan,nan,0.60
3/29/2023 10:39:45,1.14.0,Free_feed,1,4.16,nan,1,LeftWithPellet,Left,6,9,13,0,nan,nan,0.22
