MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2023 10:57:09,1.14.0,Free_feed,16,4.19,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.02
3/29/2023 10:58:04,1.14.0,Free_feed,16,4.18,20,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
3/29/2023 11:00:16,1.14.0,Free_feed,16,4.18,3,1,Pellet,Left,1,0,2,0,Timed_out,132,nan
3/29/2023 11:00:24,1.14.0,Free_feed,16,4.19,2,1,Pellet,Left,1,0,3,0,1.22,8,nan
3/29/2023 11:07:44,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,1,1,3,0,nan,nan,0.05
3/29/2023 11:07:54,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,1,2,3,0,nan,nan,0.22
3/29/2023 11:08:03,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,1,3,3,0,nan,nan,0.04
3/29/2023 11:08:10,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,1,4,3,0,nan,nan,0.19
3/29/2023 11:11:23,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,1,5,3,0,nan,nan,0.01
3/29/2023 11:12:10,1.14.0,Free_feed,16,4.19,nan,1,LeftWithPellet,Left,2,5,3,0,nan,nan,1.57
3/29/2023 11:12:14,1.14.0,Free_feed,16,4.19,nan,1,RightWithPellet,Left,2,6,3,0,nan,nan,0.10
3/29/2023 11:12:31,1.14.0,Free_feed,16,4.18,nan,1,RightWithPellet,Left,2,7,3,0,nan,nan,0.67
3/29/2023 11:13:48,1.14.0,Free_feed,16,4.19,nan,1,LeftWithPellet,Left,3,7,3,0,nan,nan,0.01
