MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2022-07-09 19:23:04,7,4.0,,FR1,Poke,Left,0,1,0,,0
2022-07-09 19:23:05,7,4.0,,FR1,Poke,Left,0,2,0,,0
2022-07-09 19:23:07,7,4.0,,FR1,Poke,Left,1,2,0,,0
2022-07-09 19:24:29,7,4.0,,FR1,Poke,Left,1,3,0,,0
2022-07-09 19:27:02,7,4.0,,FR1,Poke,Left,1,4,0,,0
2022-07-09 19:42:10,7,4.0,6.0,FR1,Pellet,Left,1,4,1,,0
2022-07-09 20:18:20,7,4.0,,FR1,Poke,Left,1,5,1,,0
2022-07-09 20:18:25,7,4.0,,FR1,Poke,Left,1,6,1,,0
2022-07-09 20:21:38,7,4.0,,FR1,Poke,Left,1,7,1,,0
2022-07-09 20:21:41,7,3.99,,FR1,Poke,Left,1,8,1,,0
2022-07-09 20:21:52,7,4.0,,FR1,Poke,Left,1,9,1,,0
2022-07-09 20:23:48,7,4.0,,FR1,Poke,Left,1,10,1,,0
2022-07-09 20:25:32,7,3.99,,FR1,Poke,Left,1,11,1,,0
2022-07-09 20:27:23,7,4.0,,FR1,Poke,Left,1,12,1,,0
2022-07-09 20:27:25,7,3.99,,FR1,Poke,Left,1,13,1,,0
2022-07-09 20:27:48,7,3.99,,FR1,Poke,Left,1,14,1,,0
2022-07-09 20:30:52,7,4.0,,FR1,Poke,Left,1,15,1,,0
2022-07-09 20:32:07,7,3.99,,FR1,Poke,Left,2,15,1,,0
2022-07-09 20:32:22,7,3.99,4.0,FR1,Pellet,Left,2,15,2,7.18,0
2022-07-09 20:32:58,7,4.0,,FR1,Poke,Left,3,15,2,,0
2022-07-09 20:33:00,7,4.0,1.0,FR1,Pellet,Left,3,15,3,1.55,0
2022-07-09 20:45:41,7,4.0,,FR1,Poke,Left,4,15,3,,0
2022-07-09 20:45:45,7,3.99,1.0,FR1,Pellet,Left,4,15,4,3.76,0
2022-07-09 20:47:43,7,4.0,,FR1,Poke,Left,5,15,4,,0
2022-07-09 20:47:47,7,4.0,1.0,FR1,Pellet,Left,5,15,5,3.45,0
2022-07-09 20:53:07,7,3.99,,FR1,Poke,Left,6,15,5,,0
2022-07-09 20:53:10,7,4.0,1.0,FR1,Pellet,Left,6,15,6,1.68,0
2022-07-09 20:54:14,7,3.99,,FR1,Poke,Left,6,16,6,,0
2022-07-09 20:56:01,7,3.99,,FR1,Poke,Left,7,16,6,,0
2022-07-09 20:56:09,7,3.99,1.0,FR1,Pellet,Left,7,16,7,7.63,0
2022-07-09 21:08:55,7,3.99,,FR1,Poke,Left,8,16,7,,0
2022-07-09 21:09:16,7,3.99,3.0,FR1,Pellet,Left,8,16,8,16.32,0
2022-07-09 21:10:34,7,3.99,,FR1,Poke,Left,8,17,8,,0
2022-07-09 21:10:41,7,3.99,,FR1,Poke,Left,9,17,8,,0
2022-07-09 21:10:50,7,3.99,1.0,FR1,Pellet,Left,9,17,9,7.88,0
2022-07-09 21:16:19,7,3.99,,FR1,Poke,Left,9,18,9,,0
2022-07-09 21:16:59,7,3.99,,FR1,Poke,Left,10,18,9,,0
2022-07-09 21:17:01,7,3.99,1.0,FR1,Pellet,Left,10,18,10,1.55,0
2022-07-09 21:18:37,7,3.99,,FR1,Poke,Left,10,19,10,,0
2022-07-09 21:20:33,7,3.99,,FR1,Poke,Left,11,19,10,,0
2022-07-09 21:20:35,7,3.99,1.0,FR1,Pellet,Left,11,19,11,1.1,0
2022-07-09 21:21:43,7,3.99,,FR1,Poke,Left,12,19,11,,0
2022-07-09 21:21:47,7,3.98,1.0,FR1,Pellet,Left,12,19,12,2.81,0
2022-07-09 21:22:42,7,3.99,,FR1,Poke,Left,13,19,12,,0
