MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2022-07-09 19:13:43,1,4.02,,FR1,Poke,Left,0,1,0,,0
2022-07-09 19:13:46,1,4.01,,FR1,Poke,Left,1,1,0,,0
2022-07-09 19:15:32,1,4.01,,FR1,Poke,Left,2,1,0,,0
2022-07-09 19:17:32,1,4.01,3.0,FR1,Pellet,Left,2,1,1,,0
2022-07-09 19:18:28,1,4.01,,FR1,Poke,Left,2,2,1,,0
2022-07-09 19:44:07,1,4.01,,FR1,Poke,Left,3,2,1,,0
2022-07-09 19:44:44,1,4.01,2.0,FR1,Pellet,Left,3,2,2,34.81,0
2022-07-09 19:45:36,1,4.01,,FR1,Poke,Left,3,3,2,,0
2022-07-09 19:45:37,1,4.01,,FR1,Poke,Left,3,4,2,,0
2022-07-09 19:45:45,1,4.01,,FR1,Poke,Left,3,5,2,,0
2022-07-09 19:45:45,1,4.01,,FR1,Poke,Left,3,6,2,,0
2022-07-09 19:46:48,1,4.01,,FR1,Poke,Left,4,6,2,,0
2022-07-09 19:47:02,1,4.01,1.0,FR1,Pellet,Left,4,6,3,13.46,0
2022-07-09 19:47:36,1,4.01,,FR1,Poke,Left,4,7,3,,0
2022-07-09 19:47:43,1,4.01,,FR1,Poke,Left,4,8,3,,0
2022-07-09 19:48:14,1,4.01,,FR1,Poke,Left,5,8,3,,0
2022-07-09 19:48:43,1,4.01,1.0,FR1,Pellet,Left,5,8,4,28.33,0
2022-07-09 19:49:08,1,4.0,,FR1,Poke,Left,6,8,4,,0
2022-07-09 19:49:18,1,4.02,,FR1,Poke,Left,7,8,4,,0
2022-07-09 19:49:47,1,4.01,,FR1,Poke,Left,8,8,4,,0
2022-07-09 19:49:49,1,4.01,,FR1,Poke,Left,9,8,4,,0
2022-07-09 19:49:54,1,4.01,,FR1,Poke,Left,10,8,4,,0
2022-07-09 19:49:57,1,4.01,,FR1,Poke,Left,11,8,4,,0
2022-07-09 19:50:23,1,4.01,,FR1,Poke,Left,12,8,4,,0
2022-07-09 19:51:13,1,4.02,,FR1,Poke,Left,13,8,4,,0
2022-07-09 19:51:56,1,4.01,,FR1,Poke,Left,14,8,4,,0
2022-07-09 19:52:00,1,4.02,,FR1,Poke,Left,15,8,4,,0
2022-07-09 19:52:08,1,4.01,,FR1,Poke,Left,16,8,4,,0
2022-07-09 19:52:12,1,4.02,,FR1,Poke,Left,17,8,4,,0
2022-07-09 19:52:14,1,4.01,,FR1,Poke,Left,18,8,4,,0
2022-07-09 19:52:17,1,4.01,,FR1,Poke,Left,19,8,4,,0
2022-07-09 19:52:18,1,4.02,,FR1,Poke,Left,20,8,4,,0
2022-07-09 19:52:40,1,4.01,,FR1,Poke,Left,20,9,4,,0
2022-07-09 19:52:49,1,4.01,,FR1,Poke,Left,21,9,4,,0
2022-07-09 19:52:53,1,4.01,,FR1,Poke,Left,22,9,4,,0
2022-07-09 19:53:03,1,4.01,,FR1,Poke,Left,23,9,4,,0
2022-07-09 19:53:06,1,4.01,,FR1,Poke,Left,24,9,4,,0
2022-07-09 19:53:12,1,4.01,,FR1,Poke,Left,25,9,4,,0
2022-07-09 19:53:13,1,4.01,,FR1,Poke,Left,26,9,4,,0
2022-07-09 19:54:09,1,4.02,,FR1,Poke,Left,26,10,4,,0
2022-07-09 19:54:59,1,4.01,,FR1,Poke,Left,27,10,4,,0
2022-07-09 19:55:34,1,4.01,,FR1,Poke,Left,28,10,4,,0
2022-07-09 19:56:05,1,4.01,,FR1,Poke,Left,29,10,4,,0
2022-07-09 19:56:15,1,4.01,1.0,FR1,Pellet,Left,29,10,5,,0
2022-07-09 19:59:24,1,4.01,,FR1,Poke,Left,30,10,5,,0
2022-07-09 19:59:38,1,4.01,1.0,FR1,Pellet,Left,30,10,6,13.33,0
2022-07-09 20:02:07,1,4.01,,FR1,Poke,Left,31,10,6,,0
2022-07-09 20:02:24,1,4.01,1.0,FR1,Pellet,Left,31,10,7,16.83,0
2022-07-09 20:04:09,1,4.02,,FR1,Poke,Left,32,10,7,,0
2022-07-09 20:04:12,1,4.01,,FR1,Poke,Left,33,10,7,,0
2022-07-09 20:04:15,1,4.01,1.0,FR1,Pellet,Left,33,10,8,5.64,0
2022-07-09 20:05:19,1,4.01,,FR1,Poke,Left,34,10,8,,0
2022-07-09 20:05:27,1,4.01,1.0,FR1,Pellet,Left,34,10,9,7.25,0
2022-07-09 20:08:05,1,4.01,,FR1,Poke,Left,35,10,9,,0
2022-07-09 20:08:09,1,4.01,2.0,FR1,Pellet,Left,35,10,10,3.26,0
2022-07-09 20:09:02,1,4.01,,FR1,Poke,Left,36,10,10,,0
