MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/8/2022 15:33:08,1.12.0,Free_feed,6,4.09,3,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
7/8/2022 15:36:10,1.12.0,Free_feed,6,4.09,1,1,Pellet,Left,0,0,2,0,Timed_out,183,nan
7/8/2022 15:36:13,1.12.0,Free_feed,6,4.09,1,1,Pellet,Left,0,0,3,0,0.92,2,nan
7/8/2022 16:30:10,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,0,1,3,0,nan,nan,0.64
7/8/2022 16:32:49,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,0,2,3,0,nan,nan,0.04
7/8/2022 16:36:59,1.12.0,Free_feed,6,4.08,nan,1,RightWithPellet,Left,0,3,3,0,nan,nan,0.08
7/8/2022 16:40:39,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,0,4,3,0,nan,nan,0.25
7/8/2022 16:48:29,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,0,5,3,0,nan,nan,0.03
7/8/2022 16:48:30,1.12.0,Free_feed,6,4.08,nan,1,RightWithPellet,Left,0,6,3,0,nan,nan,0.20
7/8/2022 16:51:09,1.12.0,Free_feed,6,4.09,nan,1,LeftWithPellet,Left,1,6,3,0,nan,nan,0.02
7/8/2022 16:53:24,1.12.0,Free_feed,6,4.09,nan,1,LeftWithPellet,Left,2,6,3,0,nan,nan,0.43
7/8/2022 16:54:20,1.12.0,Free_feed,6,4.09,nan,1,LeftWithPellet,Left,3,6,3,0,nan,nan,0.00
7/8/2022 16:54:30,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,7,3,0,nan,nan,0.17
7/8/2022 17:22:20,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,8,3,0,nan,nan,0.05
7/8/2022 17:22:22,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,9,3,0,nan,nan,0.08
7/8/2022 17:22:39,1.12.0,Free_feed,6,4.09,2,1,Pellet,Left,3,9,4,0,Timed_out,6387,nan
7/8/2022 17:27:43,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,10,4,0,nan,nan,0.04
7/8/2022 17:36:47,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,11,4,0,nan,nan,0.07
7/8/2022 18:54:55,1.12.0,Free_feed,6,4.09,nan,1,RightWithPellet,Left,3,12,4,0,nan,nan,0.92
7/8/2022 18:58:22,1.12.0,Free_feed,6,4.08,nan,1,LeftWithPellet,Left,4,12,4,0,nan,nan,0.47
7/8/2022 19:08:58,1.12.0,Free_feed,6,4.08,nan,1,RightWithPellet,Left,4,13,4,0,nan,nan,0.60
7/8/2022 19:35:58,1.12.0,Free_feed,6,4.08,nan,1,LeftWithPellet,Left,5,13,4,0,nan,nan,0.11
7/8/2022 19:37:29,1.12.0,Free_feed,6,4.08,nan,1,RightWithPellet,Left,5,14,4,0,nan,nan,0.52
7/8/2022 19:49:44,1.12.0,Free_feed,6,4.08,nan,1,LeftWithPellet,Left,6,14,4,0,nan,nan,0.40
7/8/2022 19:51:31,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,5,0,Timed_out,8931,nan
7/8/2022 19:54:17,1.12.0,Free_feed,6,4.08,2,1,Pellet,Left,6,14,6,0,Timed_out,166,nan
7/8/2022 20:00:43,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,7,0,Timed_out,387,nan
7/8/2022 20:03:52,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,8,0,Timed_out,189,nan
7/8/2022 20:14:04,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,9,0,Timed_out,612,nan
7/8/2022 20:20:14,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,10,0,Timed_out,370,nan
7/8/2022 20:33:29,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,11,0,Timed_out,795,nan
7/8/2022 20:55:09,1.12.0,Free_feed,6,4.07,2,1,Pellet,Left,6,14,12,0,Timed_out,1300,nan
7/8/2022 20:56:54,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,13,0,Timed_out,105,nan
7/8/2022 20:59:05,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,14,0,Timed_out,131,nan
7/8/2022 21:01:32,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,15,0,Timed_out,147,nan
7/8/2022 21:02:40,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,16,0,Timed_out,68,nan
7/8/2022 21:03:45,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,17,0,56.77,64,nan
7/8/2022 21:05:49,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,18,0,Timed_out,125,nan
7/8/2022 21:05:51,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,19,0,0.29,2,nan
7/8/2022 21:16:00,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,20,0,Timed_out,608,nan
7/8/2022 21:26:40,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,21,0,Timed_out,641,nan
7/8/2022 21:30:04,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,22,0,Timed_out,204,nan
7/8/2022 21:32:06,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,23,0,Timed_out,122,nan
7/8/2022 21:32:08,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,24,0,0.79,2,nan
7/8/2022 21:34:18,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,25,0,Timed_out,130,nan
7/8/2022 21:36:12,1.12.0,Free_feed,6,4.07,2,1,Pellet,Left,6,14,26,0,Timed_out,114,nan
7/8/2022 21:38:28,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,27,0,Timed_out,136,nan
7/8/2022 21:38:30,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,28,0,0.22,2,nan
7/8/2022 21:39:38,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,29,0,59.82,68,nan
7/8/2022 21:41:05,1.12.0,Free_feed,6,4.07,2,1,Pellet,Left,6,14,30,0,Timed_out,87,nan
7/8/2022 21:50:23,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,31,0,Timed_out,558,nan
7/8/2022 21:55:11,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,32,0,Timed_out,288,nan
7/8/2022 21:56:50,1.12.0,Free_feed,6,4.08,1,1,Pellet,Left,6,14,33,0,Timed_out,98,nan
7/8/2022 21:57:31,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,34,0,33.60,42,nan
7/8/2022 21:58:03,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,35,0,25.13,32,nan
7/8/2022 21:58:23,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,36,0,13.01,20,nan
7/8/2022 21:59:40,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,37,0,Timed_out,76,nan
7/8/2022 22:00:22,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,38,0,40.96,43,nan
7/8/2022 22:02:40,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,39,0,Timed_out,138,nan
7/8/2022 22:07:36,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,40,0,Timed_out,296,nan
7/8/2022 22:08:25,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,41,0,41.65,49,nan
7/8/2022 22:32:42,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,42,0,Timed_out,1457,nan
7/8/2022 22:34:15,1.12.0,Free_feed,6,4.07,2,1,Pellet,Left,6,14,43,0,Timed_out,93,nan
7/8/2022 22:34:52,1.12.0,Free_feed,6,4.07,1,1,Pellet,Left,6,14,44,0,29.27,37,nan
