MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/8/2022 21:45:40,1.12.0,Free_feed,4,4.18,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.05
7/8/2022 21:49:21,1.12.0,Free_feed,4,4.18,1,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
7/8/2022 21:49:23,1.12.0,Free_feed,4,4.18,1,1,Pellet,Left,1,0,2,0,0.16,2,nan
7/8/2022 21:53:02,1.12.0,Free_feed,4,4.18,2,1,Pellet,Left,1,0,3,0,Timed_out,219,nan
7/8/2022 21:56:49,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,1,1,3,0,nan,nan,0.57
7/8/2022 22:01:04,1.12.0,Free_feed,4,4.18,nan,1,LeftWithPellet,Left,2,1,3,0,nan,nan,0.19
7/8/2022 22:01:08,1.12.0,Free_feed,4,4.17,nan,1,LeftWithPellet,Left,3,1,3,0,nan,nan,0.05
7/8/2022 22:02:23,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,3,2,3,0,nan,nan,0.04
7/8/2022 22:02:24,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,3,3,3,0,nan,nan,0.43
7/8/2022 22:02:25,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,3,4,3,0,nan,nan,0.15
7/8/2022 22:02:29,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,3,5,3,0,nan,nan,0.22
7/8/2022 22:02:38,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,3,6,3,0,nan,nan,0.05
7/8/2022 22:02:49,1.12.0,Free_feed,4,4.18,nan,1,LeftWithPellet,Left,4,6,3,0,nan,nan,0.16
7/8/2022 22:17:07,1.12.0,Free_feed,4,4.18,nan,1,RightWithPellet,Left,4,7,3,0,nan,nan,0.72
7/8/2022 22:17:10,1.12.0,Free_feed,4,4.18,1,1,Pellet,Left,4,7,4,0,Timed_out,1448,nan
7/8/2022 22:17:11,1.12.0,Free_feed,4,4.17,1,1,Pellet,Left,4,7,5,0,0.16,1,nan
7/8/2022 22:19:51,1.12.0,Free_feed,4,4.18,2,1,Pellet,Left,4,7,6,0,Timed_out,160,nan
