MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-27 15:51:13,99,3.71,0,FR1,Poke,Left,1,0,0,,0,FR1
2020-07-27 16:04:01,99,3.71,1,FR1,Pellet,Left,1,0,1,0.0,0,FR1
2020-07-27 17:04:19,99,3.71,0,FR1,Poke,Left,2,0,1,,0,FR1
2020-07-27 17:04:23,99,3.71,1,FR1,Pellet,Left,2,0,2,2.0,0,FR1
2020-07-27 17:10:35,99,3.71,0,FR1,Poke,Left,3,0,2,,0,FR1
2020-07-27 17:10:38,99,3.71,1,FR1,Pellet,Left,3,0,3,1.0,0,FR1
2020-07-27 17:12:51,99,3.71,0,FR1,Poke,Left,3,1,3,,0,FR1
2020-07-27 17:22:06,99,3.71,0,FR1,Poke,Left,3,2,3,,0,FR1
2020-07-27 17:22:21,99,3.71,0,FR1,Poke,Left,3,3,3,,0,FR1
2020-07-27 17:25:16,99,3.71,0,FR1,Poke,Left,3,4,3,,0,FR1
2020-07-27 17:30:12,99,3.71,0,FR1,Poke,Left,3,5,3,,0,FR1
2020-07-27 17:31:10,99,3.71,0,FR1,Poke,Left,3,6,3,,0,FR1
2020-07-27 17:32:17,99,3.71,0,FR1,Poke,Left,4,6,3,,0,FR1
2020-07-27 17:32:36,99,3.71,1,FR1,Pellet,Left,4,6,4,18.0,0,FR1
2020-07-27 17:40:41,99,3.71,0,FR1,Poke,Left,4,7,4,,0,FR1
2020-07-27 17:40:44,99,3.71,0,FR1,Poke,Left,4,8,4,,0,FR1
2020-07-27 17:40:49,99,3.71,0,FR1,Poke,Left,4,9,4,,0,FR1
2020-07-27 17:48:54,99,3.71,0,FR1,Poke,Left,4,10,4,,0,FR1
2020-07-27 17:49:01,99,3.71,0,FR1,Poke,Left,4,11,4,,0,FR1
2020-07-27 17:52:41,99,3.71,0,FR1,Poke,Left,5,11,4,,0,FR1
2020-07-27 17:52:44,99,3.71,1,FR1,Pellet,Left,5,11,5,0.0,0,FR1
2020-07-27 17:59:27,99,3.71,0,FR1,Poke,Left,6,11,5,,0,FR1
2020-07-27 17:59:30,99,3.71,1,FR1,Pellet,Left,6,11,6,1.0,0,FR1
2020-07-27 18:05:19,99,3.71,0,FR1,Poke,Left,7,11,6,,0,FR1
2020-07-27 18:05:23,99,3.71,1,FR1,Pellet,Left,7,11,7,2.0,0,FR1
2020-07-27 18:09:13,99,3.71,0,FR1,Poke,Left,8,11,7,,0,FR1
2020-07-27 18:09:18,99,3.71,1,FR1,Pellet,Left,8,11,8,2.0,0,FR1
2020-07-27 18:54:39,99,3.71,0,FR1,Poke,Left,8,12,8,,0,FR1
2020-07-27 18:54:47,99,3.71,0,FR1,Poke,Left,9,12,8,,0,FR1
2020-07-27 18:54:52,99,3.71,1,FR1,Pellet,Left,9,12,9,3.0,0,FR1
2020-07-27 18:56:12,99,3.71,0,FR1,Poke,Left,10,12,9,,0,FR1
2020-07-27 18:56:15,99,3.71,1,FR1,Pellet,Left,10,12,10,0.0,0,FR1
2020-07-27 18:57:12,99,3.71,0,FR1,Poke,Left,10,13,10,,0,FR1
2020-07-27 18:57:15,99,3.71,0,FR1,Poke,Left,10,14,10,,0,FR1
2020-07-27 18:59:11,99,3.71,0,FR1,Poke,Left,11,14,10,,0,FR1
2020-07-27 18:59:14,99,3.71,1,FR1,Pellet,Left,11,14,11,1.0,0,FR1
2020-07-27 19:00:00,99,3.71,0,FR1,Poke,Left,12,14,11,,0,FR1
2020-07-27 19:00:05,99,3.7,1,FR1,Pellet,Left,12,14,12,2.0,0,FR1
2020-07-27 19:02:06,99,3.7,0,FR1,Poke,Left,13,14,12,,0,FR1
2020-07-27 19:02:09,99,3.7,1,FR1,Pellet,Left,13,14,13,1.0,0,FR1
