MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-27 15:50:13,7,4.07,0,FR1,Poke,Left,1,0,0,,0,FR1
2020-07-27 15:53:13,7,4.07,1,FR1,Pellet,Left,1,0,1,0.0,0,FR1
2020-07-27 18:34:19,7,4.07,0,FR1,Poke,Left,2,0,1,,0,FR1
2020-07-27 18:34:30,7,4.05,1,FR1,Pellet,Left,2,0,2,9.0,0,FR1
2020-07-27 19:11:58,7,4.05,0,FR1,Poke,Left,3,0,2,,0,FR1
2020-07-27 19:12:02,7,4.05,1,FR1,Pellet,Left,3,0,3,2.0,0,FR1
2020-07-27 19:23:18,7,4.05,0,FR1,Poke,Left,4,0,3,,0,FR1
2020-07-27 19:23:20,7,4.05,1,FR1,Pellet,Left,4,0,4,0.0,0,FR1
2020-07-27 19:24:01,7,4.05,0,FR1,Poke,Left,5,0,4,,0,FR1
2020-07-27 19:24:09,7,4.05,2,FR1,Pellet,Left,5,0,5,4.0,0,FR1
2020-07-27 19:25:08,7,4.05,0,FR1,Poke,Left,6,0,5,,0,FR1
2020-07-27 19:25:10,7,4.05,1,FR1,Pellet,Left,6,0,6,0.0,0,FR1
2020-07-27 19:25:33,7,4.05,0,FR1,Poke,Left,7,0,6,,0,FR1
2020-07-27 19:25:36,7,4.05,1,FR1,Pellet,Left,7,0,7,1.0,0,FR1
2020-07-27 19:26:07,7,4.05,0,FR1,Poke,Left,8,0,7,,0,FR1
2020-07-27 19:26:10,7,4.05,1,FR1,Pellet,Left,8,0,8,1.0,0,FR1
2020-07-27 19:26:45,7,4.05,0,FR1,Poke,Left,9,0,8,,0,FR1
2020-07-27 19:26:49,7,4.05,1,FR1,Pellet,Left,9,0,9,2.0,0,FR1
2020-07-27 19:27:56,7,4.05,0,FR1,Poke,Left,10,0,9,,0,FR1
2020-07-27 19:28:00,7,4.05,1,FR1,Pellet,Left,10,0,10,2.0,0,FR1
2020-07-27 19:29:00,7,4.05,0,FR1,Poke,Left,11,0,10,,0,FR1
2020-07-27 19:29:03,7,4.05,1,FR1,Pellet,Left,11,0,11,1.0,0,FR1
2020-07-27 19:29:44,7,4.05,0,FR1,Poke,Left,12,0,11,,0,FR1
2020-07-27 19:29:51,7,4.05,2,FR1,Pellet,Left,12,0,12,3.0,0,FR1
2020-07-27 19:30:47,7,4.05,0,FR1,Poke,Left,13,0,12,,0,FR1
2020-07-27 19:30:50,7,4.05,1,FR1,Pellet,Left,13,0,13,0.0,0,FR1
2020-07-27 19:44:01,7,4.05,0,FR1,Poke,Left,14,0,13,,0,FR1
2020-07-27 19:44:04,7,4.05,1,FR1,Pellet,Left,14,0,14,1.0,0,FR1
2020-07-27 19:44:34,7,4.05,0,FR1,Poke,Left,15,0,14,,0,FR1
2020-07-27 19:44:37,7,4.05,1,FR1,Pellet,Left,15,0,15,1.0,0,FR1
2020-07-27 19:44:53,7,4.05,0,FR1,Poke,Left,16,0,15,,0,FR1
2020-07-27 19:44:56,7,4.05,1,FR1,Pellet,Left,16,0,16,1.0,0,FR1
2020-07-27 19:45:38,7,4.05,0,FR1,Poke,Left,17,0,16,,0,FR1
2020-07-27 19:45:42,7,4.05,1,FR1,Pellet,Left,17,0,17,2.0,0,FR1
2020-07-27 20:17:59,7,4.05,0,FR1,Poke,Left,18,0,17,,0,FR1
2020-07-27 20:18:02,7,4.05,1,FR1,Pellet,Left,18,0,18,1.0,0,FR1
2020-07-27 20:18:49,7,4.05,0,FR1,Poke,Left,19,0,18,,0,FR1
2020-07-27 20:18:51,7,4.05,1,FR1,Pellet,Left,19,0,19,0.0,0,FR1
2020-07-27 20:19:26,7,4.05,0,FR1,Poke,Left,20,0,19,,0,FR1
2020-07-27 20:19:29,7,4.05,1,FR1,Pellet,Left,20,0,20,1.0,0,FR1
2020-07-27 20:19:48,7,4.05,0,FR1,Poke,Left,21,0,20,,0,FR1
2020-07-27 20:19:51,7,4.05,1,FR1,Pellet,Left,21,0,21,1.0,0,FR1
2020-07-27 20:20:18,7,4.05,0,FR1,Poke,Left,22,0,21,,0,FR1
2020-07-27 20:20:21,7,4.05,1,FR1,Pellet,Left,22,0,22,1.0,0,FR1
2020-07-27 20:20:43,7,4.05,0,FR1,Poke,Left,23,0,22,,0,FR1
2020-07-27 20:20:46,7,4.05,1,FR1,Pellet,Left,23,0,23,0.0,0,FR1
2020-07-27 20:21:00,7,4.05,0,FR1,Poke,Left,24,0,23,,0,FR1
2020-07-27 20:21:03,7,4.05,1,FR1,Pellet,Left,24,0,24,1.0,0,FR1
2020-07-27 20:21:31,7,4.05,0,FR1,Poke,Left,25,0,24,,0,FR1
