MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-21 17:20:00,99,3.67,2,Free_feed,Pellet,Left,0,0,1,0.0,0,FED
2020-07-21 17:27:50,99,3.67,1,Free_feed,Pellet,Left,0,0,2,0.0,0,FED
2020-07-21 17:30:03,99,3.67,1,Free_feed,Pellet,Left,0,0,3,0.0,0,FED
2020-07-21 17:34:22,99,3.67,1,Free_feed,Pellet,Left,0,0,4,0.0,0,FED
2020-07-21 17:37:37,99,3.67,1,Free_feed,Pellet,Left,0,0,5,1.0,0,FED
2020-07-21 17:39:57,99,3.67,1,Free_feed,Pellet,Left,0,0,6,1.0,0,FED
2020-07-21 17:44:55,99,3.67,1,Free_feed,Pellet,Left,0,0,7,89.0,0,FED
2020-07-21 17:45:11,99,3.67,1,Free_feed,Pellet,Left,0,0,8,13.0,0,FED
2020-07-21 17:46:19,99,3.67,1,Free_feed,Pellet,Left,0,0,9,65.0,0,FED
2020-07-21 18:14:14,99,3.67,1,Free_feed,Pellet,Left,0,0,10,0.0,0,FED
2020-07-21 18:23:06,99,3.67,1,Free_feed,Pellet,Left,0,0,11,0.0,0,FED
2020-07-21 18:24:09,99,3.67,1,Free_feed,Pellet,Left,0,0,12,61.0,0,FED
2020-07-21 18:25:06,99,3.67,1,Free_feed,Pellet,Left,0,0,13,54.0,0,FED
2020-07-21 18:25:56,99,3.67,1,Free_feed,Pellet,Left,0,0,14,47.0,0,FED
2020-07-21 18:26:34,99,3.67,1,Free_feed,Pellet,Left,0,0,15,36.0,0,FED
2020-07-21 18:35:11,99,3.67,1,Free_feed,Pellet,Left,0,0,16,0.0,0,FED
2020-07-21 18:48:05,99,3.67,1,Free_feed,Pellet,Left,0,0,17,0.0,0,FED
2020-07-21 18:53:34,99,3.67,1,Free_feed,Pellet,Left,0,0,18,0.0,0,FED
2020-07-21 18:54:36,99,3.67,1,Free_feed,Pellet,Left,0,0,19,58.0,0,FED
2020-07-21 18:55:09,99,3.67,1,Free_feed,Pellet,Left,0,0,20,31.0,0,FED
2020-07-21 18:55:47,99,3.67,1,Free_feed,Pellet,Left,0,0,21,35.0,0,FED
2020-07-21 18:58:48,99,3.67,1,Free_feed,Pellet,Left,0,0,22,0.0,0,FED
2020-07-21 18:58:51,99,3.67,1,Free_feed,Pellet,Left,0,0,23,1.0,0,FED
