MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-21 19:15:51,8,4.09,3,Free_feed,Pellet,Left,0,0,1,0.0,0,FED
2020-07-21 19:17:24,8,4.09,1,Free_feed,Pellet,Left,0,0,2,89.0,0,FED
2020-07-21 19:27:49,8,4.09,1,Free_feed,Pellet,Left,0,0,3,0.0,0,FED
2020-07-21 19:28:27,8,4.08,1,Free_feed,Pellet,Left,0,0,4,35.0,0,FED
2020-07-21 19:30:56,8,4.09,2,Free_feed,Pellet,Left,0,0,5,0.0,0,FED
2020-07-21 19:33:50,8,4.09,2,Free_feed,Pellet,Left,0,0,6,0.0,0,FED
2020-07-21 19:35:32,8,4.08,1,Free_feed,Pellet,Left,0,0,7,5.0,0,FED
2020-07-21 19:36:10,8,4.09,1,Free_feed,Pellet,Left,0,0,8,36.0,0,FED
2020-07-21 19:36:22,8,4.09,2,Free_feed,Pellet,Left,0,0,9,7.0,0,FED
2020-07-21 19:36:59,8,4.08,1,Free_feed,Pellet,Left,0,0,10,33.0,0,FED
2020-07-21 19:37:08,8,4.09,1,Free_feed,Pellet,Left,0,0,11,7.0,0,FED
2020-07-21 19:37:12,8,4.09,1,Free_feed,Pellet,Left,0,0,12,1.0,0,FED
2020-07-21 19:37:58,8,4.09,3,Free_feed,Pellet,Left,0,0,13,39.0,0,FED
2020-07-21 19:39:08,8,4.08,1,Free_feed,Pellet,Left,0,0,14,67.0,0,FED
2020-07-21 19:41:45,8,4.09,1,Free_feed,Pellet,Left,0,0,15,0.0,0,FED
2020-07-21 19:42:32,8,4.08,3,Free_feed,Pellet,Left,0,0,16,41.0,0,FED
2020-07-21 19:43:10,8,4.08,1,Free_feed,Pellet,Left,0,0,17,35.0,0,FED
2020-07-21 19:45:53,8,4.08,1,Free_feed,Pellet,Left,0,0,18,0.0,0,FED
2020-07-21 19:46:16,8,4.09,1,Free_feed,Pellet,Left,0,0,19,21.0,0,FED
2020-07-21 19:49:08,8,4.08,1,Free_feed,Pellet,Left,0,0,20,0.0,0,FED
2020-07-21 19:50:55,8,4.09,2,Free_feed,Pellet,Left,0,0,21,103.0,0,FED
2020-07-21 19:51:36,8,4.08,3,Free_feed,Pellet,Left,0,0,22,34.0,0,FED
2020-07-21 19:52:11,8,4.09,1,Free_feed,Pellet,Left,0,0,23,33.0,0,FED
2020-07-21 19:52:52,8,4.09,1,Free_feed,Pellet,Left,0,0,24,38.0,0,FED
2020-07-21 20:02:44,8,4.08,1,Free_feed,Pellet,Left,0,0,25,0.0,0,FED
2020-07-21 20:04:20,8,4.08,2,Free_feed,Pellet,Left,0,0,26,92.0,0,FED
2020-07-21 20:05:00,8,4.08,3,Free_feed,Pellet,Left,0,0,27,33.0,0,FED
2020-07-21 20:08:43,8,4.08,2,Free_feed,Pellet,Left,0,0,28,0.0,0,FED
2020-07-21 20:09:26,8,4.08,2,Free_feed,Pellet,Left,0,0,29,38.0,0,FED
2020-07-21 20:10:17,8,4.08,2,Free_feed,Pellet,Left,0,0,30,46.0,0,FED
2020-07-21 20:11:07,8,4.09,1,Free_feed,Pellet,Left,0,0,31,47.0,0,FED
