MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/4/2022 13:35:56,1.12.0,Free_feed,0,4.04,,1,Left,Left,1,0,0,0,,,0.03
4/4/2022 13:36:12,1.12.0,Free_feed,0,4.04,3.0,1,Pellet,Left,1,0,1,0,11.17,,
4/4/2022 13:43:11,1.12.0,Free_feed,0,4.04,,1,Right,Left,1,1,1,0,,,0.08
4/4/2022 13:48:12,1.12.0,Free_feed,0,4.04,,1,Right,Left,1,2,1,0,,,0.0
4/4/2022 13:48:14,1.12.0,Free_feed,0,4.05,,1,Left,Left,2,2,1,0,,,0.11
4/4/2022 13:48:19,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,2,2,2,0,4.10,727.0,
4/4/2022 13:50:42,1.12.0,Free_feed,0,4.04,,1,Right,Left,2,3,2,0,,,0.02
4/4/2022 13:53:03,1.12.0,Free_feed,0,4.04,,1,Left,Left,3,3,2,0,,,0.13
4/4/2022 13:54:05,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,3,3,3,0,Timed_out,346.0,
4/4/2022 13:54:31,1.12.0,Free_feed,0,4.04,,1,Left,Left,4,3,3,0,,,0.24
4/4/2022 13:55:17,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,4,3,4,0,45.07,72.0,
4/4/2022 13:56:59,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,4,4,0,,,0.11
4/4/2022 13:57:02,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,5,4,0,,,0.15
4/4/2022 13:57:03,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,6,4,0,,,0.16
4/4/2022 13:58:21,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,7,4,0,,,0.05
4/4/2022 13:58:22,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,8,4,0,,,0.0
4/4/2022 13:59:00,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,9,4,0,,,0.03
4/4/2022 14:09:47,1.12.0,Free_feed,0,4.05,,1,Right,Left,4,10,4,0,,,0.15
4/4/2022 14:09:52,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,11,4,0,,,0.03
4/4/2022 14:09:58,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,12,4,0,,,0.27
4/4/2022 14:10:02,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,13,4,0,,,0.51
4/4/2022 15:11:20,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,14,4,0,,,0.3
4/4/2022 15:11:25,1.12.0,Free_feed,0,4.05,,1,Right,Left,4,15,4,0,,,0.44
4/4/2022 15:11:51,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,16,4,0,,,0.45
4/4/2022 15:11:54,1.12.0,Free_feed,0,4.05,,1,Right,Left,4,17,4,0,,,0.29
4/4/2022 15:11:59,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,18,4,0,,,0.32
4/4/2022 15:12:02,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,19,4,0,,,0.5
4/4/2022 15:12:04,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,20,4,0,,,0.33
4/4/2022 15:12:06,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,21,4,0,,,0.57
4/4/2022 15:12:07,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,22,4,0,,,0.38
4/4/2022 15:12:08,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,23,4,0,,,0.41
4/4/2022 15:12:10,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,24,4,0,,,0.23
4/4/2022 15:12:11,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,25,4,0,,,0.32
4/4/2022 15:12:13,1.12.0,Free_feed,0,4.04,,1,Right,Left,4,26,4,0,,,0.08
4/4/2022 15:12:21,1.12.0,Free_feed,0,4.04,,1,Left,Left,5,26,4,0,,,0.32
4/4/2022 15:12:22,1.12.0,Free_feed,0,4.03,,1,LeftWithPellet,Left,6,26,4,0,,,0.11
4/4/2022 15:12:23,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,6,26,5,0,1.44,4626.0,
4/4/2022 15:12:48,1.12.0,Free_feed,0,4.04,,1,Left,Left,7,26,5,0,,,0.0
4/4/2022 15:12:51,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,7,26,6,0,1.71,28.0,
4/4/2022 15:13:26,1.12.0,Free_feed,0,4.04,,1,Left,Left,8,26,6,0,,,0.29
4/4/2022 15:13:28,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,8,26,7,0,0.97,37.0,
4/4/2022 15:13:51,1.12.0,Free_feed,0,4.04,,1,Left,Left,9,26,7,0,,,0.07
4/4/2022 15:13:53,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,9,26,8,0,0.97,25.0,
4/4/2022 15:14:24,1.12.0,Free_feed,0,4.04,,1,Left,Left,10,26,8,0,,,0.0
4/4/2022 15:14:26,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,10,26,9,0,1.34,33.0,
4/4/2022 15:14:59,1.12.0,Free_feed,0,4.04,,1,Left,Left,11,26,9,0,,,0.31
4/4/2022 15:15:01,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,11,26,10,0,0.73,35.0,
4/4/2022 15:15:28,1.12.0,Free_feed,0,4.03,,1,Left,Left,12,26,10,0,,,0.15
4/4/2022 15:15:30,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,12,26,11,0,0.79,29.0,
4/4/2022 15:15:52,1.12.0,Free_feed,0,4.04,,1,Left,Left,13,26,11,0,,,0.01
4/4/2022 15:15:55,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,13,26,12,0,2.26,25.0,
4/4/2022 15:16:31,1.12.0,Free_feed,0,4.03,,1,Left,Left,14,26,12,0,,,0.05
4/4/2022 15:16:32,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,14,26,13,0,0.49,37.0,
4/4/2022 15:16:54,1.12.0,Free_feed,0,4.04,,1,Left,Left,15,26,13,0,,,0.08
4/4/2022 15:16:56,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,15,26,14,0,0.73,24.0,
4/4/2022 15:17:21,1.12.0,Free_feed,0,4.04,,1,Left,Left,16,26,14,0,,,0.15
4/4/2022 15:17:23,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,16,26,15,0,0.97,27.0,
4/4/2022 16:20:01,1.12.0,Free_feed,0,4.04,,1,Right,Left,16,27,15,0,,,0.0
4/4/2022 16:20:09,1.12.0,Free_feed,0,4.04,,1,Left,Left,17,27,15,0,,,0.14
4/4/2022 16:20:10,1.12.0,Free_feed,0,4.05,1.0,1,Pellet,Left,17,27,16,0,0.55,3767.0,
4/4/2022 16:20:49,1.12.0,Free_feed,0,4.04,,1,Left,Left,18,27,16,0,,,0.18
4/4/2022 16:20:50,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,18,27,17,0,0.55,40.0,
4/4/2022 16:21:26,1.12.0,Free_feed,0,4.03,,1,Left,Left,19,27,17,0,,,0.32
4/4/2022 16:21:28,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,19,27,18,0,0.55,38.0,
4/4/2022 16:22:01,1.12.0,Free_feed,0,4.04,,1,Left,Left,20,27,18,0,,,0.28
4/4/2022 16:22:03,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,20,27,19,0,0.49,35.0,
4/4/2022 16:22:25,1.12.0,Free_feed,0,4.03,,1,Left,Left,21,27,19,0,,,0.03
4/4/2022 16:22:29,1.12.0,Free_feed,0,4.04,,1,LeftWithPellet,Left,22,27,19,0,,,0.16
4/4/2022 16:22:30,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,22,27,20,0,2.34,27.0,
4/4/2022 16:37:23,1.12.0,Free_feed,0,4.04,,1,Right,Left,22,28,20,0,,,0.13
4/4/2022 16:38:37,1.12.0,Free_feed,0,4.04,,1,Left,Left,23,28,20,0,,,0.16
4/4/2022 16:38:38,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,23,28,21,0,0.85,968.0,
4/4/2022 16:39:06,1.12.0,Free_feed,0,4.04,,1,Left,Left,24,28,21,0,,,0.25
4/4/2022 16:39:07,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,24,28,22,0,0.42,29.0,
4/4/2022 17:20:27,1.12.0,Free_feed,0,4.04,,1,Left,Left,25,28,22,0,,,0.16
4/4/2022 17:20:28,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,25,28,23,0,0.73,2481.0,
4/4/2022 17:20:54,1.12.0,Free_feed,0,4.04,,1,Left,Left,26,28,23,0,,,0.27
4/4/2022 17:20:56,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,26,28,24,0,0.42,28.0,
4/4/2022 17:21:18,1.12.0,Free_feed,0,4.04,,1,Left,Left,27,28,24,0,,,0.2
4/4/2022 17:21:20,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,27,28,25,0,0.61,24.0,
4/4/2022 17:21:49,1.12.0,Free_feed,0,4.04,,1,Left,Left,28,28,25,0,,,0.08
4/4/2022 17:21:50,1.12.0,Free_feed,0,4.03,2.0,1,Pellet,Left,28,28,26,0,0.12,30.0,
4/4/2022 17:22:17,1.12.0,Free_feed,0,4.04,,1,Left,Left,29,28,26,0,,,0.34
4/4/2022 17:22:19,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,29,28,27,0,0.61,29.0,
4/4/2022 17:22:47,1.12.0,Free_feed,0,4.04,,1,Left,Left,30,28,27,0,,,0.96
4/4/2022 17:22:49,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,30,28,28,0,1.71,30.0,
4/4/2022 17:23:19,1.12.0,Free_feed,0,4.04,,1,Left,Left,31,28,28,0,,,0.16
4/4/2022 17:23:20,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,31,28,29,0,0.49,31.0,
4/4/2022 18:01:45,1.12.0,Free_feed,0,4.03,,1,Right,Left,31,29,29,0,,,0.02
4/4/2022 18:01:53,1.12.0,Free_feed,0,4.04,,1,Right,Left,31,30,29,0,,,0.42
4/4/2022 18:01:58,1.12.0,Free_feed,0,4.04,,1,Left,Left,32,30,29,0,,,0.16
4/4/2022 18:01:59,1.12.0,Free_feed,0,4.03,2.0,1,Pellet,Left,32,30,30,0,0.36,2319.0,
4/4/2022 18:02:26,1.12.0,Free_feed,0,4.04,,1,Left,Left,33,30,30,0,,,0.22
4/4/2022 18:02:27,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,33,30,31,0,0.24,28.0,
4/4/2022 18:03:52,1.12.0,Free_feed,0,4.04,,1,Left,Left,34,30,31,0,,,0.04
4/4/2022 18:03:55,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,34,30,32,0,1.77,88.0,
4/4/2022 18:21:05,1.12.0,Free_feed,0,4.04,,1,Left,Left,35,30,32,0,,,0.04
4/4/2022 18:21:07,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,35,30,33,0,0.91,1032.0,
4/4/2022 18:21:30,1.12.0,Free_feed,0,4.04,,1,Left,Left,36,30,33,0,,,0.15
4/4/2022 18:21:31,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,36,30,34,0,0.36,24.0,
4/4/2022 18:21:52,1.12.0,Free_feed,0,4.04,,1,Left,Left,37,30,34,0,,,0.01
4/4/2022 18:21:54,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,37,30,35,0,1.34,23.0,
4/4/2022 18:22:15,1.12.0,Free_feed,0,4.04,,1,Left,Left,38,30,35,0,,,0.17
4/4/2022 18:22:16,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,38,30,36,0,0.24,22.0,
4/4/2022 18:22:36,1.12.0,Free_feed,0,4.03,,1,Left,Left,39,30,36,0,,,0.35
4/4/2022 18:22:37,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,39,30,37,0,0.42,21.0,
4/4/2022 18:23:07,1.12.0,Free_feed,0,4.04,,1,Left,Left,40,30,37,0,,,0.12
4/4/2022 18:23:09,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,40,30,38,0,0.61,32.0,
4/4/2022 18:23:33,1.12.0,Free_feed,0,4.04,,1,Left,Left,41,30,38,0,,,0.05
4/4/2022 18:23:34,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,41,30,39,0,0.61,25.0,
4/4/2022 18:37:23,1.12.0,Free_feed,0,4.03,,1,Left,Left,42,30,39,0,,,0.15
4/4/2022 18:37:25,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,42,30,40,0,0.79,831.0,
4/4/2022 18:37:48,1.12.0,Free_feed,0,4.04,,1,Left,Left,43,30,40,0,,,0.16
4/4/2022 18:37:50,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,43,30,41,0,0.79,25.0,
4/4/2022 18:50:59,1.12.0,Free_feed,0,4.04,,1,Left,Left,44,30,41,0,,,0.13
4/4/2022 18:51:04,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,44,30,42,0,4.17,794.0,
4/4/2022 18:51:28,1.12.0,Free_feed,0,4.04,,1,Right,Left,44,31,42,0,,,0.04
4/4/2022 18:51:29,1.12.0,Free_feed,0,4.04,,1,Right,Left,44,32,42,0,,,0.0
4/4/2022 18:54:38,1.12.0,Free_feed,0,4.04,,1,Right,Left,44,33,42,0,,,0.31
4/4/2022 18:55:12,1.12.0,Free_feed,0,4.04,,1,Left,Left,45,33,42,0,,,0.23
4/4/2022 18:55:14,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,45,33,43,0,0.98,250.0,
4/4/2022 18:55:33,1.12.0,Free_feed,0,4.04,,1,Left,Left,46,33,43,0,,,0.1
4/4/2022 18:55:36,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,46,33,44,0,1.83,22.0,
4/4/2022 18:55:54,1.12.0,Free_feed,0,4.02,,1,Left,Left,47,33,44,0,,,0.04
4/4/2022 18:55:57,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,47,33,45,0,2.02,21.0,
4/4/2022 19:02:04,1.12.0,Free_feed,0,4.04,,1,Right,Left,47,34,45,0,,,0.29
4/4/2022 19:06:41,1.12.0,Free_feed,0,4.03,,1,Right,Left,47,35,45,0,,,0.08
4/4/2022 19:09:12,1.12.0,Free_feed,0,4.04,,1,Right,Left,47,36,45,0,,,0.17
4/4/2022 19:10:12,1.12.0,Free_feed,0,4.04,,1,Left,Left,48,36,45,0,,,0.0
4/4/2022 19:10:15,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,48,36,46,0,1.65,858.0,
4/4/2022 19:10:35,1.12.0,Free_feed,0,4.03,,1,Left,Left,49,36,46,0,,,0.04
4/4/2022 19:10:37,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,49,36,47,0,1.10,22.0,
4/4/2022 19:10:55,1.12.0,Free_feed,0,4.04,,1,Left,Left,50,36,47,0,,,0.15
4/4/2022 19:10:56,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,50,36,48,0,1.03,19.0,
4/4/2022 19:11:16,1.12.0,Free_feed,0,4.04,,1,Left,Left,51,36,48,0,,,0.02
4/4/2022 19:11:20,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,51,36,49,0,2.94,24.0,
4/4/2022 19:11:42,1.12.0,Free_feed,0,4.04,,1,Left,Left,52,36,49,0,,,0.02
4/4/2022 19:11:53,1.12.0,Free_feed,0,4.04,2.0,1,Pellet,Left,52,36,50,0,10.13,33.0,
4/4/2022 19:25:33,1.12.0,Free_feed,0,4.03,,1,Left,Left,53,36,50,0,,,0.17
4/4/2022 19:25:34,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,53,36,51,0,0.48,821.0,
4/4/2022 19:26:29,1.12.0,Free_feed,0,4.04,,1,Left,Left,54,36,51,0,,,0.18
4/4/2022 19:26:31,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,54,36,52,0,1.28,57.0,
4/4/2022 19:26:56,1.12.0,Free_feed,0,4.04,,1,Left,Left,55,36,52,0,,,0.22
4/4/2022 19:26:58,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,55,36,53,0,0.73,27.0,
4/4/2022 19:47:32,1.12.0,Free_feed,0,4.04,,1,Left,Left,56,36,53,0,,,0.26
4/4/2022 19:47:34,1.12.0,Free_feed,0,4.04,1.0,1,Pellet,Left,56,36,54,0,0.98,1236.0,
4/4/2022 19:47:54,1.12.0,Free_feed,0,4.04,,1,Left,Left,57,36,54,0,,,0.01
4/4/2022 19:47:55,1.12.0,Free_feed,0,4.03,1.0,1,Pellet,Left,57,36,55,0,1.03,21.0,
