MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/4/2022 13:47:12,1.12.0,Free_feed,1,3.67,,1,Left,Left,1,0,0,0,,,0.37
4/4/2022 13:49:21,1.12.0,Free_feed,1,3.66,,1,RightWithPellet,Left,1,1,0,0,,,0.23
4/4/2022 13:51:07,1.12.0,Free_feed,1,3.66,3.0,1,Pellet,Left,1,1,1,0,Timed_out,,
4/4/2022 14:01:34,1.12.0,Free_feed,1,3.67,,1,Left,Left,2,1,1,0,,,0.18
4/4/2022 14:08:37,1.12.0,Free_feed,1,3.66,,1,RightWithPellet,Left,2,2,1,0,,,0.16
4/4/2022 14:14:49,1.12.0,Free_feed,1,3.67,,1,RightWithPellet,Left,2,3,1,0,,,0.02
4/4/2022 14:20:23,1.12.0,Free_feed,1,3.67,1.0,1,Pellet,Left,2,3,2,0,Timed_out,1756.0,
4/4/2022 14:55:39,1.12.0,Free_feed,1,3.66,,1,Right,Left,2,4,2,0,,,0.42
4/4/2022 15:37:37,1.12.0,Free_feed,1,3.67,,1,Right,Left,2,5,2,0,,,0.18
4/4/2022 15:59:06,1.12.0,Free_feed,1,3.66,,1,Right,Left,2,6,2,0,,,0.03
4/4/2022 15:59:11,1.12.0,Free_feed,1,3.67,,1,Right,Left,2,7,2,0,,,0.24
4/4/2022 15:59:13,1.12.0,Free_feed,1,3.66,,1,Right,Left,2,8,2,0,,,0.28
4/4/2022 15:59:15,1.12.0,Free_feed,1,3.66,,1,Right,Left,2,9,2,0,,,0.38
4/4/2022 15:59:19,1.12.0,Free_feed,1,3.66,,1,Right,Left,2,10,2,0,,,0.56
4/4/2022 15:59:21,1.12.0,Free_feed,1,3.67,,1,Right,Left,2,11,2,0,,,0.88
