MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/1/2022 15:36:29,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,0,1,0,0,,,0.01
4/1/2022 15:37:26,1.12.0,FR1,0,4.17,,1,LeftWithPellet,Left,1,1,0,0,,,0.26
4/1/2022 15:43:54,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,1,2,0,0,,,0.38
4/1/2022 15:48:35,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,2,2,0,0,,,0.05
4/1/2022 16:05:43,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,3,2,0,0,,,0.28
4/1/2022 16:06:17,1.12.0,FR1,0,4.17,,1,LeftWithPellet,Left,4,2,0,0,,,0.01
4/1/2022 16:07:00,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,5,2,0,0,,,0.02
4/1/2022 16:09:04,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,5,3,0,0,,,0.28
4/1/2022 16:12:23,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,6,3,0,0,,,0.04
4/1/2022 16:15:54,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,7,3,0,0,,,0.04
4/1/2022 16:20:17,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,7,4,0,0,,,0.01
4/1/2022 16:20:20,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,8,4,0,0,,,0.0
4/1/2022 16:31:18,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,8,5,0,0,,,0.15
4/1/2022 16:55:51,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,8,6,0,0,,,0.49
4/1/2022 16:59:30,1.12.0,FR1,0,4.15,,1,LeftWithPellet,Left,9,6,0,0,,,0.01
4/1/2022 17:04:04,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,10,6,0,0,,,0.01
4/1/2022 17:41:04,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,11,6,0,0,,,0.07
4/1/2022 17:41:06,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,12,6,0,0,,,0.06
4/1/2022 17:41:24,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,13,6,0,0,,,0.06
4/1/2022 17:41:25,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,14,6,0,0,,,0.1
4/1/2022 17:42:21,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,15,6,0,0,,,0.08
4/1/2022 17:42:40,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,15,7,0,0,,,0.04
4/1/2022 17:43:40,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,16,7,0,0,,,0.06
4/1/2022 17:43:41,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,17,7,0,0,,,0.15
4/1/2022 17:43:42,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,18,7,0,0,,,0.26
4/1/2022 17:43:43,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,19,7,0,0,,,0.1
4/1/2022 17:43:48,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,19,8,0,0,,,0.04
4/1/2022 17:43:49,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,19,9,0,0,,,0.09
4/1/2022 17:43:52,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,19,10,0,0,,,0.1
4/1/2022 17:43:53,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,19,11,0,0,,,0.03
4/1/2022 17:45:06,1.12.0,FR1,0,4.15,,1,LeftWithPellet,Left,20,11,0,0,,,0.04
4/1/2022 17:45:07,1.12.0,FR1,0,4.16,,1,LeftWithPellet,Left,21,11,0,0,,,0.12
4/1/2022 18:29:54,1.12.0,FR1,0,4.16,,1,RightWithPellet,Left,21,12,0,0,,,0.03
4/1/2022 18:57:57,1.12.0,FR1,0,4.16,2.0,1,Pellet,Left,21,12,1,0,Timed_out,,
4/1/2022 19:19:25,1.12.0,FR1,0,4.15,2.0,1,Pellet,Left,21,12,2,0,Timed_out,1288.0,
4/1/2022 19:19:26,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,3,0,0.06,1.0,
4/1/2022 19:29:36,1.12.0,FR1,0,4.16,3.0,1,Pellet,Left,21,12,4,0,Timed_out,610.0,
4/1/2022 19:30:13,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,5,0,30.82,37.0,
4/1/2022 19:30:14,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,6,0,0.06,1.0,
4/1/2022 19:37:31,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,7,0,Timed_out,437.0,
4/1/2022 19:37:32,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,8,0,0.30,1.0,
4/1/2022 19:45:36,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,9,0,Timed_out,484.0,
4/1/2022 19:47:15,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,10,0,Timed_out,99.0,
4/1/2022 19:47:16,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,11,0,0.12,1.0,
4/1/2022 19:48:12,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,12,0,49.39,56.0,
4/1/2022 19:49:58,1.12.0,FR1,0,4.15,4.0,1,Pellet,Left,21,12,13,0,Timed_out,106.0,
4/1/2022 19:52:34,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,21,12,14,0,Timed_out,156.0,
4/1/2022 19:52:35,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,15,0,0.36,1.0,
4/1/2022 20:04:36,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,21,12,16,0,Timed_out,720.0,
4/1/2022 20:04:36,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,12,17,0,0.12,1.0,
4/1/2022 20:05:08,1.12.0,FR1,0,4.15,2.0,1,Pellet,Left,21,12,18,0,23.93,32.0,
4/1/2022 20:05:08,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,19,0,0.06,0.0,
4/1/2022 20:05:10,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,20,0,0.36,1.0,
4/1/2022 20:13:00,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,21,0,Timed_out,471.0,
4/1/2022 20:15:27,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,22,0,Timed_out,147.0,
4/1/2022 20:15:28,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,23,0,0.06,1.0,
4/1/2022 20:16:41,1.12.0,FR1,0,4.15,3.0,1,Pellet,Left,21,12,24,0,Timed_out,73.0,
4/1/2022 20:17:27,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,25,0,39.44,46.0,
4/1/2022 20:21:43,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,12,26,0,Timed_out,256.0,
4/1/2022 20:21:44,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,12,27,0,0.06,1.0,
4/1/2022 20:30:27,1.12.0,FR1,0,4.14,,1,RightWithPellet,Left,21,13,27,0,,,2.59
4/1/2022 20:35:29,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,28,0,Timed_out,825.0,
4/1/2022 20:35:29,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,13,29,0,0.06,0.0,
4/1/2022 20:37:55,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,30,0,Timed_out,146.0,
4/1/2022 20:38:15,1.12.0,FR1,0,4.15,1.0,1,Pellet,Left,21,13,31,0,13.24,20.0,
4/1/2022 20:38:41,1.12.0,FR1,0,4.15,3.0,1,Pellet,Left,21,13,32,0,20.25,26.0,
4/1/2022 20:39:27,1.12.0,FR1,0,4.15,6.0,1,Pellet,Left,21,13,33,0,28.62,46.0,
4/1/2022 20:39:28,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,34,0,0.12,1.0,
4/1/2022 20:39:51,1.12.0,FR1,0,4.15,2.0,1,Pellet,Left,21,13,35,0,15.81,23.0,
4/1/2022 20:40:16,1.12.0,FR1,0,4.15,2.0,1,Pellet,Left,21,13,36,0,18.53,25.0,
4/1/2022 20:55:11,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,37,0,Timed_out,895.0,
4/1/2022 20:59:08,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,38,0,Timed_out,237.0,
4/1/2022 20:59:36,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,39,0,26.65,28.0,
4/1/2022 21:05:10,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,21,13,40,0,Timed_out,334.0,
4/1/2022 21:05:33,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,41,0,16.55,23.0,
4/1/2022 21:06:02,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,42,0,21.90,29.0,
4/1/2022 21:06:33,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,43,0,24.42,31.0,
4/1/2022 21:06:35,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,44,0,0.67,2.0,
4/1/2022 21:19:09,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,45,0,Timed_out,754.0,
4/1/2022 21:19:31,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,46,0,15.32,22.0,
4/1/2022 21:19:53,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,47,0,15.44,22.0,
4/1/2022 21:20:17,1.12.0,FR1,0,4.15,2.0,1,Pellet,Left,21,13,48,0,14.95,24.0,
4/1/2022 21:20:19,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,13,49,0,1.52,2.0,
4/1/2022 21:26:03,1.12.0,FR1,0,4.14,,1,RightWithPellet,Left,21,14,49,0,,,0.0
4/1/2022 21:33:05,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,21,14,50,0,Timed_out,766.0,
4/1/2022 21:43:53,1.12.0,FR1,0,4.14,,1,RightWithPellet,Left,21,15,50,0,,,0.15
4/1/2022 21:48:59,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,22,15,50,0,,,0.01
4/1/2022 21:51:38,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,51,0,Timed_out,1113.0,
4/1/2022 21:52:08,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,52,0,26.57,30.0,
4/1/2022 21:52:08,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,53,0,0.06,0.0,
4/1/2022 21:52:29,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,54,0,13.54,21.0,
4/1/2022 21:52:29,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,55,0,0.06,0.0,
4/1/2022 21:52:56,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,56,0,23.20,27.0,
4/1/2022 21:53:19,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,57,0,15.69,23.0,
4/1/2022 21:53:20,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,58,0,0.06,1.0,
4/1/2022 21:53:20,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,59,0,0.06,0.0,
4/1/2022 21:53:46,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,60,0,16.74,26.0,
4/1/2022 21:54:18,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,61,0,22.58,32.0,
4/1/2022 21:54:51,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,62,0,26.88,33.0,
4/1/2022 22:03:43,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,22,15,63,0,Timed_out,532.0,
4/1/2022 22:03:44,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,64,0,0.06,1.0,
4/1/2022 22:03:46,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,65,0,0.06,2.0,
4/1/2022 22:03:46,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,22,15,66,0,0.06,0.0,
4/1/2022 22:08:42,1.12.0,FR1,0,4.14,,1,RightWithPellet,Left,22,16,66,0,,,0.86
4/1/2022 22:09:27,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,23,16,66,0,,,0.04
4/1/2022 22:12:18,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,67,0,Timed_out,512.0,
4/1/2022 22:12:41,1.12.0,FR1,0,4.14,4.0,1,Pellet,Left,23,16,68,0,16.92,23.0,
4/1/2022 22:13:02,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,69,0,14.96,21.0,
4/1/2022 22:13:03,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,70,0,0.06,1.0,
4/1/2022 22:13:36,1.12.0,FR1,0,4.14,3.0,1,Pellet,Left,23,16,71,0,23.13,33.0,
4/1/2022 22:13:54,1.12.0,FR1,0,4.14,5.0,1,Pellet,Left,23,16,72,0,5.50,18.0,
4/1/2022 22:13:56,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,73,0,0.73,2.0,
4/1/2022 22:14:19,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,74,0,16.36,23.0,
4/1/2022 22:14:48,1.12.0,FR1,0,4.14,3.0,1,Pellet,Left,23,16,75,0,25.21,29.0,
4/1/2022 22:26:55,1.12.0,FR1,0,4.14,5.0,1,Pellet,Left,23,16,76,0,Timed_out,727.0,
4/1/2022 22:26:56,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,77,0,0.06,1.0,
4/1/2022 22:26:57,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,78,0,0.12,1.0,
4/1/2022 22:30:42,1.12.0,FR1,0,4.13,2.0,1,Pellet,Left,23,16,79,0,Timed_out,225.0,
4/1/2022 22:31:14,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,80,0,23.07,32.0,
4/1/2022 22:31:15,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,81,0,0.06,1.0,
4/1/2022 22:31:16,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,82,0,0.24,1.0,
4/1/2022 22:31:17,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,83,0,0.18,1.0,
4/1/2022 22:32:04,1.12.0,FR1,0,4.14,4.0,1,Pellet,Left,23,16,84,0,35.51,47.0,
4/1/2022 22:32:31,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,85,0,19.63,27.0,
4/1/2022 22:49:13,1.12.0,FR1,0,4.14,1.0,1,Pellet,Left,23,16,86,0,Timed_out,1002.0,
4/1/2022 22:49:33,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,87,0,17.11,20.0,
4/1/2022 22:49:55,1.12.0,FR1,0,4.14,4.0,1,Pellet,Left,23,16,88,0,10.04,22.0,
4/1/2022 22:50:42,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,89,0,45.05,47.0,
4/1/2022 22:51:25,1.12.0,FR1,0,4.14,2.0,1,Pellet,Left,23,16,90,0,36.69,43.0,
4/1/2022 22:51:50,1.12.0,FR1,0,4.14,3.0,1,Pellet,Left,23,16,91,0,19.01,25.0,
4/1/2022 22:56:52,1.12.0,FR1,0,4.14,,1,RightWithPellet,Left,23,17,91,0,,,0.13
4/1/2022 23:04:32,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,24,17,91,0,,,0.04
4/1/2022 23:04:34,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,25,17,91,0,,,0.23
4/1/2022 23:04:35,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,26,17,91,0,,,0.04
4/1/2022 23:04:35,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,27,17,91,0,,,0.13
4/1/2022 23:04:39,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,28,17,91,0,,,0.08
4/1/2022 23:04:40,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,29,17,91,0,,,0.07
4/1/2022 23:04:41,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,30,17,91,0,,,0.26
4/1/2022 23:04:44,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,31,17,91,0,,,0.03
4/1/2022 23:04:48,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,32,17,91,0,,,0.04
4/1/2022 23:04:53,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,33,17,91,0,,,0.01
4/1/2022 23:04:54,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,34,17,91,0,,,0.07
4/1/2022 23:04:59,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,35,17,91,0,,,0.05
4/1/2022 23:05:01,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,36,17,91,0,,,0.08
4/1/2022 23:05:02,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,37,17,91,0,,,0.04
4/1/2022 23:05:02,1.12.0,FR1,0,4.13,,1,LeftWithPellet,Left,38,17,91,0,,,0.01
4/1/2022 23:05:03,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,39,17,91,0,,,0.04
4/1/2022 23:05:04,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,40,17,91,0,,,0.02
4/1/2022 23:05:07,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,41,17,91,0,,,1.43
4/1/2022 23:05:15,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,42,17,91,0,,,0.05
4/1/2022 23:05:20,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,43,17,91,0,,,0.02
4/1/2022 23:05:23,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,44,17,91,0,,,0.05
4/1/2022 23:05:25,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,45,17,91,0,,,0.24
4/1/2022 23:05:26,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,46,17,91,0,,,0.04
4/1/2022 23:05:29,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,47,17,91,0,,,0.09
4/1/2022 23:05:29,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,48,17,91,0,,,0.12
4/1/2022 23:05:32,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,49,17,91,0,,,0.62
4/1/2022 23:05:33,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,50,17,91,0,,,0.27
4/1/2022 23:05:36,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,51,17,91,0,,,0.04
4/1/2022 23:05:37,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,52,17,91,0,,,0.57
4/1/2022 23:05:39,1.12.0,FR1,0,4.14,,1,LeftWithPellet,Left,53,17,91,0,,,0.01
