MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/1/2022 15:53:37,1.12.0,FR1,2,3.91,,1,RightWithPellet,Left,0,1,0,0,,,0.06
4/1/2022 15:59:28,1.12.0,FR1,2,3.91,,1,LeftWithPellet,Left,1,1,0,0,,,0.35
4/1/2022 16:08:13,1.12.0,FR1,2,3.91,,1,RightWithPellet,Left,1,2,0,0,,,0.21
4/1/2022 16:12:45,1.12.0,FR1,2,3.9,,1,LeftWithPellet,Left,2,2,0,0,,,0.01
4/1/2022 16:34:47,1.12.0,FR1,2,3.91,,1,RightWithPellet,Left,2,3,0,0,,,1.98
4/1/2022 16:38:57,1.12.0,FR1,2,3.91,,1,LeftWithPellet,Left,3,3,0,0,,,0.27
4/1/2022 16:48:06,1.12.0,FR1,2,3.91,,1,RightWithPellet,Left,3,4,0,0,,,0.04
4/1/2022 16:59:16,1.12.0,FR1,2,3.9,,1,LeftWithPellet,Left,4,4,0,0,,,0.65
4/1/2022 17:00:07,1.12.0,FR1,2,3.9,,1,RightWithPellet,Left,4,5,0,0,,,0.16
4/1/2022 17:07:17,1.12.0,FR1,2,3.9,,1,RightWithPellet,Left,4,6,0,0,,,0.4
4/1/2022 17:10:55,1.12.0,FR1,2,3.9,,1,LeftWithPellet,Left,5,6,0,0,,,0.05
4/1/2022 17:17:27,1.12.0,FR1,2,3.91,,1,LeftWithPellet,Left,6,6,0,0,,,0.25
4/1/2022 18:48:12,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,6,7,0,0,,,0.32
4/1/2022 19:34:50,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,7,7,0,0,,,2.92
4/1/2022 19:34:52,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,8,7,0,0,,,0.05
4/1/2022 19:35:58,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,8,8,0,0,,,0.15
4/1/2022 19:36:07,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,9,8,0,0,,,1.07
4/1/2022 19:41:16,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,10,8,0,0,,,0.22
4/1/2022 19:42:05,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,11,8,0,0,,,0.07
4/1/2022 19:42:21,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,11,9,0,0,,,0.04
4/1/2022 19:42:23,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,11,10,0,0,,,0.06
4/1/2022 19:42:24,1.12.0,FR1,2,3.9,,1,RightWithPellet,Left,11,11,0,0,,,0.21
4/1/2022 19:42:25,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,11,12,0,0,,,0.13
4/1/2022 19:47:41,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,11,13,0,0,,,0.02
4/1/2022 19:52:27,1.12.0,FR1,2,3.89,2.0,1,Pellet,Left,11,13,1,0,Timed_out,,
4/1/2022 19:52:29,1.12.0,FR1,2,3.9,1.0,1,Pellet,Left,11,13,2,0,0.42,2.0,
4/1/2022 19:53:20,1.12.0,FR1,2,3.89,2.0,1,Pellet,Left,11,13,3,0,42.12,51.0,
4/1/2022 19:53:55,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,11,13,4,0,29.24,35.0,
4/1/2022 19:53:56,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,11,13,5,0,0.18,1.0,
4/1/2022 19:54:42,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,12,13,5,0,,,0.04
4/1/2022 19:54:43,1.12.0,FR1,2,3.89,,1,LeftWithPellet,Left,13,13,5,0,,,0.07
4/1/2022 20:07:08,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,13,6,0,Timed_out,792.0,
4/1/2022 20:07:08,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,13,7,0,0.06,0.0,
4/1/2022 20:07:10,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,13,8,0,0.42,2.0,
4/1/2022 20:07:12,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,13,9,0,0.91,2.0,
4/1/2022 20:07:13,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,13,10,0,0.12,1.0,
4/1/2022 20:10:44,1.12.0,FR1,2,3.89,,1,RightWithPellet,Left,13,14,10,0,,,0.13
4/1/2022 20:11:50,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,14,11,0,Timed_out,277.0,
4/1/2022 20:12:29,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,14,12,0,32.55,39.0,
4/1/2022 20:12:30,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,14,13,0,0.12,1.0,
4/1/2022 20:12:32,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,14,14,0,0.06,2.0,
4/1/2022 20:12:33,1.12.0,FR1,2,3.89,1.0,1,Pellet,Left,13,14,15,0,0.06,1.0,
