MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/10/2022 10:09:38,1.12.0,FR1,6,3.90,nan,1,Left,Left,1,0,0,0,nan,nan,0.24
5/10/2022 10:09:44,1.12.0,FR1,6,3.89,3,1,Pellet,Left,1,0,1,0,1.22,nan,nan
5/10/2022 11:38:40,1.12.0,FR1,6,3.89,nan,1,Right,Left,1,1,1,0,nan,nan,0.32
5/10/2022 11:39:20,1.12.0,FR1,6,3.89,nan,1,Left,Left,2,1,1,0,nan,nan,0.05
5/10/2022 11:39:22,1.12.0,FR1,6,3.89,1,1,Pellet,Left,2,1,2,0,0.95,5378,nan
5/10/2022 11:40:28,1.12.0,FR1,6,3.89,nan,1,Right,Left,2,2,2,0,nan,nan,0.17
5/10/2022 11:41:56,1.12.0,FR1,6,3.89,nan,1,Left,Left,3,2,2,0,nan,nan,0.06
5/10/2022 11:41:57,1.12.0,FR1,6,3.89,nan,1,LeftWithPellet,Left,4,2,2,0,nan,nan,0.01
5/10/2022 11:41:59,1.12.0,FR1,6,3.89,1,1,Pellet,Left,4,2,3,0,2.47,157,nan
5/10/2022 11:42:24,1.12.0,FR1,6,3.89,nan,1,Right,Left,4,3,3,0,nan,nan,0.15
5/10/2022 11:48:58,1.12.0,FR1,6,3.89,nan,1,Left,Left,5,3,3,0,nan,nan,0.12
5/10/2022 11:48:59,1.12.0,FR1,6,3.89,1,1,Pellet,Left,5,3,4,0,0.88,420,nan
5/10/2022 13:30:44,1.12.0,FR1,6,3.89,nan,1,Right,Left,5,4,4,0,nan,nan,0.30
5/10/2022 13:30:46,1.12.0,FR1,6,3.89,nan,1,Right,Left,5,5,4,0,nan,nan,0.14
5/10/2022 13:30:58,1.12.0,FR1,6,3.89,nan,1,Left,Left,6,5,4,0,nan,nan,0.11
5/10/2022 13:31:00,1.12.0,FR1,6,3.89,1,1,Pellet,Left,6,5,5,0,1.36,6121,nan
5/10/2022 15:42:05,1.12.0,FR1,6,3.89,nan,1,Right,Left,6,6,5,0,nan,nan,0.10
5/10/2022 17:50:26,1.12.0,FR1,6,3.89,nan,1,Left,Left,7,6,5,0,nan,nan,0.02
5/10/2022 17:50:30,1.12.0,FR1,6,3.88,2,1,Pellet,Left,7,6,6,0,0.54,15570,nan
5/10/2022 17:50:59,1.12.0,FR1,6,3.88,nan,1,Right,Left,7,7,6,0,nan,nan,0.10
5/10/2022 18:47:30,1.12.0,FR1,6,3.89,nan,1,Right,Left,7,8,6,0,nan,nan,0.09
5/10/2022 18:49:16,1.12.0,FR1,6,3.89,nan,1,Right,Left,7,9,6,0,nan,nan,0.43
5/10/2022 18:49:38,1.12.0,FR1,6,3.88,nan,1,Left,Left,8,9,6,0,nan,nan,0.02
5/10/2022 18:49:42,1.12.0,FR1,6,3.89,2,1,Pellet,Left,8,9,7,0,0.81,3552,nan
5/10/2022 18:50:36,1.12.0,FR1,6,3.88,nan,1,Left,Left,9,9,7,0,nan,nan,0.72
5/10/2022 18:50:38,1.12.0,FR1,6,3.89,1,1,Pellet,Left,9,9,8,0,1.29,56,nan
5/10/2022 18:54:34,1.12.0,FR1,6,3.88,nan,1,Left,Left,10,9,8,0,nan,nan,0.01
5/10/2022 18:55:24,1.12.0,FR1,6,3.88,1,1,Pellet,Left,10,9,9,0,49.28,286,nan
5/10/2022 19:40:58,1.12.0,FR1,6,3.88,nan,1,Left,Left,11,9,9,0,nan,nan,0.04
5/10/2022 19:40:59,1.12.0,FR1,6,3.88,1,1,Pellet,Left,11,9,10,0,0.68,2735,nan
5/10/2022 19:41:31,1.12.0,FR1,6,3.88,nan,1,Left,Left,12,9,10,0,nan,nan,0.30
5/10/2022 19:41:33,1.12.0,FR1,6,3.88,1,1,Pellet,Left,12,9,11,0,1.02,34,nan
5/10/2022 19:41:52,1.12.0,FR1,6,3.89,nan,1,Left,Left,13,9,11,0,nan,nan,0.01
5/10/2022 19:41:57,1.12.0,FR1,6,3.88,2,1,Pellet,Left,13,9,12,0,1.56,23,nan
5/10/2022 19:42:18,1.12.0,FR1,6,3.88,nan,1,Left,Left,14,9,12,0,nan,nan,0.69
5/10/2022 19:42:20,1.12.0,FR1,6,3.88,1,1,Pellet,Left,14,9,13,0,0.95,24,nan
5/10/2022 19:42:33,1.12.0,FR1,6,3.89,nan,1,Left,Left,15,9,13,0,nan,nan,0.03
5/10/2022 19:42:35,1.12.0,FR1,6,3.88,1,1,Pellet,Left,15,9,14,0,0.88,15,nan
5/10/2022 20:02:50,1.12.0,FR1,6,3.88,nan,1,Left,Left,16,9,14,0,nan,nan,0.17
5/10/2022 20:02:52,1.12.0,FR1,6,3.89,1,1,Pellet,Left,16,9,15,0,0.47,1217,nan
5/10/2022 20:03:57,1.12.0,FR1,6,3.88,nan,1,Left,Left,17,9,15,0,nan,nan,0.02
5/10/2022 20:04:02,1.12.0,FR1,6,3.88,1,1,Pellet,Left,17,9,16,0,4.84,70,nan
5/10/2022 20:21:32,1.12.0,FR1,6,3.88,nan,1,Left,Left,18,9,16,0,nan,nan,0.13
5/10/2022 20:21:35,1.12.0,FR1,6,3.88,1,1,Pellet,Left,18,9,17,0,1.29,1052,nan
5/10/2022 20:22:39,1.12.0,FR1,6,3.88,nan,1,Left,Left,19,9,17,0,nan,nan,0.41
5/10/2022 20:22:41,1.12.0,FR1,6,3.88,1,1,Pellet,Left,19,9,18,0,1.22,67,nan
5/10/2022 20:23:00,1.12.0,FR1,6,3.88,nan,1,Right,Left,19,10,18,0,nan,nan,0.22
5/10/2022 20:24:17,1.12.0,FR1,6,3.88,nan,1,Left,Left,20,10,18,0,nan,nan,0.20
5/10/2022 20:24:19,1.12.0,FR1,6,3.88,1,1,Pellet,Left,20,10,19,0,0.75,98,nan
5/10/2022 20:28:37,1.12.0,FR1,6,3.88,nan,1,Right,Left,20,11,19,0,nan,nan,0.63
5/10/2022 20:28:45,1.12.0,FR1,6,3.88,nan,1,Right,Left,20,12,19,0,nan,nan,0.38
5/10/2022 20:28:46,1.12.0,FR1,6,3.88,nan,1,Right,Left,20,13,19,0,nan,nan,0.16
5/10/2022 20:28:47,1.12.0,FR1,6,3.88,nan,1,Right,Left,20,14,19,0,nan,nan,0.17
5/10/2022 20:28:48,1.12.0,FR1,6,3.88,nan,1,Right,Left,20,15,19,0,nan,nan,0.10
5/10/2022 20:29:03,1.12.0,FR1,6,3.88,nan,1,Left,Left,21,15,19,0,nan,nan,0.58
5/10/2022 20:29:07,1.12.0,FR1,6,3.88,3,1,Pellet,Left,21,15,20,0,1.15,288,nan
5/10/2022 20:31:29,1.12.0,FR1,6,3.88,nan,1,Left,Left,22,15,20,0,nan,nan,0.02
5/10/2022 20:31:32,1.12.0,FR1,6,3.88,2,1,Pellet,Left,22,15,21,0,1.08,145,nan
5/10/2022 20:39:58,1.12.0,FR1,6,3.87,nan,1,Left,Left,23,15,21,0,nan,nan,0.02
5/10/2022 20:39:59,1.12.0,FR1,6,3.88,2,1,Pellet,Left,23,15,22,0,0.95,507,nan
5/10/2022 20:40:33,1.12.0,FR1,6,3.88,nan,1,Left,Left,24,15,22,0,nan,nan,0.09
5/10/2022 20:40:35,1.12.0,FR1,6,3.88,1,1,Pellet,Left,24,15,23,0,0.47,36,nan
5/10/2022 20:40:51,1.12.0,FR1,6,3.88,nan,1,Left,Left,25,15,23,0,nan,nan,0.14
5/10/2022 20:40:52,1.12.0,FR1,6,3.88,1,1,Pellet,Left,25,15,24,0,0.47,17,nan
5/10/2022 20:41:05,1.12.0,FR1,6,3.87,nan,1,Left,Left,26,15,24,0,nan,nan,0.17
5/10/2022 20:41:07,1.12.0,FR1,6,3.88,1,1,Pellet,Left,26,15,25,0,0.54,15,nan
5/10/2022 20:47:07,1.12.0,FR1,6,3.89,nan,1,Left,Left,27,15,25,0,nan,nan,0.05
5/10/2022 20:47:17,1.12.0,FR1,6,3.88,3,1,Pellet,Left,27,15,26,0,4.99,370,nan
5/10/2022 20:55:18,1.12.0,FR1,6,3.89,nan,1,Left,Left,28,15,26,0,nan,nan,0.06
5/10/2022 20:55:19,1.12.0,FR1,6,3.88,1,1,Pellet,Left,28,15,27,0,0.61,482,nan
