MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-09-24 18:00:00,1.16.3,FR1,12,3.77,,1,Left,Left,1,0,0,0,,,0.56,
2023-09-24 21:03:01,1.16.3,FR1,12,3.77,,1,Left,Left,1,0,0,0,,,0.56,
2023-09-24 21:03:16,1.16.3,FR1,12,3.91,3.0,1,Pellet,Left,1,0,1,0,9.98,,,
2023-09-24 21:07:55,1.16.3,FR1,12,3.91,,1,Right,Left,1,1,1,0,,,0.11,
2023-09-24 21:38:25,1.16.3,FR1,12,3.91,,1,Right,Left,1,2,1,0,,,0.04,
2023-09-24 21:38:27,1.16.3,FR1,12,3.92,,1,Right,Left,1,3,1,0,,,0.9,
2023-09-24 21:38:32,1.16.3,FR1,12,3.92,,1,Right,Left,1,4,1,0,,,0.34,
2023-09-24 21:38:59,1.16.3,FR1,12,3.91,,1,Left,Left,2,4,1,0,,,0.26,
2023-09-24 21:39:00,1.16.3,FR1,12,3.91,,1,LeftDuringDispense,Left,3,4,1,0,,,0.12,
2023-09-24 21:39:02,1.16.3,FR1,12,3.91,,1,LeftDuringDispense,Left,4,4,1,0,,,0.35,
2023-09-24 21:39:07,1.16.3,FR1,12,3.91,,1,LeftWithPellet,Left,5,4,1,0,,,0.5,
2023-09-24 21:39:15,1.16.3,FR1,12,3.91,,1,LeftWithPellet,Left,6,4,1,0,,,0.62,
2023-09-24 21:39:16,1.16.3,FR1,12,3.91,3.0,1,Pellet,Left,6,4,2,0,10.43,2160.0,,
2023-09-24 21:40:38,1.16.3,FR1,12,3.92,,1,Right,Left,6,5,2,0,,,0.18,
2023-09-24 21:40:40,1.16.3,FR1,12,3.92,,1,Right,Left,6,6,2,0,,,0.0,
2023-09-24 21:40:42,1.16.3,FR1,12,3.91,,1,Right,Left,6,7,2,0,,,0.7,
2023-09-24 21:41:13,1.16.3,FR1,12,3.92,,1,Left,Left,7,7,2,0,,,0.09,
2023-09-24 21:41:14,1.16.3,FR1,12,3.92,,1,LeftDuringDispense,Left,8,7,2,0,,,0.09,
2023-09-24 21:41:18,1.16.3,FR1,12,3.92,3.0,1,Pellet,Left,8,7,3,0,0.85,122.0,,
2023-09-24 21:43:01,1.16.3,FR1,12,3.91,,1,Left,Left,9,7,3,0,,,0.67,
2023-09-24 21:43:05,1.16.3,FR1,12,3.92,1.0,1,Pellet,Left,9,7,4,0,3.06,107.0,,
2023-09-24 21:43:47,1.16.3,FR1,12,3.91,,1,Right,Left,9,8,4,0,,,0.13,
2023-09-24 21:43:50,1.16.3,FR1,12,3.92,,1,Left,Left,10,8,4,0,,,0.17,
2023-09-24 21:43:52,1.16.3,FR1,12,3.92,1.0,1,Pellet,Left,10,8,5,0,1.22,47.0,,
