MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-24 18:00:00,1.16.3,FR1,6,3.96,,1,Left,Left,1,0,0,0,,,0.18
2023-09-24 18:25:16,1.16.3,FR1,6,3.96,,1,Left,Left,1,0,0,0,,,0.18
2023-09-24 18:25:42,1.16.3,FR1,6,3.95,3.0,1,Pellet,Left,1,0,1,0,21.46,,
2023-09-24 18:27:25,1.16.3,FR1,6,3.96,,1,Left,Left,2,0,1,0,,,0.05
2023-09-24 18:27:31,1.16.3,FR1,6,3.96,1.0,1,Pellet,Left,2,0,2,0,5.32,109.0,
2023-09-24 19:37:47,1.16.3,FR1,6,3.96,,1,Right,Left,2,1,2,0,,,0.04
2023-09-24 19:38:02,1.16.3,FR1,6,3.95,,1,Left,Left,3,1,2,0,,,0.47
2023-09-24 19:38:03,1.16.3,FR1,6,3.96,,1,LeftDuringDispense,Left,4,1,2,0,,,0.13
2023-09-24 19:38:08,1.16.3,FR1,6,3.95,2.0,1,Pellet,Left,4,1,3,0,2.53,4237.0,
2023-09-24 19:38:59,1.16.3,FR1,6,3.95,,1,Left,Left,5,1,3,0,,,0.02
2023-09-24 19:39:03,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,5,1,4,0,2.40,54.0,
2023-09-24 19:40:23,1.16.3,FR1,6,3.95,,1,Left,Left,6,1,4,0,,,0.46
2023-09-24 19:40:26,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,6,1,5,0,2.34,84.0,
2023-09-24 19:40:53,1.16.3,FR1,6,3.95,,1,Right,Left,6,2,5,0,,,0.45
2023-09-24 19:46:01,1.16.3,FR1,6,3.95,,1,Right,Left,6,3,5,0,,,0.07
2023-09-24 19:48:17,1.16.3,FR1,6,3.95,,1,Right,Left,6,4,5,0,,,0.16
2023-09-24 19:51:23,1.16.3,FR1,6,3.95,,1,Right,Left,6,5,5,0,,,0.42
2023-09-24 19:58:47,1.16.3,FR1,6,3.95,,1,Right,Left,6,6,5,0,,,0.05
2023-09-24 20:00:49,1.16.3,FR1,6,3.95,,1,Right,Left,6,7,5,0,,,0.49
2023-09-24 20:01:16,1.16.3,FR1,6,3.95,,1,Left,Left,7,7,5,0,,,0.6
2023-09-24 20:01:23,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,7,7,6,0,6.33,1257.0,
2023-09-24 20:02:53,1.16.3,FR1,6,3.94,,1,Left,Left,8,7,6,0,,,0.0
2023-09-24 20:02:57,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,8,7,7,0,2.53,94.0,
2023-09-24 20:04:29,1.16.3,FR1,6,3.95,,1,Left,Left,9,7,7,0,,,0.03
2023-09-24 20:04:29,1.16.3,FR1,6,3.95,,1,LeftDuringDispense,Left,10,7,7,0,,,0.02
2023-09-24 20:04:33,1.16.3,FR1,6,3.95,,1,LeftWithPellet,Left,11,7,7,0,,,0.26
2023-09-24 20:04:35,1.16.3,FR1,6,3.96,2.0,1,Pellet,Left,11,7,8,0,3.02,98.0,
2023-09-24 20:05:35,1.16.3,FR1,6,3.95,,1,Left,Left,12,7,8,0,,,0.06
2023-09-24 20:05:40,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,12,7,9,0,4.56,65.0,
2023-09-24 20:07:04,1.16.3,FR1,6,3.95,,1,Right,Left,12,8,9,0,,,0.36
2023-09-24 20:07:07,1.16.3,FR1,6,3.95,,1,Left,Left,13,8,9,0,,,0.36
2023-09-24 20:07:11,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,13,8,10,0,3.04,91.0,
2023-09-24 20:08:14,1.16.3,FR1,6,3.95,,1,Left,Left,14,8,10,0,,,0.62
2023-09-24 20:08:17,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,14,8,11,0,2.21,66.0,
2023-09-24 20:12:06,1.16.3,FR1,6,3.96,,1,Left,Left,15,8,11,0,,,0.22
2023-09-24 20:12:08,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,15,8,12,0,1.45,231.0,
2023-09-24 20:19:29,1.16.3,FR1,6,3.95,,1,Left,Left,16,8,12,0,,,0.38
2023-09-24 20:19:32,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,16,8,13,0,2.59,444.0,
2023-09-24 20:20:06,1.16.3,FR1,6,3.95,,1,Left,Left,17,8,13,0,,,0.49
2023-09-24 20:20:09,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,17,8,14,0,2.40,37.0,
2023-09-24 20:20:39,1.16.3,FR1,6,3.95,,1,Left,Left,18,8,14,0,,,0.55
2023-09-24 20:20:42,1.16.3,FR1,6,3.94,1.0,1,Pellet,Left,18,8,15,0,1.77,33.0,
2023-09-24 20:21:10,1.16.3,FR1,6,3.94,,1,Left,Left,19,8,15,0,,,0.17
2023-09-24 20:21:12,1.16.3,FR1,6,3.95,2.0,1,Pellet,Left,19,8,16,0,1.07,30.0,
2023-09-24 20:22:05,1.16.3,FR1,6,3.95,,1,Left,Left,20,8,16,0,,,0.23
2023-09-24 20:22:07,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,20,8,17,0,1.58,55.0,
2023-09-24 20:29:30,1.16.3,FR1,6,3.95,,1,Left,Left,21,8,17,0,,,0.78
2023-09-24 20:29:32,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,21,8,18,0,1.64,445.0,
2023-09-24 20:30:37,1.16.3,FR1,6,3.95,,1,Left,Left,22,8,18,0,,,0.07
2023-09-24 20:30:40,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,22,8,19,0,1.39,68.0,
2023-09-24 20:31:35,1.16.3,FR1,6,3.95,,1,Left,Left,23,8,19,0,,,0.3
2023-09-24 20:31:36,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,23,8,20,0,0.75,56.0,
2023-09-24 20:40:44,1.16.3,FR1,6,3.95,,1,Left,Left,24,8,20,0,,,0.25
2023-09-24 20:40:46,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,24,8,21,0,0.88,550.0,
2023-09-24 20:41:37,1.16.3,FR1,6,3.95,,1,Left,Left,25,8,21,0,,,0.23
2023-09-24 20:41:41,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,25,8,22,0,3.48,55.0,
2023-09-24 20:42:13,1.16.3,FR1,6,3.95,,1,Left,Left,26,8,22,0,,,0.15
2023-09-24 20:42:14,1.16.3,FR1,6,3.94,1.0,1,Pellet,Left,26,8,23,0,0.88,33.0,
2023-09-24 20:42:39,1.16.3,FR1,6,3.95,,1,Left,Left,27,8,23,0,,,0.05
2023-09-24 20:42:41,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,27,8,24,0,0.94,27.0,
2023-09-24 20:43:26,1.16.3,FR1,6,3.95,,1,Left,Left,28,8,24,0,,,0.06
2023-09-24 20:43:30,1.16.3,FR1,6,3.95,1.0,1,Pellet,Left,28,8,25,0,2.59,49.0,
2023-09-24 20:44:10,1.16.3,FR1,6,3.95,,1,Left,Left,29,8,25,0,,,0.33
