MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-09-24 18:00:00,1.16.3,FR1,10,4.18,,1,Left,Left,1,0,0,0,,,0.01,
2023-09-24 18:26:31,1.16.3,FR1,10,4.18,,1,Left,Left,1,0,0,0,,,0.01,
2023-09-24 18:26:49,1.16.3,FR1,10,4.18,3.0,1,Pellet,Left,1,0,1,0,12.81,,,
2023-09-24 18:38:23,1.16.3,FR1,10,4.18,,1,Left,Left,2,0,1,0,,,0.39,
2023-09-24 18:38:30,1.16.3,FR1,10,4.17,1.0,1,Pellet,Left,2,0,2,0,6.06,701.0,,
2023-09-24 19:36:36,1.16.3,FR1,10,4.16,,1,Left,Left,3,0,2,0,,,0.06,
2023-09-24 19:36:37,1.16.3,FR1,10,4.17,,1,LeftDuringDispense,Left,4,0,2,0,,,0.26,
2023-09-24 19:36:48,1.16.3,FR1,10,4.17,2.0,1,Pellet,Left,4,0,3,0,7.84,3498.0,,
2023-09-24 19:37:56,1.16.3,FR1,10,4.17,,1,Right,Left,4,1,3,0,,,1.1,
2023-09-24 19:50:04,1.16.3,FR1,10,4.16,,1,Left,Left,5,1,3,0,,,0.01,
2023-09-24 19:52:10,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,5,1,4,0,Timed_out,922.0,,
2023-09-24 20:21:01,1.16.3,FR1,10,4.16,,1,Left,Left,6,1,4,0,,,0.69,
2023-09-24 20:21:03,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,6,1,5,0,1.28,1733.0,,
2023-09-24 20:23:37,1.16.3,FR1,10,4.16,,1,Right,Left,6,2,5,0,,,0.39,
2023-09-24 20:26:47,1.16.3,FR1,10,4.16,,1,Left,Left,7,2,5,0,,,0.02,
2023-09-24 20:26:50,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,8,2,5,0,,,0.04,
2023-09-24 20:26:51,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,8,2,6,0,3.30,348.0,,
2023-09-24 20:27:44,1.16.3,FR1,10,4.16,,1,Left,Left,9,2,6,0,,,0.25,
2023-09-24 20:27:49,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,10,2,6,0,,,0.19,
2023-09-24 20:27:51,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,10,2,7,0,6.26,60.0,,
2023-09-24 20:28:33,1.16.3,FR1,10,4.16,,1,Left,Left,11,2,7,0,,,0.27,
2023-09-24 20:28:36,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,11,2,8,0,2.44,45.0,,
2023-09-24 20:29:07,1.16.3,FR1,10,4.16,,1,Right,Left,11,3,8,0,,,0.44,
2023-09-24 20:29:46,1.16.3,FR1,10,4.16,,1,Left,Left,12,3,8,0,,,0.2,
2023-09-24 20:29:58,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,12,3,9,0,11.65,82.0,,
2023-09-24 20:30:14,1.16.3,FR1,10,4.16,,1,Left,Left,13,3,9,0,,,0.15,
2023-09-24 20:30:17,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,13,3,10,0,2.32,19.0,,
2023-09-24 20:30:39,1.16.3,FR1,10,4.16,,1,Left,Left,14,3,10,0,,,0.45,
2023-09-24 20:30:42,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,14,3,11,0,1.71,25.0,,
2023-09-24 20:31:14,1.16.3,FR1,10,4.16,,1,Left,Left,15,3,11,0,,,0.12,
2023-09-24 20:31:17,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,15,3,12,0,2.07,35.0,,
2023-09-24 20:31:29,1.16.3,FR1,10,4.16,,1,Left,Left,16,3,12,0,,,0.19,
2023-09-24 20:31:31,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,16,3,13,0,2.14,14.0,,
2023-09-24 20:32:13,1.16.3,FR1,10,4.16,,1,Left,Left,17,3,13,0,,,0.18,
2023-09-24 20:32:16,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,17,3,14,0,2.26,45.0,,
2023-09-24 20:32:37,1.16.3,FR1,10,4.16,,1,Left,Left,18,3,14,0,,,0.08,
2023-09-24 20:32:43,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,18,3,15,0,4.65,27.0,,
2023-09-24 20:35:48,1.16.3,FR1,10,4.16,,1,Left,Left,19,3,15,0,,,0.12,
2023-09-24 20:36:04,1.16.3,FR1,10,4.14,1.0,1,Pellet,Left,19,3,16,0,15.89,201.0,,
2023-09-24 20:47:24,1.16.3,FR1,10,4.15,,1,Left,Left,20,3,16,0,,,0.34,
2023-09-24 20:47:26,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,20,3,17,0,1.34,682.0,,
2023-09-24 20:47:44,1.16.3,FR1,10,4.15,,1,Left,Left,21,3,17,0,,,0.4,
2023-09-24 20:47:47,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,21,3,18,0,1.52,21.0,,
2023-09-24 20:50:25,1.16.3,FR1,10,4.15,,1,Left,Left,22,3,18,0,,,0.22,
2023-09-24 20:50:29,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,22,3,19,0,3.30,162.0,,
2023-09-24 20:56:38,1.16.3,FR1,10,4.16,,1,Left,Left,23,3,19,0,,,0.42,
2023-09-24 20:57:00,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,23,3,20,0,20.58,391.0,,
2023-09-24 21:00:19,1.16.3,FR1,10,4.16,,1,Left,Left,24,3,20,0,,,0.04,
2023-09-24 21:00:21,1.16.3,FR1,10,4.16,1.0,1,Pellet,Left,24,3,21,0,0.85,201.0,,
2023-09-24 21:00:52,1.16.3,FR1,10,4.15,,1,Left,Left,25,3,21,0,,,0.25,
2023-09-24 21:00:54,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,25,3,22,0,1.03,33.0,,
2023-09-24 21:01:34,1.16.3,FR1,10,4.15,,1,Left,Left,26,3,22,0,,,0.44,
2023-09-24 21:01:36,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,26,3,23,0,1.34,42.0,,
2023-09-24 21:02:18,1.16.3,FR1,10,4.15,,1,Left,Left,27,3,23,0,,,0.02,
2023-09-24 21:02:19,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,27,3,24,0,0.48,43.0,,
2023-09-24 21:14:58,1.16.3,FR1,10,4.16,,1,Left,Left,28,3,24,0,,,0.04,
2023-09-24 21:14:58,1.16.3,FR1,10,4.15,,1,LeftDuringDispense,Left,29,3,24,0,,,0.03,
2023-09-24 21:15:02,1.16.3,FR1,10,4.15,2.0,1,Pellet,Left,29,3,25,0,1.16,763.0,,
2023-09-24 21:17:15,1.16.3,FR1,10,4.15,,1,Left,Left,30,3,25,0,,,0.46,
2023-09-24 21:17:18,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,30,3,26,0,1.83,136.0,,
2023-09-24 21:17:59,1.16.3,FR1,10,4.15,,1,Left,Left,31,3,26,0,,,0.04,
2023-09-24 21:18:02,1.16.3,FR1,10,4.14,1.0,1,Pellet,Left,31,3,27,0,1.83,44.0,,
2023-09-24 21:18:52,1.16.3,FR1,10,4.15,,1,Left,Left,32,3,27,0,,,0.4,
2023-09-24 21:18:54,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,32,3,28,0,0.85,52.0,,
2023-09-24 21:19:49,1.16.3,FR1,10,4.16,,1,Left,Left,33,3,28,0,,,0.04,
2023-09-24 21:19:51,1.16.3,FR1,10,4.14,1.0,1,Pellet,Left,33,3,29,0,0.61,57.0,,
2023-09-24 21:20:24,1.16.3,FR1,10,4.15,,1,Left,Left,34,3,29,0,,,0.21,
2023-09-24 21:20:29,1.16.3,FR1,10,4.15,2.0,1,Pellet,Left,34,3,30,0,2.50,38.0,,
2023-09-24 21:20:57,1.16.3,FR1,10,4.15,,1,Left,Left,35,3,30,0,,,0.06,
2023-09-24 21:20:59,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,35,3,31,0,0.67,30.0,,
2023-09-24 21:21:38,1.16.3,FR1,10,4.15,,1,Left,Left,36,3,31,0,,,0.25,
2023-09-24 21:21:41,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,36,3,32,0,1.65,42.0,,
2023-09-24 21:22:10,1.16.3,FR1,10,4.15,,1,Left,Left,37,3,32,0,,,0.03,
2023-09-24 21:22:13,1.16.3,FR1,10,4.15,1.0,1,Pellet,Left,37,3,33,0,2.14,32.0,,
2023-09-24 21:22:44,1.16.3,FR1,10,4.15,,1,Left,Left,38,3,33,0,,,0.0,
