MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 18:00:00,1.16.3,Free_feed,12,4.01,1.0,0,Pellet,Left,0,0,1,0,,,,,0 days 00:00:00.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 19:04:57,1.16.3,Free_feed,12,4.01,1.0,0,Pellet,Left,0,0,1,0,,,,,0 days 00:00:00.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 19:09:38,1.16.3,Free_feed,12,4.01,,0,Poke,Left,1,0,1,0,,,0.15,,0 days 00:04:41.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 19:22:03,1.16.3,Free_feed,12,4.0,2.0,0,Pellet,Left,1,0,2,0,,1027.0,,,0 days 00:17:06.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 19:22:21,1.16.3,Free_feed,12,4.01,1.0,0,Pellet,Left,1,0,3,0,5.44,18.0,,,0 days 00:17:24.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 20:09:46,1.16.3,Free_feed,12,4.0,1.0,0,Pellet,Left,1,0,4,0,,2845.0,,,0 days 01:04:49.000000000,1.0,47.41666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:10:16,1.16.3,Free_feed,12,4.0,1.0,0,Pellet,Left,1,0,5,0,17.51,30.0,,,0 days 01:05:19.000000000,1.0,0.5,0.0,0.0,,0,Free_feed
2023-09-14 20:10:30,1.16.3,Free_feed,12,4.0,2.0,0,Pellet,Left,1,0,6,0,2.74,14.0,,,0 days 01:05:33.000000000,1.0,0.2333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:10:49,1.16.3,Free_feed,12,4.0,1.0,0,Pellet,Left,1,0,7,0,6.78,19.0,,,0 days 01:05:52.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:11:08,1.16.3,Free_feed,12,4.0,1.0,0,Pellet,Left,1,0,8,0,7.21,19.0,,,0 days 01:06:11.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
