MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 18:00:00,1.16.3,Free_feed,4,3.91,,0,Poke,Left,0,1,0,0,,,0.37,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-14 18:29:44,1.16.3,Free_feed,4,3.91,,0,Poke,Left,0,1,0,0,,,0.37,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-14 18:32:21,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,1,0,,,,0 days 00:02:37.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:32:27,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,2,0,0.06,6.0,,0 days 00:02:43.000000000,1.0,0.1,0.0,0.0,,0,Free_feed
2023-09-14 18:32:34,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,3,0,0.82,7.0,,0 days 00:02:50.000000000,1.0,0.1166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:32:55,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,4,0,9.69,21.0,,0 days 00:03:11.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 18:39:02,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,5,0,,367.0,,0 days 00:09:18.000000000,1.0,6.116666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:39:25,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,6,0,12.29,23.0,,0 days 00:09:41.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:39:42,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,1,7,0,4.05,17.0,,0 days 00:09:58.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:39:55,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,8,0,0.56,13.0,,0 days 00:10:11.000000000,1.0,0.2166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:40:20,1.16.3,Free_feed,4,3.92,1.0,0,Pellet,Left,0,1,9,0,13.37,25.0,,0 days 00:10:36.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:40:33,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,1,10,0,1.0,13.0,,0 days 00:10:49.000000000,1.0,0.2166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:40:47,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,11,0,2.9,14.0,,0 days 00:11:03.000000000,1.0,0.2333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:41:05,1.16.3,Free_feed,4,3.9,1.0,0,Pellet,Left,0,1,12,0,5.75,18.0,,0 days 00:11:21.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 18:41:23,1.16.3,Free_feed,4,3.92,1.0,0,Pellet,Left,0,1,13,0,5.44,18.0,,0 days 00:11:39.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 18:41:42,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,1,14,0,5.69,19.0,,0 days 00:11:58.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:41:56,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,15,0,0.82,14.0,,0 days 00:12:12.000000000,1.0,0.2333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:42:13,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,16,0,4.81,16.0,,0 days 00:12:29.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:42:32,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,17,0,7.34,20.0,,0 days 00:12:48.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:42:49,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,18,0,5.31,17.0,,0 days 00:13:05.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:43:11,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,19,0,10.58,22.0,,0 days 00:13:27.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:43:30,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,1,20,0,5.37,19.0,,0 days 00:13:46.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:43:54,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,21,0,12.36,24.0,,0 days 00:14:10.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 18:44:17,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,22,0,11.27,23.0,,0 days 00:14:33.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:45:00,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,23,0,30.93,43.0,,0 days 00:15:16.000000000,1.0,0.7166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:50:56,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,1,24,0,,356.0,,0 days 00:21:12.000000000,1.0,5.933333333333334,0.0,0.0,,0,Free_feed
2023-09-14 18:54:30,1.16.3,Free_feed,4,3.92,1.0,0,Pellet,Left,0,1,25,0,,214.0,,0 days 00:24:46.000000000,1.0,3.566666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:57:03,1.16.3,Free_feed,4,3.92,,0,Poke,Left,0,2,25,0,,,0.08,0 days 00:27:19.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-14 19:54:58,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,26,0,,3628.0,,0 days 01:25:14.000000000,1.0,60.46666666666667,0.0,0.0,,0,Free_feed
2023-09-14 19:55:14,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,27,0,5.5,16.0,,0 days 01:25:30.000000000,1.0,0.2666666666666666,0.0,0.0,,0,Free_feed
