MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-08-05 18:00:00,1.16.3,Free_feed,13,4.11,,0,RightWithPellet,Left,0,1,0,0,,,0.07,
2023-08-05 18:42:20,1.16.3,Free_feed,13,4.11,,0,RightWithPellet,Left,0,1,0,0,,,0.07,
2023-08-05 18:45:48,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,0,1,1,0,Timed_out,,,
2023-08-05 18:47:25,1.16.3,Free_feed,13,4.11,1.0,0,Pellet,Left,0,1,2,0,Timed_out,97.0,,
2023-08-05 18:50:16,1.16.3,Free_feed,13,4.1,,0,LeftWithPellet,Left,1,1,2,0,,,0.19,
2023-08-05 19:38:25,1.16.3,Free_feed,13,4.1,2.0,0,Pellet,Left,1,1,3,0,Timed_out,3060.0,,
2023-08-05 19:38:52,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,4,0,14.88,27.0,,
2023-08-05 19:39:34,1.16.3,Free_feed,13,4.11,1.0,0,Pellet,Left,1,1,5,0,29.62,42.0,,
2023-08-05 19:49:44,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,6,0,Timed_out,610.0,,
2023-08-05 19:50:03,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,7,0,7.95,19.0,,
2023-08-05 19:50:30,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,8,0,14.38,27.0,,
2023-08-05 20:30:27,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,9,0,Timed_out,2397.0,,
2023-08-05 20:30:47,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,10,0,8.68,20.0,,
2023-08-05 20:31:08,1.16.3,Free_feed,13,4.11,1.0,0,Pellet,Left,1,1,11,0,9.85,21.0,,
2023-08-05 20:31:31,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,12,0,9.97,23.0,,
2023-08-05 20:31:57,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,1,1,13,0,14.08,26.0,,
2023-08-05 20:34:11,1.16.3,Free_feed,13,4.1,,0,LeftWithPellet,Left,2,1,13,0,,,0.44,
2023-08-05 20:46:51,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,2,1,14,0,Timed_out,894.0,,
2023-08-05 20:47:17,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,2,1,15,0,14.02,26.0,,
2023-08-05 20:47:37,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,2,1,16,0,7.89,20.0,,
2023-08-05 21:01:33,1.16.3,Free_feed,13,4.1,,0,RightWithPellet,Left,2,2,16,0,,,0.05,
2023-08-05 21:02:32,1.16.3,Free_feed,13,4.09,,0,RightWithPellet,Left,2,3,16,0,,,0.15,
2023-08-05 21:03:42,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,2,3,17,0,Timed_out,965.0,,
2023-08-05 21:03:58,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,2,3,18,0,4.46,16.0,,
2023-08-05 21:04:33,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,2,3,19,0,23.72,35.0,,
2023-08-05 21:04:47,1.16.3,Free_feed,13,4.1,,0,LeftWithPellet,Left,3,3,19,0,,,0.02,
2023-08-05 21:07:39,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,3,3,20,0,Timed_out,186.0,,
2023-08-05 21:07:58,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,3,3,21,0,6.79,19.0,,
2023-08-05 21:13:10,1.16.3,Free_feed,13,4.1,1.0,0,Pellet,Left,3,3,22,0,Timed_out,312.0,,
2023-08-05 21:15:34,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,23,0,Timed_out,144.0,,
2023-08-05 21:22:30,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,24,0,Timed_out,416.0,,
2023-08-05 21:33:06,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,25,0,Timed_out,636.0,,
2023-08-05 21:33:41,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,26,0,22.63,34.0,,
2023-08-05 21:47:24,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,27,0,Timed_out,824.0,,
2023-08-05 21:47:42,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,28,0,6.36,18.0,,
2023-08-05 21:48:02,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,29,0,7.70,20.0,,
2023-08-05 21:48:15,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,30,0,1.03,13.0,,
2023-08-05 21:48:32,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,3,31,0,4.76,17.0,,
2023-08-05 21:50:24,1.16.3,Free_feed,13,4.09,,0,RightWithPellet,Left,3,4,31,0,,,0.29,
2023-08-05 21:53:33,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,32,0,Timed_out,301.0,,
2023-08-05 21:53:50,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,33,0,5.13,17.0,,
2023-08-05 22:06:51,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,34,0,Timed_out,781.0,,
2023-08-05 22:07:12,1.16.3,Free_feed,13,4.09,2.0,0,Pellet,Left,3,4,35,0,6.60,21.0,,
2023-08-05 22:07:34,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,36,0,9.97,22.0,,
2023-08-05 22:07:50,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,37,0,3.79,16.0,,
2023-08-05 22:08:10,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,38,0,8.38,20.0,,
2023-08-05 22:08:30,1.16.3,Free_feed,13,4.09,1.0,0,Pellet,Left,3,4,39,0,8.32,20.0,,
2023-08-05 22:10:11,1.16.3,Free_feed,13,4.1,,0,RightWithPellet,Left,3,5,39,0,,,0.83,
