,device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,notes,New hopper weights,Notes,,,,,,
,1,M5,29-Jan,30.65,,,,,1,466.62,0,,,Free with chow,,"Free vs FR1 will stagger between mice. M1 Free, M2 FR1 and so on. ",,,,,,
,2,M6,29-Jan,31.53,,,,,1,397.28,0,,,Free with chow,,,,,,,,
,3,M7,29-Jan,31.41,,,,,1,473.74,0,,,Free with chow,,,,,,,,
,4,M8,29-Jan,32.32,,,,,1,468.13,0,,,Free with chow,,,,,,,,
,5,M9,29-Jan,27.96,,,,,1,472.37,0,,,Free with chow,,,,,,,,
,6,M10,29-Jan,24.25,,,,,1,467.24,0,,,Free with chow,,,,,,,,
,7,M11,29-Jan,24.19,,,,,1,340.99,0,,,Free with chow,,,,,,,,
,8,M12,29-Jan,24.03,,,,,1,422.59,0,,,Free with chow,,,,,,,,
,9,M13,29-Jan,26.4,,,,,1,324.52,0,,,Free with chow,,,,,,,,
,0,M14,29-Jan,23.67,,,,,1,349.81,0,,,Free with chow,,,,,,,,
,1,M5,30-Jan,29.38,-1.27,,,,2,466.14,0.48,,1.488,Free with chow,,,,Pulled all devices and reflashed code. Device weights might change,,,,
,2,M6,30-Jan,31.19,-0.34,,,,2,397.27,0.01,,0.031,Free with chow,,Back fell off,,^,,,,
,3,M7,30-Jan,30.5,-0.91,,,,2,473.27,0.47,,1.457,Free with chow,,,,^,,,,
,4,M8,30-Jan,32.64,0.32,,,,2,467.74,0.39,,1.209,Free with chow,,,,^,,,,
,5,M9,30-Jan,28.03,0.07,,,,2,471.63,0.74,,2.294,Free with chow,,,,^,,,,
,6,M10,30-Jan,23.74,-0.51,,,,2,463.03,4.21,4.21,13.051,Free with chow,,Back fell off,,^,,,,
,7,M11,30-Jan,24.03,-0.16,,,,2,337.66,3.33,3.33,10.323,Free with chow,,,,^,,,,
,8,M12,30-Jan,24.23,0.2,,,,2,419.18,3.41,3.41,10.571,Free with chow,,,,^,,,,
,9,M13,30-Jan,26.03,-0.37,,,,2,320.21,4.31,4.31,13.361,Free with chow,,,,^,,,,
,0,M14,30-Jan,23.36,-0.31,,,,2,348.29,1.52,1.52,4.712,Free with chow,,,,^,,,,
,1,M5,31-Jan,28.67,-0.71,,,,3,465.8,0.34,,1.054,Free with chow,,,,,,,,
,2,M6,31-Jan,31.48,0.29,,,,3,395.41,1.86,1.86,5.766,Free with chow,,,,,,,,
,3,M7,31-Jan,30.56,0.06,,,,3,469.42,3.85,3.85,11.935,Free with chow,,,,,,,,
,4,M8,31-Jan,32.16,-0.48,,,,3,464.66,3.08,3.08,9.548,Free with chow,,,,,,,,
,5,M9,31-Jan,27.84,-0.19,,,,3,467.51,4.12,4.12,12.772,Free with chow,,,,Filter (g),1,,,
,6,M10,31-Jan,23.68,-0.06,,,,3,461.23,1.8,1.8,5.58,Free with chow,,,,Average intake,,Average intake (KCal),,
,7,M11,31-Jan,24.01,-0.02,,,,3,334.72,2.94,2.94,9.114,Free with chow,,Chow,Mouse,Free,FR1,Free,FR1,
,8,M12,31-Jan,23.97,-0.26,,,,3,414.25,4.93,4.93,15.283,Free with chow,,Cohort1,#REF!,#REF!,#REF!,#VALUE!,#VALUE!,
,9,M13,31-Jan,26.67,0.64,,,,3,315.7,4.51,4.51,13.981,Free with chow,,Cohort1,#REF!,#REF!,#REF!,#VALUE!,#VALUE!,
,0,M14,31-Jan,23.79,0.43,,,,3,346.88,1.41,1.41,4.371,Free with chow,,Cohort1,#REF!,#REF!,#REF!,#VALUE!,#VALUE!,
,1,M5,1-Feb,28.48,-0.19,,,,4,462.48,3.32,3.32,10.292,Free with chow,,Cohort2,M5,4.413333333,4.0225,13.68133333,12.46975,
,2,M6,1-Feb,30.87,-0.61,,,,4,390.68,4.73,4.73,14.663,Free with chow,,Cohort2,M6,4.2325,5.136,13.12075,15.9216,
,3,M7,1-Feb,30.7,0.14,,,,4,464.75,4.67,4.67,14.477,Free with chow,,Cohort2,M7,4.82,4.178,14.942,12.9518,
,4,M8,1-Feb,31.43,-0.73,,,,4,459.26,5.4,5.4,16.74,Free with chow,,Cohort2,M8,4.5875,5.252,14.22125,16.2812,
,5,M9,1-Feb,27.29,-0.55,,,,4,463.89,3.62,3.62,11.222,Free with chow,,Cohort2,M9,3.7375,4.268,11.58625,13.2308,
,6,M10,1-Feb,23.98,0.3,,,,4,457.19,4.04,4.04,12.524,Free with chow,,Cohort2,M10,4.16,3.83,12.896,11.873,
,7,M11,1-Feb,24.25,0.24,,,,4,334.12,0.6,,1.86,Free with chow,,Cohort2,M11,3.51,3.842,10.881,11.9102,
,8,M12,1-Feb,24.49,0.52,,,,4,409.83,4.42,4.42,13.702,Free with chow,,Cohort2,M12,4.6975,5.112,14.56225,15.8472,
,9,M13,1-Feb,26.58,-0.09,,,,4,313.63,2.07,2.07,6.417,Free with chow,,Cohort2,M13,3.48,3.356,10.788,10.4036,
,0,M14,1-Feb,24.11,0.32,,,,4,342.97,3.91,3.91,12.121,Free with chow,,Cohort2,M14,2.924,4.558,9.0644,14.1298,
,1,M5,2-Feb,28.84,0.36,,,,5,457.97,4.51,4.51,13.981,Free with chow,,,,Mean Free,Mean FR1,Mean Free,Mean FR2,
,2,M6,2-Feb,30.35,-0.52,,,,5,387,3.68,3.68,11.408,Free with chow,,Mean,,4.056233333,4.35545,#VALUE!,#VALUE!,
,3,M7,2-Feb,30.38,-0.32,,,,5,459.21,5.54,5.54,17.174,Free with chow,,t-test p value,,,0.20351,,#VALUE!,
,4,M8,2-Feb,31.53,0.1,,,,5,455.41,3.85,3.85,11.935,Free with chow,,,,,,,,
,5,M9,2-Feb,27.35,0.06,,,,5,459.4,4.49,4.49,13.919,Free with chow,,,,,,,,
,6,M10,2-Feb,23.98,0,,,,5,452.1,5.09,5.09,15.779,Free with chow,470.26,,,Average intake,,Average intake (KCal),,
,7,M11,2-Feb,24.21,-0.04,,,,5,333.15,0.97,,3.007,Free with chow,,HFD,Mouse,Free,FR1,Free,FR1,
,8,M12,2-Feb,24.12,-0.37,,,,5,403.8,6.03,6.03,18.693,Free with chow,,Cohort1,#REF!,#REF!,#REF!,,,
,9,M13,2-Feb,26.37,-0.21,,,,5,310.03,3.6,3.6,11.16,Free with chow,,Cohort1,#REF!,#REF!,#REF!,,,
,0,M14,2-Feb,23.36,-0.75,,,,5,339.36,3.61,3.61,11.191,Free with chow,,Cohort1,#REF!,#REF!,#REF!,,,
,1,M5,3-Feb,28.99,0.15,0.32,,,6,452.56,5.41,5.41,16.771,Free with chow,,Cohort2,M5,4.495,,23.5538,,
,2,M6,3-Feb,31.11,0.76,-0.37,,,6,380.34,6.66,6.66,20.646,Free with chow,405.18,Cohort2,M6,4.4525,,23.3311,,
,3,M7,3-Feb,30.86,0.48,0.3,,,6,453.99,5.22,5.22,16.182,Free with chow,,Cohort2,M7,,4.4375,,23.2525,
,4,M8,3-Feb,31,-0.53,-1.16,,,6,449.39,6.02,6.02,18.662,Free with chow,,Cohort2,M8,,4.1825,,21.9163,
,5,M9,3-Feb,27.22,-0.13,-0.62,,,6,456.68,2.72,2.72,8.432,Free with chow,479.03,Cohort2,M9,4.82,,25.2568,,
,6,M10,3-Feb,23.98,0,0.3,,,6,464.6,5.66,5.66,17.546,Free with chow,,Cohort2,M10,4.3,,22.532,,
,7,M11,3-Feb,24.5,0.29,0.49,,,6,328.89,4.26,4.26,13.206,Free with chow,,Cohort2,M11,3.7075,,19.4273,,
,8,M12,3-Feb,23.8,-0.32,-0.17,,,6,403.85,-0.05,,-0.155,Free with chow,429.44,Cohort2,M12,,3.5325,,18.5103,
,9,M13,3-Feb,26.8,0.43,0.13,,,6,307.12,2.91,2.91,9.021,Free with chow,329.99,Cohort2,M13,,3.966666667,,20.78533333,
,0,M14,3-Feb,23.56,0.2,-0.23,-0.101,,6,335.19,4.17,4.17,12.927,Free with chow,,Cohort2,M14,,4.6275,,24.2481,*gave M1 a full pellet of chow
,1,M5,4-Feb,28.71,-0.28,,,,7,447.15,5.41,5.41,16.771,Fr1 with chow,,,,Mean Free,Mean FR1,Mean Free,Mean FR2,
,2,M6,4-Feb,31.03,-0.08,,,,7,398.03,7.15,7.15,22.165,Fr1 with chow,,Mean,,4.355,4.149333333,22.8202,21.74250667,
,3,M7,4-Feb,30.6,-0.26,,,,7,449.19,4.8,4.8,14.88,Fr1 with chow,,t-test p value,,,0.458429175,,0.458429175,
,4,M8,4-Feb,31.22,0.22,,,,7,443.16,6.23,6.23,19.313,Fr1 with chow,Pellet in cage,,,,,,,*gave M1 a half pellet of chow
,5,M9,4-Feb,26.74,-0.48,,,,7,472.9,6.13,6.13,19.003,Fr1 with chow,,,,,,,,
,6,M10,4-Feb,23.47,-0.51,,,,7,459.31,5.29,5.29,16.399,Fr1 with chow,Pellet in cage,,,,,,,
,7,M11,4-Feb,24.31,-0.19,,,,7,323.6,5.29,5.29,16.399,Fr1 with chow,,,,,,,,
