MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-09-24 18:00:00,1.16.3,FR1,1,3.91,,1,Left,Left,1,0,0,0,,,0.78,
2023-09-24 18:09:58,1.16.3,FR1,1,3.91,,1,Left,Left,1,0,0,0,,,0.78,
2023-09-24 18:10:05,1.16.3,FR1,1,3.91,3.0,1,Pellet,Left,1,0,1,0,1.40,,,
2023-09-24 18:15:53,1.16.3,FR1,1,3.91,,1,Right,Left,1,1,1,0,,,0.25,
2023-09-24 19:21:56,1.16.3,FR1,1,3.9,,1,Right,Left,1,2,1,0,,,0.21,
2023-09-24 19:48:40,1.16.3,FR1,1,3.91,,1,Right,Left,1,3,1,0,,,0.5,
2023-09-24 19:59:23,1.16.3,FR1,1,3.9,,1,Left,Left,2,3,1,0,,,0.37,
2023-09-24 19:59:25,1.16.3,FR1,1,3.91,,1,LeftWithPellet,Left,3,3,1,0,,,0.04,
2023-09-24 19:59:28,1.16.3,FR1,1,3.9,1.0,1,Pellet,Left,3,3,2,0,4.60,6563.0,,
2023-09-24 20:05:51,1.16.3,FR1,1,3.9,,1,Left,Left,4,3,2,0,,,0.06,
2023-09-24 20:05:53,1.16.3,FR1,1,3.9,1.0,1,Pellet,Left,4,3,3,0,1.34,385.0,,
2023-09-24 20:10:23,1.16.3,FR1,1,3.9,,1,Right,Left,4,4,3,0,,,0.5,
2023-09-24 20:10:25,1.16.3,FR1,1,3.9,,1,Right,Left,4,5,3,0,,,0.64,
2023-09-24 20:15:13,1.16.3,FR1,1,3.91,,1,Right,Left,4,6,3,0,,,0.24,
2023-09-24 20:16:24,1.16.3,FR1,1,3.91,,1,Left,Left,5,6,3,0,,,0.0,
2023-09-24 20:16:37,1.16.3,FR1,1,3.9,1.0,1,Pellet,Left,5,6,4,0,12.69,644.0,,
2023-09-24 20:32:19,1.16.3,FR1,1,3.9,,1,Right,Left,5,7,4,0,,,0.52,
2023-09-24 20:34:45,1.16.3,FR1,1,3.9,,1,Right,Left,5,8,4,0,,,0.24,
2023-09-24 20:36:59,1.16.3,FR1,1,3.91,,1,Right,Left,5,9,4,0,,,0.47,
2023-09-24 20:37:25,1.16.3,FR1,1,3.9,,1,Right,Left,5,10,4,0,,,0.17,
2023-09-24 20:37:25,1.16.3,FR1,1,3.9,,1,Right,Left,5,11,4,0,,,0.08,
2023-09-24 20:38:06,1.16.3,FR1,1,3.9,,1,Left,Left,6,11,4,0,,,0.12,
