MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/25/2023 16:10:48,1.17.0,FR1,1,4.13,,1,Left,Left,1,0,0,0,,,0.59
3/25/2023 16:15:37,1.17.0,FR1,1,4.13,1.0,1,Pellet,Left,1,0,1,0,Timed_out,,
3/25/2023 16:30:39,1.17.0,FR1,1,4.13,,1,Right,Left,1,1,1,0,,,0.47
3/25/2023 16:34:30,1.17.0,FR1,1,4.13,,1,Left,Left,2,1,1,0,,,0.41
3/25/2023 16:34:52,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,2,1,2,0,21.92,1156.0,
3/25/2023 16:39:56,1.17.0,FR1,1,4.12,,1,Right,Left,2,2,2,0,,,0.16
3/25/2023 16:51:49,1.17.0,FR1,1,4.12,,1,Left,Left,3,2,2,0,,,0.59
3/25/2023 16:52:50,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,3,2,3,0,59.51,1078.0,
3/25/2023 17:42:27,1.17.0,FR1,1,4.12,,1,Right,Left,3,3,3,0,,,1.1
3/25/2023 19:03:42,1.17.0,FR1,1,4.12,,1,Right,Left,3,4,3,0,,,0.87
3/25/2023 19:16:49,1.17.0,FR1,1,4.12,,1,Right,Left,3,5,3,0,,,0.0
3/25/2023 19:16:50,1.17.0,FR1,1,4.12,,1,Right,Left,3,6,3,0,,,0.48
3/25/2023 19:20:06,1.17.0,FR1,1,4.12,,1,Right,Left,3,7,3,0,,,0.17
3/25/2023 19:20:09,1.17.0,FR1,1,4.12,,1,Right,Left,3,8,3,0,,,0.92
3/25/2023 19:20:13,1.17.0,FR1,1,4.12,,1,Right,Left,3,9,3,0,,,0.23
3/25/2023 19:20:14,1.17.0,FR1,1,4.12,,1,Right,Left,3,10,3,0,,,0.44
3/25/2023 19:20:15,1.17.0,FR1,1,4.12,,1,Right,Left,3,11,3,0,,,0.69
3/25/2023 19:33:09,1.17.0,FR1,1,4.12,,1,Right,Left,3,12,3,0,,,0.11
3/25/2023 19:33:10,1.17.0,FR1,1,4.12,,1,Right,Left,3,13,3,0,,,0.0
3/25/2023 19:33:48,1.17.0,FR1,1,4.12,,1,Right,Left,3,14,3,0,,,0.34
3/25/2023 19:43:20,1.17.0,FR1,1,4.12,,1,Left,Left,4,14,3,0,,,0.39
3/25/2023 19:43:37,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,4,14,4,0,16.01,10247.0,
3/25/2023 20:11:13,1.17.0,FR1,1,4.12,,1,Right,Left,4,15,4,0,,,0.5
3/25/2023 20:12:14,1.17.0,FR1,1,4.12,,1,Right,Left,4,16,4,0,,,0.6
3/25/2023 20:12:18,1.17.0,FR1,1,4.12,,1,Right,Left,4,17,4,0,,,0.57
3/25/2023 20:22:24,1.17.0,FR1,1,4.12,,1,Right,Left,4,18,4,0,,,0.84
3/25/2023 20:22:25,1.17.0,FR1,1,4.12,,1,Right,Left,4,19,4,0,,,0.47
3/25/2023 20:22:31,1.17.0,FR1,1,4.12,,1,Right,Left,4,20,4,0,,,0.45
3/25/2023 20:22:34,1.17.0,FR1,1,4.12,,1,Right,Left,4,21,4,0,,,0.15
3/25/2023 20:22:36,1.17.0,FR1,1,4.12,,1,Right,Left,4,22,4,0,,,0.0
3/25/2023 20:22:37,1.17.0,FR1,1,4.12,,1,Right,Left,4,23,4,0,,,0.0
3/25/2023 20:22:42,1.17.0,FR1,1,4.12,,1,Right,Left,4,24,4,0,,,0.09
3/25/2023 20:22:44,1.17.0,FR1,1,4.12,,1,Right,Left,4,25,4,0,,,0.0
3/25/2023 20:23:32,1.17.0,FR1,1,4.12,,1,Left,Left,5,25,4,0,,,0.56
3/25/2023 20:23:43,1.17.0,FR1,1,4.11,1.0,1,Pellet,Left,5,25,5,0,10.56,2406.0,
3/25/2023 20:26:48,1.17.0,FR1,1,4.12,,1,Right,Left,5,26,5,0,,,0.64
3/25/2023 20:29:10,1.17.0,FR1,1,4.12,,1,Left,Left,6,26,5,0,,,0.25
3/25/2023 20:29:19,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,6,26,6,0,7.54,336.0,
3/25/2023 20:49:46,1.17.0,FR1,1,4.12,,1,Right,Left,6,27,6,0,,,0.21
3/25/2023 20:55:16,1.17.0,FR1,1,4.12,,1,Left,Left,7,27,6,0,,,0.03
3/25/2023 20:55:25,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,7,27,7,0,8.71,1566.0,
3/25/2023 21:26:53,1.17.0,FR1,1,4.12,,1,Left,Left,8,27,7,0,,,0.27
3/25/2023 21:27:02,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,8,27,8,0,8.83,1897.0,
3/25/2023 21:38:06,1.17.0,FR1,1,4.12,,1,Right,Left,8,28,8,0,,,0.37
3/25/2023 21:47:56,1.17.0,FR1,1,4.12,,1,Left,Left,9,28,8,0,,,0.59
3/25/2023 21:48:00,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,9,28,9,0,3.80,1258.0,
3/25/2023 21:49:28,1.17.0,FR1,1,4.11,,1,Right,Left,9,29,9,0,,,0.6
3/25/2023 21:49:40,1.17.0,FR1,1,4.12,,1,Right,Left,9,30,9,0,,,1.66
3/25/2023 21:49:44,1.17.0,FR1,1,4.11,,1,Right,Left,9,31,9,0,,,0.62
3/25/2023 21:51:31,1.17.0,FR1,1,4.12,,1,Left,Left,10,31,9,0,,,0.6
3/25/2023 21:51:38,1.17.0,FR1,1,4.11,1.0,1,Pellet,Left,10,31,10,0,5.76,218.0,
3/25/2023 21:53:10,1.17.0,FR1,1,4.11,,1,Left,Left,11,31,10,0,,,0.55
3/25/2023 21:53:15,1.17.0,FR1,1,4.12,1.0,1,Pellet,Left,11,31,11,0,4.47,97.0,
3/25/2023 21:54:10,1.17.0,FR1,1,4.12,,1,Left,Left,12,31,11,0,,,0.47
3/25/2023 21:54:14,1.17.0,FR1,1,4.11,1.0,1,Pellet,Left,12,31,12,0,2.63,59.0,
3/25/2023 21:55:26,1.17.0,FR1,1,4.11,,1,Left,Left,13,31,12,0,,,0.53
3/25/2023 21:55:30,1.17.0,FR1,1,4.11,1.0,1,Pellet,Left,13,31,13,0,2.87,76.0,
3/25/2023 21:56:22,1.17.0,FR1,1,4.11,,1,Left,Left,14,31,13,0,,,0.41
