MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2023-03-30 10:37:58,11,4.09,,FR1,Poke,Left,0,1,0,,0
2023-03-30 12:41:38,11,4.08,,FR1,Poke,Left,0,2,0,,0
2023-03-30 12:41:40,11,4.08,,FR1,Poke,Left,0,3,0,,0
2023-03-30 12:41:40,11,4.08,,FR1,Poke,Left,0,4,0,,0
2023-03-30 12:41:41,11,4.09,,FR1,Poke,Left,0,5,0,,0
2023-03-30 12:41:42,11,4.09,,FR1,Poke,Left,0,6,0,,0
2023-03-30 12:41:43,11,4.08,,FR1,Poke,Left,0,7,0,,0
2023-03-30 12:41:44,11,4.08,,FR1,Poke,Left,0,8,0,,0
2023-03-30 12:41:45,11,4.08,,FR1,Poke,Left,0,9,0,,0
2023-03-30 12:41:46,11,4.08,,FR1,Poke,Left,0,10,0,,0
2023-03-30 12:41:50,11,4.08,,FR1,Poke,Left,0,11,0,,0
2023-03-30 12:41:53,11,4.09,,FR1,Poke,Left,0,12,0,,0
2023-03-30 12:41:53,11,4.08,,FR1,Poke,Left,0,13,0,,0
2023-03-30 12:41:54,11,4.08,,FR1,Poke,Left,0,14,0,,0
2023-03-30 12:41:56,11,4.08,,FR1,Poke,Left,0,15,0,,0
2023-03-30 12:41:56,11,4.08,,FR1,Poke,Left,0,16,0,,0
2023-03-30 12:42:08,11,4.08,,FR1,Poke,Left,0,17,0,,0
2023-03-30 12:49:07,11,4.08,,FR1,Poke,Left,1,17,0,,0
2023-03-30 12:49:14,11,4.09,,FR1,Poke,Left,2,17,0,,0
2023-03-30 12:49:16,11,4.09,,FR1,Poke,Left,3,17,0,,0
2023-03-30 12:49:21,11,4.08,3.0,FR1,Pellet,Left,3,17,1,8.99,0
2023-03-30 12:50:20,11,4.08,,FR1,Poke,Left,3,18,1,,0
2023-03-30 12:50:20,11,4.08,,FR1,Poke,Left,3,19,1,,0
2023-03-30 12:50:21,11,4.08,,FR1,Poke,Left,3,20,1,,0
2023-03-30 12:50:24,11,4.08,,FR1,Poke,Left,3,21,1,,0
2023-03-30 12:50:32,11,4.07,,FR1,Poke,Left,3,22,1,,0
2023-03-30 12:50:37,11,4.08,,FR1,Poke,Left,4,22,1,,0
2023-03-30 12:50:41,11,4.08,2.0,FR1,Pellet,Left,4,22,2,3.0,0
2023-03-30 12:51:30,11,4.08,,FR1,Poke,Left,5,22,2,,0
2023-03-30 12:51:31,11,4.08,1.0,FR1,Pellet,Left,5,22,3,1.22,0
2023-03-30 12:51:57,11,4.08,,FR1,Poke,Left,5,23,3,,0
2023-03-30 14:25:07,11,4.07,,FR1,Poke,Left,5,24,3,,0
2023-03-30 14:25:08,11,4.07,,FR1,Poke,Left,5,25,3,,0
2023-03-30 14:34:42,11,4.08,,FR1,Poke,Left,6,25,3,,0
2023-03-30 14:34:48,11,4.07,2.0,FR1,Pellet,Left,6,25,4,3.06,0
2023-03-30 14:40:40,11,4.07,,FR1,Poke,Left,6,26,4,,0
2023-03-30 16:26:29,11,4.07,,FR1,Poke,Left,7,26,4,,0
2023-03-30 16:26:47,11,4.07,1.0,FR1,Pellet,Left,7,26,5,17.2,0
2023-03-30 16:27:21,11,4.07,,FR1,Poke,Left,8,26,5,,0
2023-03-30 16:27:28,11,4.07,1.0,FR1,Pellet,Left,8,26,6,5.76,0
2023-03-30 16:28:52,11,4.08,,FR1,Poke,Left,8,27,6,,0
2023-03-30 16:30:36,11,4.07,,FR1,Poke,Left,9,27,6,,0
2023-03-30 16:30:42,11,4.07,1.0,FR1,Pellet,Left,9,27,7,5.33,0
2023-03-30 16:31:49,11,4.08,,FR1,Poke,Left,10,27,7,,0
2023-03-30 16:31:54,11,4.07,1.0,FR1,Pellet,Left,10,27,8,4.1,0
2023-03-30 16:32:21,11,4.07,,FR1,Poke,Left,11,27,8,,0
2023-03-30 16:32:30,11,4.07,1.0,FR1,Pellet,Left,11,27,9,7.79,0
2023-03-30 16:39:38,11,4.07,,FR1,Poke,Left,11,28,9,,0
2023-03-30 16:41:36,11,4.07,,FR1,Poke,Left,11,29,9,,0
2023-03-30 16:41:47,11,4.07,,FR1,Poke,Left,12,29,9,,0
2023-03-30 16:41:52,11,4.07,1.0,FR1,Pellet,Left,12,29,10,4.1,0
2023-03-30 16:42:32,11,4.07,,FR1,Poke,Left,13,29,10,,0
2023-03-30 16:42:40,11,4.08,1.0,FR1,Pellet,Left,13,29,11,7.24,0
2023-03-30 19:55:40,11,4.07,,FR1,Poke,Left,13,30,11,,0
2023-03-30 19:55:43,11,4.07,,FR1,Poke,Left,13,31,11,,0
2023-03-30 19:56:11,11,4.07,,FR1,Poke,Left,14,31,11,,0
2023-03-30 19:56:21,11,4.06,1.0,FR1,Pellet,Left,14,31,12,9.32,0
2023-03-30 20:01:56,11,4.07,,FR1,Poke,Left,15,31,12,,0
2023-03-30 20:01:58,11,4.07,1.0,FR1,Pellet,Left,15,31,13,1.28,0
2023-03-30 20:02:38,11,4.06,,FR1,Poke,Left,16,31,13,,0
2023-03-30 20:02:41,11,4.07,1.0,FR1,Pellet,Left,16,31,14,1.71,0
2023-03-30 20:03:17,11,4.07,,FR1,Poke,Left,16,32,14,,0
2023-03-30 20:03:25,11,4.07,,FR1,Poke,Left,16,33,14,,0
2023-03-30 20:03:35,11,4.07,,FR1,Poke,Left,17,33,14,,0
2023-03-30 20:03:37,11,4.07,1.0,FR1,Pellet,Left,17,33,15,1.09,0
2023-03-30 20:04:12,11,4.07,,FR1,Poke,Left,18,33,15,,0
2023-03-30 20:04:14,11,4.07,1.0,FR1,Pellet,Left,18,33,16,1.22,0
2023-03-30 20:05:35,11,4.07,,FR1,Poke,Left,18,34,16,,0
2023-03-30 20:07:42,11,4.06,,FR1,Poke,Left,19,34,16,,0
2023-03-30 20:07:49,11,4.07,1.0,FR1,Pellet,Left,19,34,17,5.95,0
2023-03-30 20:09:44,11,4.07,,FR1,Poke,Left,20,34,17,,0
2023-03-30 20:09:47,11,4.07,1.0,FR1,Pellet,Left,20,34,18,2.51,0
2023-03-30 20:11:16,11,4.07,,FR1,Poke,Left,21,34,18,,0
2023-03-30 20:11:18,11,4.07,1.0,FR1,Pellet,Left,21,34,19,0.55,0
2023-03-30 20:11:37,11,4.07,,FR1,Poke,Left,22,34,19,,0
2023-03-30 20:11:39,11,4.07,1.0,FR1,Pellet,Left,22,34,20,1.59,0
2023-03-30 20:11:57,11,4.07,,FR1,Poke,Left,23,34,20,,0
2023-03-30 20:11:59,11,4.06,1.0,FR1,Pellet,Left,23,34,21,0.79,0
