MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2022-07-09 19:19:46,5,4.04,,FR1,Poke,Left,0,1,0,,0
2022-07-09 19:19:49,5,4.04,,FR1,Poke,Left,0,2,0,,0
2022-07-09 19:19:51,5,4.04,,FR1,Poke,Left,1,2,0,,0
2022-07-09 19:21:35,5,4.05,,FR1,Poke,Left,1,3,0,,0
2022-07-09 19:22:36,5,4.04,,FR1,Poke,Left,2,3,0,,0
2022-07-09 19:25:01,5,4.04,,FR1,Poke,Left,2,4,0,,0
2022-07-09 19:50:45,5,4.04,6.0,FR1,Pellet,Left,2,4,1,,0
2022-07-09 19:51:41,5,4.04,,FR1,Poke,Left,3,4,1,,0
2022-07-09 19:51:55,5,4.04,2.0,FR1,Pellet,Left,3,4,2,12.19,0
2022-07-09 19:55:48,5,4.03,,FR1,Poke,Left,3,5,2,,0
2022-07-09 19:55:49,5,4.03,,FR1,Poke,Left,3,6,2,,0
2022-07-09 19:55:50,5,4.04,,FR1,Poke,Left,3,7,2,,0
2022-07-09 19:55:54,5,4.04,,FR1,Poke,Left,3,8,2,,0
2022-07-09 19:59:44,5,4.04,,FR1,Poke,Left,3,9,2,,0
2022-07-09 20:00:08,5,4.04,,FR1,Poke,Left,3,10,2,,0
2022-07-09 20:00:16,5,4.04,,FR1,Poke,Left,4,10,2,,0
2022-07-09 20:01:04,5,4.04,2.0,FR1,Pellet,Left,4,10,3,47.1,0
2022-07-09 20:28:34,5,4.03,,FR1,Poke,Left,5,10,3,,0
2022-07-09 20:28:39,5,4.04,1.0,FR1,Pellet,Left,5,10,4,4.59,0
2022-07-09 20:55:45,5,4.04,,FR1,Poke,Left,5,11,4,,0
2022-07-09 21:14:58,5,4.03,,FR1,Poke,Left,5,12,4,,0
2022-07-09 21:15:01,5,4.04,,FR1,Poke,Left,5,13,4,,0
2022-07-09 21:16:53,5,4.04,,FR1,Poke,Left,6,13,4,,0
2022-07-09 21:17:20,5,4.03,1.0,FR1,Pellet,Left,6,13,5,26.43,0
2022-07-09 21:40:23,5,4.04,,FR1,Poke,Left,6,14,5,,0
2022-07-09 21:40:27,5,4.03,,FR1,Poke,Left,6,15,5,,0
2022-07-09 21:43:01,5,4.03,,FR1,Poke,Left,7,15,5,,0
2022-07-09 21:43:14,5,4.03,3.0,FR1,Pellet,Left,7,15,6,7.82,0
2022-07-09 21:43:54,5,4.03,,FR1,Poke,Left,8,15,6,,0
2022-07-09 21:44:02,5,4.04,2.0,FR1,Pellet,Left,8,15,7,4.91,0
2022-07-09 21:48:54,5,4.03,,FR1,Poke,Left,9,15,7,,0
2022-07-09 21:49:06,5,4.03,1.0,FR1,Pellet,Left,9,15,8,11.11,0
2022-07-09 22:02:21,5,4.03,,FR1,Poke,Left,10,15,8,,0
2022-07-09 22:03:12,5,4.03,2.0,FR1,Pellet,Left,10,15,9,47.51,0
2022-07-09 22:15:55,5,4.04,,FR1,Poke,Left,11,15,9,,0
2022-07-09 22:16:08,5,4.04,1.0,FR1,Pellet,Left,11,15,10,12.45,0
2022-07-09 22:19:54,5,4.03,,FR1,Poke,Left,11,16,10,,0
2022-07-09 22:21:19,5,4.03,,FR1,Poke,Left,12,16,10,,0
