MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-08-15 18:00:00,1.16.3,FR1,13,3.89,,1,Right,Left,0,1,0,0,,,0.01,
2023-08-15 18:33:54,1.16.3,FR1,13,3.89,,1,Right,Left,0,1,0,0,,,0.01,
2023-08-15 18:35:27,1.16.3,FR1,13,3.91,,1,Right,Left,0,2,0,0,,,0.26,
2023-08-15 18:35:33,1.16.3,FR1,13,3.91,,1,Left,Left,1,2,0,0,,,0.04,
2023-08-15 18:37:24,1.16.3,FR1,13,3.91,3.0,1,Pellet,Left,1,2,1,0,Timed_out,,,
2023-08-15 18:48:45,1.16.3,FR1,13,3.91,,1,Left,Left,2,2,1,0,,,0.27,
2023-08-15 18:48:49,1.16.3,FR1,13,3.91,2.0,1,Pellet,Left,2,2,2,0,3.06,685.0,,
2023-08-15 20:17:58,1.16.3,FR1,13,3.91,,1,Right,Left,2,3,2,0,,,0.45,
2023-08-15 20:19:24,1.16.3,FR1,13,3.9,,1,Right,Left,2,4,2,0,,,0.06,
2023-08-15 20:27:51,1.16.3,FR1,13,3.91,,1,Left,Left,3,4,2,0,,,0.05,
2023-08-15 20:27:55,1.16.3,FR1,13,3.91,2.0,1,Pellet,Left,3,4,3,0,2.75,5946.0,,
2023-08-15 20:29:33,1.16.3,FR1,13,3.91,,1,Left,Left,4,4,3,0,,,0.93,
2023-08-15 20:29:35,1.16.3,FR1,13,3.9,1.0,1,Pellet,Left,4,4,4,0,1.40,100.0,,
2023-08-15 20:31:04,1.16.3,FR1,13,3.9,,1,Right,Left,4,5,4,0,,,0.93,
2023-08-15 20:31:08,1.16.3,FR1,13,3.91,,1,Right,Left,4,6,4,0,,,0.15,
2023-08-15 20:31:51,1.16.3,FR1,13,3.91,,1,Right,Left,4,7,4,0,,,0.57,
2023-08-15 20:51:58,1.16.3,FR1,13,3.91,,1,Left,Left,5,7,4,0,,,0.22,
2023-08-15 20:52:01,1.16.3,FR1,13,3.91,1.0,1,Pellet,Left,5,7,5,0,2.20,1346.0,,
2023-08-15 20:52:33,1.16.3,FR1,13,3.9,,1,Right,Left,5,8,5,0,,,0.04,
2023-08-15 20:53:00,1.16.3,FR1,13,3.9,,1,Right,Left,5,9,5,0,,,0.3,
2023-08-15 20:53:32,1.16.3,FR1,13,3.91,,1,Right,Left,5,10,5,0,,,0.75,
2023-08-15 20:54:17,1.16.3,FR1,13,3.91,,1,Right,Left,5,11,5,0,,,0.57,
2023-08-15 20:55:25,1.16.3,FR1,13,3.91,,1,Right,Left,5,12,5,0,,,0.08,
2023-08-15 21:01:20,1.16.3,FR1,13,3.9,,1,Left,Left,6,12,5,0,,,0.0,
2023-08-15 21:01:22,1.16.3,FR1,13,3.91,1.0,1,Pellet,Left,6,12,6,0,1.52,561.0,,
2023-08-15 21:02:03,1.16.3,FR1,13,3.9,,1,Right,Left,6,13,6,0,,,0.07,
2023-08-15 21:02:15,1.16.3,FR1,13,3.89,,1,Left,Left,7,13,6,0,,,0.05,
2023-08-15 21:02:18,1.16.3,FR1,13,3.9,1.0,1,Pellet,Left,7,13,7,0,2.01,56.0,,
2023-08-15 21:02:42,1.16.3,FR1,13,3.91,,1,Left,Left,8,13,7,0,,,0.47,
2023-08-15 21:02:44,1.16.3,FR1,13,3.91,1.0,1,Pellet,Left,8,13,8,0,1.16,26.0,,
