MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2022 15:55:04,1.11.0,FR1,19,4.24,1,1,Left,Left,1,0,0,0,,,0.36
4/26/2022 15:55:48,1.11.0,FR1,19,4.25,4,1,Pellet,Left,1,0,1,0,36.3,,
4/26/2022 15:58:27,1.11.0,FR1,19,4.24,1,1,Right,Left,1,1,1,0,,,0.13
4/26/2022 16:03:42,1.11.0,FR1,19,4.25,1,1,Right,Left,1,2,1,0,,,0.28
4/26/2022 16:07:45,1.11.0,FR1,19,4.25,1,1,Left,Left,2,2,1,0,,,0.13
4/26/2022 16:07:50,1.11.0,FR1,19,4.24,4,1,Pellet,Left,2,2,2,0,0.06,723.0,
4/26/2022 16:22:08,1.11.0,FR1,19,4.24,1,1,Right,Left,2,3,2,0,,,0.27
4/26/2022 16:23:30,1.11.0,FR1,19,4.25,1,1,Left,Left,3,3,2,0,,,0.17
4/26/2022 16:23:32,1.11.0,FR1,19,4.25,1,1,Pellet,Left,3,3,3,0,1.7,942.0,
4/26/2022 16:30:05,1.11.0,FR1,19,4.24,1,1,Right,Left,3,4,3,0,,,0.17
4/26/2022 16:30:53,1.11.0,FR1,19,4.25,1,1,Left,Left,4,4,3,0,,,0.08
4/26/2022 16:31:01,1.11.0,FR1,19,4.25,2,1,Pellet,Left,4,4,4,0,5.06,448.0,
4/26/2022 16:31:35,1.11.0,FR1,19,4.25,1,1,Left,Left,5,4,4,0,,,0.14
4/26/2022 16:31:40,1.11.0,FR1,19,4.24,3,1,Pellet,Left,5,4,5,0,0.06,40.0,
4/26/2022 16:53:24,1.11.0,FR1,19,4.24,1,1,Right,Left,5,5,5,0,,,0.06
4/26/2022 17:02:52,1.11.0,FR1,19,4.24,1,1,Left,Left,6,5,5,0,,,0.11
4/26/2022 17:02:53,1.11.0,FR1,19,4.25,1,1,Pellet,Left,6,5,6,0,0.31,1873.0,
4/26/2022 17:07:20,1.11.0,FR1,19,4.24,1,1,Left,Left,7,5,6,0,,,0.33
4/26/2022 17:07:24,1.11.0,FR1,19,4.24,3,1,Pellet,Left,7,5,7,0,0.25,271.0,
4/26/2022 17:07:48,1.11.0,FR1,19,4.25,1,1,Left,Left,8,5,7,0,,,0.44
4/26/2022 17:07:51,1.11.0,FR1,19,4.24,3,1,Pellet,Left,8,5,8,0,0.06,27.0,
4/26/2022 17:33:08,1.11.0,FR1,19,4.23,1,1,Left,Left,9,5,8,0,,,0.23
4/26/2022 17:33:11,1.11.0,FR1,19,4.24,2,1,Pellet,Left,9,5,9,0,1.96,1520.0,
4/26/2022 17:36:18,1.11.0,FR1,19,4.25,1,1,Left,Left,10,5,9,0,,,0.15
4/26/2022 17:36:19,1.11.0,FR1,19,4.25,1,1,Pellet,Left,10,5,10,0,0.37,188.0,
4/26/2022 17:36:40,1.11.0,FR1,19,4.25,1,1,Left,Left,11,5,10,0,,,0.23
4/26/2022 17:36:52,1.11.0,FR1,19,4.25,7,1,Pellet,Left,11,5,11,0,0.06,33.0,
4/26/2022 20:50:10,1.11.0,FR1,19,4.23,1,1,Left,Left,12,5,11,0,,,0.12
4/26/2022 20:50:12,1.11.0,FR1,19,4.24,1,1,Pellet,Left,12,5,12,0,0.5,11599.0,
4/26/2022 20:51:38,1.11.0,FR1,19,4.24,1,1,Left,Left,13,5,12,0,,,0.14
4/26/2022 20:51:41,1.11.0,FR1,19,4.24,2,1,Pellet,Left,13,5,13,0,0.31,90.0,
