MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-06 21:37:16,1.9.0,FR1,5,3.96,1,1,Right,Left,0,1,0,0,,,0.22
2022-10-06 21:41:06,1.9.0,FR1,5,3.96,1,1,Left,Left,1,1,0,0,,,0.09
2022-10-06 21:41:17,1.9.0,FR1,5,3.96,3,1,Pellet,Left,1,1,1,0,6.06,,
2022-10-06 21:57:18,1.9.0,FR1,5,3.96,1,1,Left,Left,2,1,1,0,,,0.4
2022-10-06 21:57:33,1.9.0,FR1,5,3.96,1,1,Pellet,Left,2,1,2,0,13.26,975.0,
2022-10-06 22:36:01,1.9.0,FR1,5,3.96,1,1,Left,Left,3,1,2,0,,,0.02
2022-10-06 22:36:28,1.9.0,FR1,5,3.96,1,1,Pellet,Left,3,1,3,0,26.24,2336.0,
2022-10-06 22:42:53,1.9.0,FR1,5,3.95,1,1,Left,Left,4,1,3,0,,,0.29
2022-10-06 22:43:00,1.9.0,FR1,5,3.96,1,1,Pellet,Left,4,1,4,0,5.86,392.0,
2022-10-06 23:04:33,1.9.0,FR1,5,3.96,1,1,Right,Left,4,2,4,0,,,0.13
2022-10-06 23:08:44,1.9.0,FR1,5,3.96,1,1,Right,Left,4,3,4,0,,,0.4
2022-10-06 23:27:30,1.9.0,FR1,5,3.96,1,1,Left,Left,5,3,4,0,,,0.03
2022-10-06 23:27:32,1.9.0,FR1,5,3.96,1,1,Pellet,Left,5,3,5,0,0.85,2672.0,
2022-10-06 23:41:28,1.9.0,FR1,5,3.96,1,1,Left,Left,6,3,5,0,,,0.1
2022-10-06 23:41:32,1.9.0,FR1,5,3.95,2,1,Pellet,Left,6,3,6,0,2.50,839.0,
2022-10-06 23:42:18,1.9.0,FR1,5,3.96,1,1,Left,Left,7,3,6,0,,,0.12
2022-10-06 23:42:21,1.9.0,FR1,5,3.96,1,1,LeftWithPellet,Left,8,3,6,0,,,0.72
2022-10-06 23:42:22,1.9.0,FR1,5,3.96,1,1,Pellet,Left,8,3,7,0,2.44,51.0,
2022-10-06 23:46:40,1.9.0,FR1,5,3.96,1,1,Right,Left,8,4,7,0,,,0.19
2022-10-06 23:46:48,1.9.0,FR1,5,3.96,1,1,Left,Left,9,4,7,0,,,1.17
2022-10-06 23:46:49,1.9.0,FR1,5,3.96,1,1,LeftWithPellet,Left,10,4,7,0,,,0.19
2022-10-06 23:46:54,1.9.0,FR1,5,3.96,1,1,Pellet,Left,10,4,8,0,4.68,271.0,
