MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-11-14 22:11:56,1.16.3,FR1,10,4.01,,1,Left,Left,1,0,0,0,,,0.05
2022-11-14 22:13:20,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,1,0,1,0,Timed_out,,
2022-11-14 22:17:50,1.16.3,FR1,10,4.02,,1,Left,Left,2,0,1,0,,,0.12
2022-11-14 22:18:18,1.16.3,FR1,10,4.01,6.0,1,Pellet,Left,2,0,2,0,16.10,298.0,
2022-11-14 22:28:42,1.16.3,FR1,10,4.01,,1,Left,Left,3,0,2,0,,,0.04
2022-11-14 22:28:43,1.16.3,FR1,10,4.01,,1,LeftDuringDispense,Left,4,0,2,0,,,0.04
2022-11-14 22:28:47,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,4,0,3,0,1.05,629.0,
2022-11-14 22:34:51,1.16.3,FR1,10,4.01,,1,Left,Left,5,0,3,0,,,0.04
2022-11-14 22:34:59,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,5,0,4,0,6.59,372.0,
2022-11-14 22:49:23,1.16.3,FR1,10,4.02,,1,Left,Left,6,0,4,0,,,0.06
2022-11-14 22:49:24,1.16.3,FR1,10,4.02,,1,LeftDuringDispense,Left,7,0,4,0,,,0.09
2022-11-14 22:50:05,1.16.3,FR1,10,4.02,2.0,1,Pellet,Left,7,0,5,0,38.03,906.0,
2022-11-14 22:57:41,1.16.3,FR1,10,4.01,,1,Left,Left,8,0,5,0,,,0.01
2022-11-14 22:57:49,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,8,0,6,0,6.46,464.0,
2022-11-14 23:13:00,1.16.3,FR1,10,4.02,,1,Right,Left,8,1,6,0,,,0.04
2022-11-14 23:13:06,1.16.3,FR1,10,4.01,,1,Right,Left,8,2,6,0,,,0.07
2022-11-14 23:13:18,1.16.3,FR1,10,4.01,,1,Left,Left,9,2,6,0,,,0.06
2022-11-14 23:13:21,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,9,2,7,0,2.10,932.0,
2022-11-14 23:18:26,1.16.3,FR1,10,4.01,,1,Left,Left,10,2,7,0,,,0.64
2022-11-14 23:18:48,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,10,2,8,0,21.67,327.0,
2022-11-14 23:24:46,1.16.3,FR1,10,4.01,,1,Left,Left,11,2,8,0,,,0.04
2022-11-14 23:24:47,1.16.3,FR1,10,4.0,,1,LeftDuringDispense,Left,12,2,8,0,,,0.07
2022-11-14 23:24:47,1.16.3,FR1,10,4.02,,1,LeftDuringDispense,Left,13,2,8,0,,,0.1
2022-11-14 23:24:51,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,13,2,9,0,1.38,363.0,
2022-11-14 23:36:38,1.16.3,FR1,10,4.01,,1,Left,Left,14,2,9,0,,,0.07
2022-11-14 23:36:53,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,14,2,10,0,12.87,722.0,
2022-11-14 23:42:08,1.16.3,FR1,10,4.01,,1,Left,Left,15,2,10,0,,,0.1
2022-11-14 23:42:09,1.16.3,FR1,10,4.01,,1,LeftDuringDispense,Left,16,2,10,0,,,0.55
2022-11-14 23:42:30,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,16,2,11,0,18.23,337.0,
2022-11-15 00:28:48,1.16.3,FR1,10,4.0,,1,Left,Left,17,2,11,0,,,0.29
2022-11-15 00:29:15,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,17,2,12,0,26.59,2805.0,
2022-11-15 00:33:54,1.16.3,FR1,10,4.0,,1,Left,Left,18,2,12,0,,,0.05
2022-11-15 00:34:14,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,18,2,13,0,18.77,298.0,
2022-11-15 00:52:24,1.16.3,FR1,10,4.01,,1,Left,Left,19,2,13,0,,,0.17
2022-11-15 00:52:26,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,19,2,14,0,0.85,1093.0,
2022-11-15 01:06:37,1.16.3,FR1,10,4.01,,1,Left,Left,20,2,14,0,,,0.06
2022-11-15 01:06:40,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,20,2,15,0,1.64,854.0,
2022-11-15 01:10:31,1.16.3,FR1,10,4.0,,1,Left,Left,21,2,15,0,,,0.05
2022-11-15 01:10:33,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,21,2,16,0,0.98,233.0,
2022-11-15 01:15:09,1.16.3,FR1,10,4.01,,1,Left,Left,22,2,16,0,,,0.0
2022-11-15 01:15:12,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,22,2,17,0,1.58,279.0,
2022-11-15 01:15:45,1.16.3,FR1,10,4.01,,1,Left,Left,23,2,17,0,,,0.41
2022-11-15 01:15:48,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,23,2,18,0,1.84,36.0,
2022-11-15 01:16:25,1.16.3,FR1,10,4.01,,1,Left,Left,24,2,18,0,,,0.1
2022-11-15 01:16:27,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,24,2,19,0,0.79,39.0,
2022-11-15 01:17:02,1.16.3,FR1,10,4.01,,1,Left,Left,25,2,19,0,,,0.55
2022-11-15 01:17:04,1.16.3,FR1,10,4.02,1.0,1,Pellet,Left,25,2,20,0,0.65,37.0,
2022-11-15 01:18:15,1.16.3,FR1,10,4.01,,1,Right,Left,25,3,20,0,,,0.36
2022-11-15 01:18:22,1.16.3,FR1,10,4.01,,1,Left,Left,26,3,20,0,,,0.32
2022-11-15 01:18:25,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,26,3,21,0,2.57,81.0,
2022-11-15 01:21:55,1.16.3,FR1,10,4.01,,1,Left,Left,27,3,21,0,,,0.18
2022-11-15 01:21:57,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,27,3,22,0,0.65,211.0,
2022-11-15 01:23:20,1.16.3,FR1,10,4.0,,1,Left,Left,28,3,22,0,,,0.02
2022-11-15 01:23:21,1.16.3,FR1,10,4.0,,1,LeftDuringDispense,Left,29,3,22,0,,,0.25
2022-11-15 01:23:25,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,29,3,23,0,3.83,89.0,
2022-11-15 01:34:10,1.16.3,FR1,10,4.01,,1,Left,Left,30,3,23,0,,,0.2
2022-11-15 01:34:11,1.16.3,FR1,10,4.01,2.0,1,Pellet,Left,30,3,24,0,0.65,646.0,
2022-11-15 01:42:50,1.16.3,FR1,10,4.0,,1,Right,Left,30,4,24,0,,,0.08
2022-11-15 01:43:10,1.16.3,FR1,10,4.0,,1,Left,Left,31,4,24,0,,,0.03
2022-11-15 01:43:12,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,31,4,25,0,1.25,541.0,
2022-11-15 01:43:53,1.16.3,FR1,10,4.01,,1,Left,Left,32,4,25,0,,,0.01
2022-11-15 01:43:56,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,32,4,26,0,2.63,44.0,
2022-11-15 01:45:09,1.16.3,FR1,10,4.01,,1,Left,Left,33,4,26,0,,,0.0
2022-11-15 01:45:10,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,33,4,27,0,0.46,74.0,
2022-11-15 01:47:50,1.16.3,FR1,10,4.01,,1,Left,Left,34,4,27,0,,,0.02
2022-11-15 01:47:52,1.16.3,FR1,10,4.01,1.0,1,Pellet,Left,34,4,28,0,0.39,162.0,
2022-11-15 01:49:18,1.16.3,FR1,10,4.0,,1,Left,Left,35,4,28,0,,,0.05
2022-11-15 01:49:20,1.16.3,FR1,10,4.0,1.0,1,Pellet,Left,35,4,29,0,0.52,88.0,
2022-11-15 01:49:33,1.16.3,FR1,10,4.0,,1,Left,Left,36,4,29,0,,,0.09
