MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2023-03-30 15:42:23,19,4.05,,FR1,Poke,Left,0,1,0,,0
2023-03-30 18:09:21,19,4.04,,FR1,Poke,Left,1,1,0,,0
2023-03-30 18:10:18,19,4.04,4.0,FR1,Pellet,Left,1,1,1,51.51,0
2023-03-30 18:11:53,19,4.03,,FR1,Poke,Left,1,2,1,,0
2023-03-30 18:13:49,19,4.05,,FR1,Poke,Left,1,3,1,,0
2023-03-30 18:14:33,19,4.04,,FR1,Poke,Left,1,4,1,,0
2023-03-30 20:29:27,19,4.03,,FR1,Poke,Left,1,5,1,,0
2023-03-30 20:41:26,19,4.03,,FR1,Poke,Left,1,6,1,,0
2023-03-30 20:41:28,19,4.03,,FR1,Poke,Left,1,7,1,,0
2023-03-30 20:41:29,19,4.03,,FR1,Poke,Left,1,8,1,,0
2023-03-30 21:34:27,19,4.03,,FR1,Poke,Left,2,8,1,,0
2023-03-30 21:34:31,19,4.03,2.0,FR1,Pellet,Left,2,8,2,2.57,0
2023-03-30 21:35:36,19,4.03,,FR1,Poke,Left,3,8,2,,0
2023-03-30 21:35:39,19,4.04,1.0,FR1,Pellet,Left,3,8,3,2.14,0
2023-03-30 21:36:29,19,4.03,,FR1,Poke,Left,4,8,3,,0
2023-03-30 21:36:34,19,4.03,1.0,FR1,Pellet,Left,4,8,4,3.8,0
2023-03-30 21:39:29,19,4.04,,FR1,Poke,Left,5,8,4,,0
2023-03-30 21:39:31,19,4.03,1.0,FR1,Pellet,Left,5,8,5,1.22,0
2023-03-30 21:41:16,19,4.04,,FR1,Poke,Left,5,9,5,,0
2023-03-30 22:53:33,19,4.03,,FR1,Poke,Left,5,10,5,,0
2023-03-30 23:01:07,19,4.03,,FR1,Poke,Left,5,11,5,,0
2023-03-30 23:32:45,19,4.03,,FR1,Poke,Left,6,11,5,,0
2023-03-30 23:32:52,19,4.03,1.0,FR1,Pellet,Left,6,11,6,5.58,0
2023-03-30 23:34:50,19,4.03,,FR1,Poke,Left,6,12,6,,0
2023-03-30 23:35:06,19,4.03,,FR1,Poke,Left,6,13,6,,0
2023-03-30 23:35:10,19,4.03,,FR1,Poke,Left,6,14,6,,0
2023-03-30 23:35:13,19,4.04,,FR1,Poke,Left,6,15,6,,0
2023-03-30 23:35:17,19,4.03,,FR1,Poke,Left,6,16,6,,0
2023-03-30 23:35:22,19,4.03,,FR1,Poke,Left,6,17,6,,0
2023-03-30 23:45:25,19,4.03,,FR1,Poke,Left,6,18,6,,0
2023-03-30 23:45:39,19,4.03,,FR1,Poke,Left,7,18,6,,0
2023-03-30 23:45:46,19,4.03,1.0,FR1,Pellet,Left,7,18,7,6.01,0
2023-03-30 23:47:01,19,4.03,,FR1,Poke,Left,7,19,7,,0
2023-03-30 23:47:25,19,4.03,,FR1,Poke,Left,8,19,7,,0
2023-03-30 23:47:34,19,4.03,2.0,FR1,Pellet,Left,8,19,8,6.32,0
2023-03-31 00:05:29,19,4.03,,FR1,Poke,Left,8,20,8,,0
2023-03-31 02:24:16,19,4.03,,FR1,Poke,Left,9,20,8,,0
2023-03-31 02:24:19,19,4.02,1.0,FR1,Pellet,Left,9,20,9,2.2,0
2023-03-31 02:25:00,19,4.02,,FR1,Poke,Left,10,20,9,,0
2023-03-31 02:25:03,19,4.02,1.0,FR1,Pellet,Left,10,20,10,2.63,0
2023-03-31 02:27:26,19,4.03,,FR1,Poke,Left,11,20,10,,0
2023-03-31 02:27:29,19,4.02,1.0,FR1,Pellet,Left,11,20,11,1.71,0
2023-03-31 02:30:24,19,4.03,,FR1,Poke,Left,11,21,11,,0
2023-03-31 02:30:30,19,4.03,,FR1,Poke,Left,12,21,11,,0
2023-03-31 02:30:34,19,4.03,1.0,FR1,Pellet,Left,12,21,12,3.12,0
2023-03-31 02:31:52,19,4.02,,FR1,Poke,Left,12,22,12,,0
2023-03-31 02:32:06,19,4.02,,FR1,Poke,Left,13,22,12,,0
2023-03-31 02:32:08,19,4.03,1.0,FR1,Pellet,Left,13,22,13,1.22,0
2023-03-31 02:33:00,19,4.03,,FR1,Poke,Left,13,23,13,,0
2023-03-31 02:33:13,19,4.03,,FR1,Poke,Left,14,23,13,,0
2023-03-31 02:33:18,19,4.03,1.0,FR1,Pellet,Left,14,23,14,4.29,0
2023-03-31 02:34:09,19,4.03,,FR1,Poke,Left,15,23,14,,0
2023-03-31 02:34:16,19,4.03,1.0,FR1,Pellet,Left,15,23,15,5.7,0
2023-03-31 02:37:52,19,4.02,,FR1,Poke,Left,16,23,15,,0
2023-03-31 02:37:56,19,4.03,1.0,FR1,Pellet,Left,16,23,16,2.75,0
2023-03-31 03:55:55,19,4.02,,FR1,Poke,Left,16,24,16,,0
2023-03-31 03:56:40,19,4.03,,FR1,Poke,Left,17,24,16,,0
2023-03-31 03:56:44,19,4.02,1.0,FR1,Pellet,Left,17,24,17,3.0,0
2023-03-31 03:58:17,19,4.02,,FR1,Poke,Left,18,24,17,,0
2023-03-31 03:58:20,19,4.02,1.0,FR1,Pellet,Left,18,24,18,1.83,0
2023-03-31 03:59:26,19,4.03,,FR1,Poke,Left,19,24,18,,0
2023-03-31 03:59:30,19,4.02,1.0,FR1,Pellet,Left,19,24,19,3.12,0
2023-03-31 04:00:56,19,4.02,,FR1,Poke,Left,20,24,19,,0
2023-03-31 04:00:59,19,4.02,1.0,FR1,Pellet,Left,20,24,20,2.57,0
2023-03-31 04:09:57,19,4.02,,FR1,Poke,Left,21,24,20,,0
2023-03-31 04:09:59,19,4.02,1.0,FR1,Pellet,Left,21,24,21,1.28,0
2023-03-31 04:10:52,19,4.02,,FR1,Poke,Left,22,24,21,,0
2023-03-31 04:10:54,19,4.02,2.0,FR1,Pellet,Left,22,24,22,1.65,0
2023-03-31 04:11:44,19,4.02,,FR1,Poke,Left,23,24,22,,0
2023-03-31 04:11:49,19,4.02,1.0,FR1,Pellet,Left,23,24,23,3.92,0
2023-03-31 05:55:55,19,4.02,,FR1,Poke,Left,23,25,23,,0
2023-03-31 05:57:45,19,4.02,,FR1,Poke,Left,23,26,23,,0
2023-03-31 05:58:11,19,4.02,,FR1,Poke,Left,24,26,23,,0
2023-03-31 05:58:14,19,4.02,1.0,FR1,Pellet,Left,24,26,24,1.59,0
2023-03-31 06:01:48,19,4.02,,FR1,Poke,Left,25,26,24,,0
2023-03-31 06:01:50,19,4.02,1.0,FR1,Pellet,Left,25,26,25,1.71,0
2023-03-31 06:06:55,19,4.02,,FR1,Poke,Left,26,26,25,,0
2023-03-31 06:06:57,19,4.02,1.0,FR1,Pellet,Left,26,26,26,0.91,0
2023-03-31 06:07:48,19,4.02,,FR1,Poke,Left,26,27,26,,0
2023-03-31 06:08:09,19,4.02,,FR1,Poke,Left,27,27,26,,0
2023-03-31 06:08:14,19,4.02,2.0,FR1,Pellet,Left,27,27,27,2.57,0
2023-03-31 06:09:10,19,4.02,,FR1,Poke,Left,27,28,27,,0
2023-03-31 06:09:14,19,4.02,,FR1,Poke,Left,28,28,27,,0
2023-03-31 06:09:18,19,4.02,1.0,FR1,Pellet,Left,28,28,28,2.88,0
2023-03-31 06:09:50,19,4.02,,FR1,Poke,Left,29,28,28,,0
2023-03-31 06:09:54,19,4.02,1.0,FR1,Pellet,Left,29,28,29,3.31,0
2023-03-31 06:10:36,19,4.02,,FR1,Poke,Left,30,28,29,,0
2023-03-31 06:10:38,19,4.02,1.0,FR1,Pellet,Left,30,28,30,1.71,0
2023-03-31 06:11:26,19,4.02,,FR1,Poke,Left,31,28,30,,0
2023-03-31 06:11:29,19,4.02,1.0,FR1,Pellet,Left,31,28,31,2.2,0
2023-03-31 06:12:35,19,4.02,,FR1,Poke,Left,32,28,31,,0
2023-03-31 06:12:37,19,4.02,2.0,FR1,Pellet,Left,32,28,32,1.28,0
2023-03-31 06:13:01,19,4.02,,FR1,Poke,Left,33,28,32,,0
2023-03-31 06:13:07,19,4.02,1.0,FR1,Pellet,Left,33,28,33,5.03,0
2023-03-31 06:13:33,19,4.02,,FR1,Poke,Left,34,28,33,,0
2023-03-31 06:13:36,19,4.02,1.0,FR1,Pellet,Left,34,28,34,1.46,0
2023-03-31 06:14:15,19,4.02,,FR1,Poke,Left,34,29,34,,0
2023-03-31 06:14:16,19,4.02,,FR1,Poke,Left,34,30,34,,0
2023-03-31 06:14:23,19,4.02,,FR1,Poke,Left,35,30,34,,0
2023-03-31 06:14:26,19,4.02,1.0,FR1,Pellet,Left,35,30,35,1.34,0
2023-03-31 07:44:39,19,4.02,,FR1,Poke,Left,36,30,35,,0
2023-03-31 07:44:42,19,4.02,1.0,FR1,Pellet,Left,36,30,36,3.0,0
2023-03-31 07:45:42,19,4.02,,FR1,Poke,Left,36,31,36,,0
2023-03-31 07:45:50,19,4.02,,FR1,Poke,Left,37,31,36,,0
2023-03-31 07:45:52,19,4.02,1.0,FR1,Pellet,Left,37,31,37,1.03,0
2023-03-31 08:06:18,19,4.02,,FR1,Poke,Left,38,31,37,,0
