MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#
2022-07-09 19:17:24,3,4.02,,FR1,Poke,Left,0,1,0,,0
2022-07-09 19:17:26,3,4.02,,FR1,Poke,Left,0,2,0,,0
2022-07-09 19:17:27,3,4.02,,FR1,Poke,Left,1,2,0,,0
2022-07-09 19:23:07,3,4.02,5.0,FR1,Pellet,Left,1,2,1,,0
2022-07-09 19:29:48,3,4.02,,FR1,Poke,Left,2,2,1,,0
2022-07-09 19:39:55,3,4.02,2.0,FR1,Pellet,Left,2,2,2,,0
2022-07-09 20:12:50,3,4.02,,FR1,Poke,Left,3,2,2,,0
2022-07-09 20:13:43,3,4.02,1.0,FR1,Pellet,Left,3,2,3,52.2,0
2022-07-09 20:14:47,3,4.02,,FR1,Poke,Left,4,2,3,,0
2022-07-09 20:15:27,3,4.02,1.0,FR1,Pellet,Left,4,2,4,38.76,0
2022-07-09 20:16:37,3,4.02,,FR1,Poke,Left,4,3,4,,0
2022-07-09 20:16:38,3,4.02,,FR1,Poke,Left,4,4,4,,0
2022-07-09 20:16:39,3,4.02,,FR1,Poke,Left,4,5,4,,0
2022-07-09 20:16:40,3,4.02,,FR1,Poke,Left,4,6,4,,0
2022-07-09 20:16:41,3,4.03,,FR1,Poke,Left,4,7,4,,0
2022-07-09 20:16:47,3,4.02,,FR1,Poke,Left,4,8,4,,0
2022-07-09 21:03:17,3,4.02,,FR1,Poke,Left,5,8,4,,0
2022-07-09 21:03:29,3,4.02,1.0,FR1,Pellet,Left,5,8,5,11.56,0
2022-07-09 21:14:14,3,4.02,,FR1,Poke,Left,6,8,5,,0
2022-07-09 21:14:15,3,4.02,1.0,FR1,Pellet,Left,6,8,6,0.16,0
2022-07-09 21:17:41,3,4.02,,FR1,Poke,Left,7,8,6,,0
2022-07-09 21:17:54,3,4.02,1.0,FR1,Pellet,Left,7,8,7,12.06,0
2022-07-09 21:38:52,3,4.02,,FR1,Poke,Left,8,8,7,,0
2022-07-09 21:39:33,3,4.02,1.0,FR1,Pellet,Left,8,8,8,40.31,0
2022-07-09 22:01:34,3,4.02,,FR1,Poke,Left,8,9,8,,0
2022-07-09 22:02:59,3,4.02,,FR1,Poke,Left,9,9,8,,0
2022-07-09 22:03:04,3,4.02,2.0,FR1,Pellet,Left,9,9,9,3.96,0
2022-07-09 22:09:32,3,4.02,,FR1,Poke,Left,9,10,9,,0
2022-07-09 22:11:38,3,4.02,,FR1,Poke,Left,9,11,9,,0
2022-07-09 22:11:39,3,4.03,,FR1,Poke,Left,9,12,9,,0
2022-07-09 22:12:48,3,4.02,,FR1,Poke,Left,10,12,9,,0
2022-07-09 22:15:54,3,4.02,1.0,FR1,Pellet,Left,10,12,10,,0
2022-07-09 22:50:33,3,4.02,,FR1,Poke,Left,11,12,10,,0
2022-07-09 22:50:38,3,4.02,1.0,FR1,Pellet,Left,11,12,11,4.91,0
2022-07-09 22:57:14,3,4.02,,FR1,Poke,Left,12,12,11,,0
2022-07-09 22:57:19,3,4.02,2.0,FR1,Pellet,Left,12,12,12,1.74,0
2022-07-09 23:00:09,3,4.02,,FR1,Poke,Left,13,12,12,,0
2022-07-09 23:00:13,3,4.02,1.0,FR1,Pellet,Left,13,12,13,3.07,0
2022-07-09 23:01:24,3,4.02,,FR1,Poke,Left,14,12,13,,0
2022-07-09 23:01:28,3,4.02,,FR1,Poke,Left,15,12,13,,0
2022-07-09 23:01:29,3,4.02,1.0,FR1,Pellet,Left,15,12,14,4.35,0
2022-07-09 23:02:59,3,4.02,,FR1,Poke,Left,15,13,14,,0
2022-07-09 23:03:08,3,4.02,,FR1,Poke,Left,15,14,14,,0
2022-07-09 23:03:20,3,4.02,,FR1,Poke,Left,16,14,14,,0
2022-07-09 23:03:24,3,4.02,2.0,FR1,Pellet,Left,16,14,15,1.36,0
2022-07-09 23:04:10,3,4.02,,FR1,Poke,Left,16,15,15,,0
2022-07-09 23:04:33,3,4.02,,FR1,Poke,Left,17,15,15,,0
2022-07-09 23:04:35,3,4.02,2.0,FR1,Pellet,Left,17,15,16,0.92,0
2022-07-09 23:05:20,3,4.02,,FR1,Poke,Left,17,16,16,,0
2022-07-09 23:06:54,3,4.02,,FR1,Poke,Left,18,16,16,,0
2022-07-09 23:06:57,3,4.01,1.0,FR1,Pellet,Left,18,16,17,1.55,0
2022-07-09 23:09:19,3,4.02,,FR1,Poke,Left,19,16,17,,0
2022-07-09 23:09:21,3,4.02,1.0,FR1,Pellet,Left,19,16,18,0.6,0
2022-07-09 23:10:01,3,4.02,,FR1,Poke,Left,20,16,18,,0
2022-07-09 23:10:04,3,4.02,1.0,FR1,Pellet,Left,20,16,19,1.67,0
2022-07-09 23:12:46,3,4.02,,FR1,Poke,Left,21,16,19,,0
2022-07-09 23:12:48,3,4.02,1.0,FR1,Pellet,Left,21,16,20,1.74,0
2022-07-09 23:15:10,3,4.02,,FR1,Poke,Left,22,16,20,,0
2022-07-09 23:15:12,3,4.02,2.0,FR1,Pellet,Left,22,16,21,0.98,0
2022-07-09 23:18:01,3,4.02,,FR1,Poke,Left,23,16,21,,0
2022-07-09 23:18:03,3,4.02,1.0,FR1,Pellet,Left,23,16,22,1.68,0
2022-07-09 23:19:07,3,4.02,,FR1,Poke,Left,24,16,22,,0
2022-07-09 23:19:10,3,4.02,1.0,FR1,Pellet,Left,24,16,23,2.37,0
2022-07-09 23:19:32,3,4.02,,FR1,Poke,Left,25,16,23,,0
2022-07-09 23:19:35,3,4.02,1.0,FR1,Pellet,Left,25,16,24,1.55,0
2022-07-09 23:19:59,3,4.02,,FR1,Poke,Left,26,16,24,,0
2022-07-09 23:20:00,3,4.02,1.0,FR1,Pellet,Left,26,16,25,0.54,0
2022-07-09 23:20:23,3,4.02,,FR1,Poke,Left,27,16,25,,0
2022-07-09 23:20:25,3,4.02,1.0,FR1,Pellet,Left,27,16,26,0.54,0
2022-07-10 00:22:29,3,4.02,,FR1,Poke,Left,28,16,26,,0
2022-07-10 00:22:33,3,4.02,2.0,FR1,Pellet,Left,28,16,27,0.6,0
2022-07-10 00:29:54,3,4.02,,FR1,Poke,Left,29,16,27,,0
2022-07-10 00:29:58,3,4.02,1.0,FR1,Pellet,Left,29,16,28,2.31,0
2022-07-10 00:30:35,3,4.02,,FR1,Poke,Left,30,16,28,,0
2022-07-10 00:30:40,3,4.02,2.0,FR1,Pellet,Left,30,16,29,1.49,0
2022-07-10 00:31:21,3,4.01,,FR1,Poke,Left,31,16,29,,0
2022-07-10 00:31:23,3,4.02,1.0,FR1,Pellet,Left,31,16,30,0.79,0
2022-07-10 00:31:55,3,4.02,,FR1,Poke,Left,32,16,30,,0
2022-07-10 00:31:57,3,4.02,1.0,FR1,Pellet,Left,32,16,31,0.85,0
2022-07-10 00:32:22,3,4.02,,FR1,Poke,Left,33,16,31,,0
2022-07-10 00:32:23,3,4.02,1.0,FR1,Pellet,Left,33,16,32,0.47,0
2022-07-10 00:32:56,3,4.02,,FR1,Poke,Left,34,16,32,,0
2022-07-10 00:32:57,3,4.02,1.0,FR1,Pellet,Left,34,16,33,0.98,0
2022-07-10 00:33:55,3,4.01,,FR1,Poke,Left,35,16,33,,0
2022-07-10 00:33:56,3,4.02,1.0,FR1,Pellet,Left,35,16,34,0.54,0
2022-07-10 00:34:29,3,4.02,,FR1,Poke,Left,36,16,34,,0
2022-07-10 00:34:33,3,4.02,2.0,FR1,Pellet,Left,36,16,35,1.93,0
2022-07-10 00:35:17,3,4.02,,FR1,Poke,Left,37,16,35,,0
2022-07-10 00:35:18,3,4.02,1.0,FR1,Pellet,Left,37,16,36,0.92,0
2022-07-10 00:35:40,3,4.02,,FR1,Poke,Left,38,16,36,,0
2022-07-10 00:35:44,3,4.02,2.0,FR1,Pellet,Left,38,16,37,1.87,0
2022-07-10 00:36:12,3,4.02,,FR1,Poke,Left,38,17,37,,0
2022-07-10 00:44:15,3,4.02,,FR1,Poke,Left,39,17,37,,0
2022-07-10 00:44:17,3,4.02,1.0,FR1,Pellet,Left,39,17,38,0.98,0
2022-07-10 00:44:43,3,4.02,,FR1,Poke,Left,40,17,38,,0
2022-07-10 00:44:44,3,4.02,1.0,FR1,Pellet,Left,40,17,39,0.92,0
2022-07-10 00:46:16,3,4.02,,FR1,Poke,Left,41,17,39,,0
2022-07-10 00:46:19,3,4.01,1.0,FR1,Pellet,Left,41,17,40,1.29,0
2022-07-10 00:46:40,3,4.02,,FR1,Poke,Left,42,17,40,,0
2022-07-10 00:46:46,3,4.02,1.0,FR1,Pellet,Left,42,17,41,4.78,0
2022-07-10 01:15:30,3,4.02,,FR1,Poke,Left,43,17,41,,0
2022-07-10 01:15:33,3,4.01,,FR1,Poke,Left,44,17,41,,0
2022-07-10 01:15:36,3,4.02,2.0,FR1,Pellet,Left,44,17,42,3.5,0
2022-07-10 01:50:05,3,4.02,,FR1,Poke,Left,45,17,42,,0
2022-07-10 01:50:06,3,4.0,1.0,FR1,Pellet,Left,45,17,43,0.73,0
2022-07-10 01:50:44,3,4.02,,FR1,Poke,Left,46,17,43,,0
2022-07-10 01:50:45,3,4.01,1.0,FR1,Pellet,Left,46,17,44,0.6,0
2022-07-10 01:51:27,3,4.02,,FR1,Poke,Left,47,17,44,,0
2022-07-10 01:51:28,3,4.02,1.0,FR1,Pellet,Left,47,17,45,0.73,0
2022-07-10 02:00:24,3,4.02,,FR1,Poke,Left,48,17,45,,0
2022-07-10 02:00:26,3,4.02,1.0,FR1,Pellet,Left,48,17,46,0.6,0
2022-07-10 02:00:49,3,4.01,,FR1,Poke,Left,49,17,46,,0
2022-07-10 02:00:50,3,4.02,1.0,FR1,Pellet,Left,49,17,47,0.35,0
2022-07-10 02:01:09,3,4.02,,FR1,Poke,Left,50,17,47,,0
