MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-27 15:51:09,8,3.99,0,FR1,Poke,Left,1,0,0,,0,FR1
2020-07-27 15:54:57,8,3.98,2,FR1,Pellet,Left,1,0,1,0.0,0,FR1
2020-07-27 17:40:38,8,3.98,0,FR1,Poke,Left,2,0,1,,0,FR1
2020-07-27 17:41:07,8,3.98,1,FR1,Pellet,Left,2,0,2,26.0,0,FR1
2020-07-27 17:51:23,8,3.98,0,FR1,Poke,Left,3,0,2,,0,FR1
2020-07-27 17:51:27,8,3.98,1,FR1,Pellet,Left,3,0,3,2.0,0,FR1
2020-07-27 19:19:48,8,3.98,0,FR1,Poke,Left,4,0,3,,0,FR1
2020-07-27 19:19:52,8,3.97,1,FR1,Pellet,Left,4,0,4,1.0,0,FR1
2020-07-27 20:32:54,8,3.97,0,FR1,Poke,Left,5,0,4,,0,FR1
2020-07-27 20:33:00,8,3.96,2,FR1,Pellet,Left,5,0,5,2.0,0,FR1
2020-07-27 20:34:27,8,3.96,0,FR1,Poke,Left,6,0,5,,0,FR1
2020-07-27 20:34:34,8,3.96,4,FR1,Pellet,Left,6,0,6,1.0,0,FR1
2020-07-27 20:36:30,8,3.96,0,FR1,Poke,Left,7,0,6,,0,FR1
2020-07-27 20:36:33,8,3.96,1,FR1,Pellet,Left,7,0,7,1.0,0,FR1
2020-07-27 20:39:02,8,3.96,0,FR1,Poke,Left,7,1,7,,0,FR1
2020-07-27 20:39:52,8,3.96,0,FR1,Poke,Left,7,2,7,,0,FR1
2020-07-27 20:40:06,8,3.96,0,FR1,Poke,Left,8,2,7,,0,FR1
2020-07-27 20:40:09,8,3.96,1,FR1,Pellet,Left,8,2,8,1.0,0,FR1
2020-07-27 20:41:37,8,3.96,0,FR1,Poke,Left,9,2,8,,0,FR1
2020-07-27 20:41:42,8,3.96,2,FR1,Pellet,Left,9,2,9,1.0,0,FR1
2020-07-27 20:42:01,8,3.96,0,FR1,Poke,Left,10,2,9,,0,FR1
2020-07-27 20:42:04,8,3.96,1,FR1,Pellet,Left,10,2,10,1.0,0,FR1
2020-07-27 20:42:37,8,3.96,0,FR1,Poke,Left,11,2,10,,0,FR1
2020-07-27 20:42:40,8,3.96,1,FR1,Pellet,Left,11,2,11,1.0,0,FR1
2020-07-27 20:43:12,8,3.96,0,FR1,Poke,Left,12,2,11,,0,FR1
2020-07-27 20:43:15,8,3.96,1,FR1,Pellet,Left,12,2,12,1.0,0,FR1
2020-07-27 20:44:12,8,3.96,0,FR1,Poke,Left,13,2,12,,0,FR1
2020-07-27 20:44:16,8,3.96,1,FR1,Pellet,Left,13,2,13,1.0,0,FR1
2020-07-27 20:44:36,8,3.96,0,FR1,Poke,Left,14,2,13,,0,FR1
2020-07-27 20:44:39,8,3.97,1,FR1,Pellet,Left,14,2,14,1.0,0,FR1
2020-07-27 20:45:09,8,3.97,0,FR1,Poke,Left,15,2,14,,0,FR1
2020-07-27 20:45:14,8,3.96,2,FR1,Pellet,Left,15,2,15,1.0,0,FR1
2020-07-27 20:45:35,8,3.96,0,FR1,Poke,Left,16,2,15,,0,FR1
2020-07-27 20:45:38,8,3.96,1,FR1,Pellet,Left,16,2,16,1.0,0,FR1
2020-07-27 20:46:17,8,3.96,0,FR1,Poke,Left,17,2,16,,0,FR1
2020-07-27 20:46:20,8,3.96,1,FR1,Pellet,Left,17,2,17,1.0,0,FR1
2020-07-27 20:46:37,8,3.96,0,FR1,Poke,Left,18,2,17,,0,FR1
2020-07-27 20:46:40,8,3.96,1,FR1,Pellet,Left,18,2,18,1.0,0,FR1
2020-07-27 20:47:08,8,3.96,0,FR1,Poke,Left,19,2,18,,0,FR1
2020-07-27 20:47:10,8,3.96,1,FR1,Pellet,Left,19,2,19,0.0,0,FR1
2020-07-27 20:47:36,8,3.96,0,FR1,Poke,Left,20,2,19,,0,FR1
2020-07-27 20:47:39,8,3.96,1,FR1,Pellet,Left,20,2,20,1.0,0,FR1
2020-07-27 21:21:09,8,3.96,0,FR1,Poke,Left,21,2,20,,0,FR1
2020-07-27 21:21:12,8,3.96,1,FR1,Pellet,Left,21,2,21,1.0,0,FR1
2020-07-27 21:21:52,8,3.96,0,FR1,Poke,Left,22,2,21,,0,FR1
2020-07-27 21:21:55,8,3.96,1,FR1,Pellet,Left,22,2,22,1.0,0,FR1
2020-07-27 21:22:16,8,3.96,0,FR1,Poke,Left,23,2,22,,0,FR1
2020-07-27 21:22:21,8,3.96,2,FR1,Pellet,Left,23,2,23,1.0,0,FR1
2020-07-27 21:22:43,8,3.96,0,FR1,Poke,Left,24,2,23,,0,FR1
2020-07-27 21:22:46,8,3.96,1,FR1,Pellet,Left,24,2,24,1.0,0,FR1
2020-07-27 21:23:12,8,3.96,0,FR1,Poke,Left,25,2,24,,0,FR1
2020-07-27 21:23:15,8,3.96,1,FR1,Pellet,Left,25,2,25,1.0,0,FR1
2020-07-27 21:23:39,8,3.96,0,FR1,Poke,Left,26,2,25,,0,FR1
2020-07-27 21:23:42,8,3.96,1,FR1,Pellet,Left,26,2,26,0.0,0,FR1
2020-07-27 21:23:59,8,3.96,0,FR1,Poke,Left,27,2,26,,0,FR1
2020-07-27 21:24:02,8,3.96,1,FR1,Pellet,Left,27,2,27,1.0,0,FR1
2020-07-27 21:24:25,8,3.96,0,FR1,Poke,Left,28,2,27,,0,FR1
2020-07-27 21:24:30,8,3.96,2,FR1,Pellet,Left,28,2,28,1.0,0,FR1
2020-07-27 21:24:45,8,3.96,0,FR1,Poke,Left,29,2,28,,0,FR1
2020-07-27 21:24:51,8,3.96,2,FR1,Pellet,Left,29,2,29,1.0,0,FR1
2020-07-27 21:25:46,8,3.96,0,FR1,Poke,Left,30,2,29,,0,FR1
2020-07-27 21:25:51,8,3.96,2,FR1,Pellet,Left,30,2,30,1.0,0,FR1
2020-07-27 21:26:09,8,3.96,0,FR1,Poke,Left,31,2,30,,0,FR1
2020-07-27 21:26:24,8,3.96,2,FR1,Pellet,Left,31,2,31,12.0,0,FR1
2020-07-27 21:27:03,8,3.96,0,FR1,Poke,Left,32,2,31,,0,FR1
2020-07-27 21:27:15,8,3.96,5,FR1,Pellet,Left,32,2,32,1.0,0,FR1
2020-07-27 21:27:29,8,3.96,0,FR1,Poke,Left,33,2,32,,0,FR1
2020-07-27 21:27:33,8,3.96,1,FR1,Pellet,Left,33,2,33,0.0,0,FR1
2020-07-27 21:27:55,8,3.96,0,FR1,Poke,Left,34,2,33,,0,FR1
2020-07-27 21:27:58,8,3.96,1,FR1,Pellet,Left,34,2,34,1.0,0,FR1
2020-07-27 21:29:05,8,3.96,0,FR1,Poke,Left,35,2,34,,0,FR1
2020-07-27 21:29:08,8,3.96,1,FR1,Pellet,Left,35,2,35,1.0,0,FR1
2020-07-27 21:29:59,8,3.96,0,FR1,Poke,Left,36,2,35,,0,FR1
2020-07-27 21:30:02,8,3.96,1,FR1,Pellet,Left,36,2,36,0.0,0,FR1
2020-07-27 21:30:21,8,3.96,0,FR1,Poke,Left,37,2,36,,0,FR1
2020-07-27 21:30:24,8,3.96,1,FR1,Pellet,Left,37,2,37,1.0,0,FR1
2020-07-27 21:31:05,8,3.96,0,FR1,Poke,Left,38,2,37,,0,FR1
2020-07-27 21:31:09,8,3.96,2,FR1,Pellet,Left,38,2,38,1.0,0,FR1
2020-07-27 21:31:48,8,3.96,0,FR1,Poke,Left,39,2,38,,0,FR1
2020-07-27 21:31:51,8,3.96,1,FR1,Pellet,Left,39,2,39,1.0,0,FR1
2020-07-27 21:44:14,8,3.96,0,FR1,Poke,Left,40,2,39,,0,FR1
2020-07-27 21:44:34,8,3.96,3,FR1,Pellet,Left,40,2,40,14.0,0,FR1
2020-07-27 21:45:16,8,3.96,0,FR1,Poke,Left,41,2,40,,0,FR1
2020-07-27 21:45:34,8,3.96,4,FR1,Pellet,Left,41,2,41,10.0,0,FR1
2020-07-27 21:46:23,8,3.96,0,FR1,Poke,Left,42,2,41,,0,FR1
2020-07-27 21:46:46,8,3.96,2,FR1,Pellet,Left,42,2,42,20.0,0,FR1
2020-07-27 21:47:41,8,3.96,0,FR1,Poke,Left,43,2,42,,0,FR1
2020-07-27 21:48:18,8,3.96,2,FR1,Pellet,Left,43,2,43,34.0,0,FR1
2020-07-27 21:49:12,8,3.96,0,FR1,Poke,Left,44,2,43,,0,FR1
2020-07-27 21:49:17,8,3.96,2,FR1,Pellet,Left,44,2,44,1.0,0,FR1
2020-07-27 21:49:45,8,3.96,0,FR1,Poke,Left,45,2,44,,0,FR1
2020-07-27 21:49:48,8,3.96,1,FR1,Pellet,Left,45,2,45,1.0,0,FR1
2020-07-27 21:50:10,8,3.96,0,FR1,Poke,Left,46,2,45,,0,FR1
2020-07-27 21:50:13,8,3.96,1,FR1,Pellet,Left,46,2,46,1.0,0,FR1
2020-07-27 22:02:51,8,3.96,0,FR1,Poke,Left,47,2,46,,0,FR1
2020-07-27 22:02:56,8,3.96,2,FR1,Pellet,Left,47,2,47,1.0,0,FR1
2020-07-27 22:03:21,8,3.96,0,FR1,Poke,Left,48,2,47,,0,FR1
2020-07-27 22:03:24,8,3.96,1,FR1,Pellet,Left,48,2,48,0.0,0,FR1
2020-07-27 22:04:06,8,3.96,0,FR1,Poke,Left,49,2,48,,0,FR1
2020-07-27 22:04:09,8,3.96,1,FR1,Pellet,Left,49,2,49,1.0,0,FR1
2020-07-27 22:04:40,8,3.96,0,FR1,Poke,Left,50,2,49,,0,FR1
2020-07-27 22:04:44,8,3.96,2,FR1,Pellet,Left,50,2,50,0.0,0,FR1
2020-07-27 22:05:13,8,3.96,0,FR1,Poke,Left,51,2,50,,0,FR1
2020-07-27 22:05:17,8,3.96,1,FR1,Pellet,Left,51,2,51,2.0,0,FR1
2020-07-27 22:06:21,8,3.96,0,FR1,Poke,Left,52,2,51,,0,FR1
2020-07-27 22:06:24,8,3.96,1,FR1,Pellet,Left,52,2,52,0.0,0,FR1
2020-07-27 22:07:10,8,3.96,0,FR1,Poke,Left,53,2,52,,0,FR1
2020-07-27 22:07:13,8,3.96,1,FR1,Pellet,Left,53,2,53,1.0,0,FR1
2020-07-27 22:07:43,8,3.96,0,FR1,Poke,Left,54,2,53,,0,FR1
2020-07-27 22:07:52,8,3.96,2,FR1,Pellet,Left,54,2,54,6.0,0,FR1
2020-07-27 22:08:54,8,3.96,0,FR1,Poke,Left,55,2,54,,0,FR1
2020-07-27 22:08:57,8,3.96,1,FR1,Pellet,Left,55,2,55,0.0,0,FR1
2020-07-27 22:09:12,8,3.96,0,FR1,Poke,Left,56,2,55,,0,FR1
2020-07-27 22:09:16,8,3.96,1,FR1,Pellet,Left,56,2,56,0.0,0,FR1
2020-07-27 22:30:45,8,3.96,0,FR1,Poke,Left,57,2,56,,0,FR1
2020-07-27 22:30:48,8,3.96,1,FR1,Pellet,Left,57,2,57,1.0,0,FR1
2020-07-27 22:31:20,8,3.96,0,FR1,Poke,Left,58,2,57,,0,FR1
2020-07-27 22:31:37,8,3.96,3,FR1,Pellet,Left,58,2,58,11.0,0,FR1
2020-07-27 22:32:17,8,3.96,0,FR1,Poke,Left,59,2,58,,0,FR1
2020-07-27 22:32:20,8,3.96,1,FR1,Pellet,Left,59,2,59,0.0,0,FR1
2020-07-27 22:32:57,8,3.96,0,FR1,Poke,Left,60,2,59,,0,FR1
2020-07-27 22:33:00,8,3.96,1,FR1,Pellet,Left,60,2,60,0.0,0,FR1
2020-07-27 22:33:25,8,3.96,0,FR1,Poke,Left,61,2,60,,0,FR1
2020-07-27 22:33:30,8,3.96,2,FR1,Pellet,Left,61,2,61,2.0,0,FR1
2020-07-27 22:34:02,8,3.96,0,FR1,Poke,Left,62,2,61,,0,FR1
2020-07-27 22:34:05,8,3.96,1,FR1,Pellet,Left,62,2,62,1.0,0,FR1
