MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/4/2022 13:53:31,1.12.0,Free_feed,2,3.82,,1,Right,Left,0,1,0,0,,,0.68
4/4/2022 13:58:04,1.12.0,Free_feed,2,3.82,,1,Right,Left,0,2,0,0,,,0.05
4/4/2022 13:59:10,1.12.0,Free_feed,2,3.82,,1,Left,Left,1,2,0,0,,,0.18
4/4/2022 13:59:22,1.12.0,Free_feed,2,3.82,3.0,1,Pellet,Left,1,2,1,0,7.42,,
4/4/2022 14:06:01,1.12.0,Free_feed,2,3.82,,1,Left,Left,2,2,1,0,,,0.28
4/4/2022 14:06:03,1.12.0,Free_feed,2,3.81,1.0,1,Pellet,Left,2,2,2,0,0.79,401.0,
4/4/2022 14:11:16,1.12.0,Free_feed,2,3.82,,1,Left,Left,3,2,2,0,,,0.09
4/4/2022 14:11:17,1.12.0,Free_feed,2,3.82,1.0,1,Pellet,Left,3,2,3,0,0.55,314.0,
4/4/2022 14:12:19,1.12.0,Free_feed,2,3.82,,1,Left,Left,4,2,3,0,,,0.22
4/4/2022 14:12:21,1.12.0,Free_feed,2,3.81,2.0,1,Pellet,Left,4,2,4,0,0.61,64.0,
4/4/2022 14:22:41,1.12.0,Free_feed,2,3.81,,1,Right,Left,4,3,4,0,,,0.03
4/4/2022 14:23:46,1.12.0,Free_feed,2,3.82,,1,Left,Left,5,3,4,0,,,1.32
4/4/2022 14:23:47,1.12.0,Free_feed,2,3.82,2.0,1,Pellet,Left,5,3,5,0,0.06,686.0,
4/4/2022 14:24:24,1.12.0,Free_feed,2,3.82,,1,Right,Left,5,4,5,0,,,0.08
4/4/2022 14:36:17,1.12.0,Free_feed,2,3.82,,1,Left,Left,6,4,5,0,,,0.66
4/4/2022 14:36:19,1.12.0,Free_feed,2,3.82,1.0,1,Pellet,Left,6,4,6,0,1.10,752.0,
4/4/2022 14:36:45,1.12.0,Free_feed,2,3.81,,1,Right,Left,6,5,6,0,,,0.02
4/4/2022 14:36:48,1.12.0,Free_feed,2,3.82,,1,Right,Left,6,6,6,0,,,0.15
4/4/2022 14:36:49,1.12.0,Free_feed,2,3.82,,1,Right,Left,6,7,6,0,,,0.13
4/4/2022 14:36:53,1.12.0,Free_feed,2,3.82,,1,Left,Left,7,7,6,0,,,0.04
4/4/2022 14:36:56,1.12.0,Free_feed,2,3.82,1.0,1,Pellet,Left,7,7,7,0,1.89,37.0,
4/4/2022 14:37:20,1.12.0,Free_feed,2,3.82,,1,Left,Left,8,7,7,0,,,0.85
4/4/2022 14:37:22,1.12.0,Free_feed,2,3.81,2.0,1,Pellet,Left,8,7,8,0,0.67,26.0,
4/4/2022 14:37:48,1.12.0,Free_feed,2,3.79,,1,Left,Left,9,7,8,0,,,0.22
4/4/2022 14:37:49,1.12.0,Free_feed,2,3.82,2.0,1,Pellet,Left,9,7,9,0,0.49,27.0,
4/4/2022 14:38:13,1.12.0,Free_feed,2,3.82,,1,Left,Left,10,7,9,0,,,0.07
4/4/2022 14:38:15,1.12.0,Free_feed,2,3.82,2.0,1,Pellet,Left,10,7,10,0,0.24,26.0,
4/4/2022 14:38:42,1.12.0,Free_feed,2,3.82,,1,Left,Left,11,7,10,0,,,0.16
4/4/2022 14:38:43,1.12.0,Free_feed,2,3.82,2.0,1,Pellet,Left,11,7,11,0,0.55,28.0,
4/4/2022 15:07:47,1.12.0,Free_feed,2,3.82,,1,Left,Left,12,7,11,0,,,0.04
4/4/2022 15:07:52,1.12.0,Free_feed,2,3.82,2.0,1,Pellet,Left,12,7,12,0,3.43,1748.0,
4/4/2022 15:25:48,1.12.0,Free_feed,2,3.82,,1,Left,Left,13,7,12,0,,,0.0
4/4/2022 15:25:49,1.12.0,Free_feed,2,3.81,2.0,1,Pellet,Left,13,7,13,0,0.85,1078.0,
4/4/2022 15:26:24,1.12.0,Free_feed,2,3.82,,1,Left,Left,14,7,13,0,,,0.25
4/4/2022 15:26:25,1.12.0,Free_feed,2,3.81,1.0,1,Pellet,Left,14,7,14,0,0.55,36.0,
4/4/2022 15:26:48,1.12.0,Free_feed,2,3.82,,1,Left,Left,15,7,14,0,,,0.09
4/4/2022 15:26:49,1.12.0,Free_feed,2,3.81,1.0,1,Pellet,Left,15,7,15,0,0.55,24.0,
4/4/2022 15:27:12,1.12.0,Free_feed,2,3.82,,1,Left,Left,16,7,15,0,,,0.03
4/4/2022 15:27:34,1.12.0,Free_feed,2,3.82,1.0,1,Pellet,Left,16,7,16,0,21.78,45.0,
4/4/2022 15:28:02,1.12.0,Free_feed,2,3.82,,1,Left,Left,17,7,16,0,,,0.08
