MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/10/2022 9:34:00,1.12.0,FR1,3,4.00,nan,1,Left,Left,1,0,0,0,nan,nan,0.68
5/10/2022 9:34:02,1.12.0,FR1,3,4.01,1,1,Pellet,Left,1,0,1,0,1.42,nan,nan
5/10/2022 9:47:54,1.12.0,FR1,3,4.00,nan,1,Right,Left,1,1,1,0,nan,nan,0.39
5/10/2022 9:49:31,1.12.0,FR1,3,4.00,nan,1,Left,Left,2,1,1,0,nan,nan,0.06
5/10/2022 9:49:52,1.12.0,FR1,3,4.00,1,1,Pellet,Left,2,1,2,0,20.44,950,nan
5/10/2022 11:03:47,1.12.0,FR1,3,4.00,nan,1,Left,Left,3,1,2,0,nan,nan,0.43
5/10/2022 11:03:50,1.12.0,FR1,3,4.00,1,1,Pellet,Left,3,1,3,0,1.77,4438,nan
5/10/2022 11:04:34,1.12.0,FR1,3,4.00,nan,1,Right,Left,3,2,3,0,nan,nan,0.27
5/10/2022 11:15:51,1.12.0,FR1,3,4.00,nan,1,Right,Left,3,3,3,0,nan,nan,0.63
5/10/2022 11:15:59,1.12.0,FR1,3,4.00,nan,1,Right,Left,3,4,3,0,nan,nan,0.12
5/10/2022 11:16:00,1.12.0,FR1,3,4.00,nan,1,Right,Left,3,5,3,0,nan,nan,0.00
5/10/2022 11:16:03,1.12.0,FR1,3,4.00,nan,1,Left,Left,4,5,3,0,nan,nan,0.34
5/10/2022 11:16:04,1.12.0,FR1,3,4.00,nan,1,LeftWithPellet,Left,5,5,3,0,nan,nan,0.17
5/10/2022 11:16:05,1.12.0,FR1,3,4.00,1,1,Pellet,Left,5,5,4,0,1.95,735,nan
5/10/2022 11:16:45,1.12.0,FR1,3,4.00,nan,1,Left,Left,6,5,4,0,nan,nan,0.81
5/10/2022 11:16:48,1.12.0,FR1,3,4.00,1,1,Pellet,Left,6,5,5,0,1.90,43,nan
5/10/2022 11:17:14,1.12.0,FR1,3,4.00,nan,1,Left,Left,7,5,5,0,nan,nan,0.19
5/10/2022 11:17:16,1.12.0,FR1,3,4.00,1,1,Pellet,Left,7,5,6,0,0.74,28,nan
5/10/2022 11:17:54,1.12.0,FR1,3,4.00,nan,1,Left,Left,8,5,6,0,nan,nan,0.38
5/10/2022 11:17:55,1.12.0,FR1,3,4.00,2,1,Pellet,Left,8,5,7,0,0.20,39,nan
5/10/2022 11:18:19,1.12.0,FR1,3,4.00,nan,1,Right,Left,8,6,7,0,nan,nan,0.45
5/10/2022 14:06:29,1.12.0,FR1,3,3.99,nan,1,Left,Left,9,6,7,0,nan,nan,0.02
5/10/2022 14:06:42,1.12.0,FR1,3,3.99,2,1,Pellet,Left,9,6,8,0,10.51,10127,nan
5/10/2022 14:12:09,1.12.0,FR1,3,4.00,nan,1,Left,Left,10,6,8,0,nan,nan,0.25
