MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 18:00:00,1.16.3,Free_feed,1,4.02,,0,Poke,Left,1,0,0,0,,,0.01,,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 18:19:44,1.16.3,Free_feed,1,4.02,,0,Poke,Left,1,0,0,0,,,0.01,,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 18:26:06,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,0,1,0,,,,,0 days 00:06:22.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:26:35,1.16.3,Free_feed,1,4.02,2.0,0,Pellet,Left,1,0,2,0,15.36,29.0,,,0 days 00:06:51.000000000,1.0,0.4833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:26:58,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,0,3,0,11.01,23.0,,,0 days 00:07:14.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:30:23,1.16.3,Free_feed,1,4.02,,0,Poke,Left,1,1,3,0,,,0.1,,0 days 00:10:39.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-14 18:44:26,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,1,4,0,,1048.0,,,0 days 00:24:42.000000000,1.0,17.466666666666665,0.0,0.0,,0,Free_feed
2023-09-14 18:45:15,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,5,0,37.04,49.0,,,0 days 00:25:31.000000000,1.0,0.8166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:45:41,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,6,0,14.2,26.0,,,0 days 00:25:57.000000000,1.0,0.4333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 18:46:08,1.16.3,Free_feed,1,4.02,2.0,0,Pellet,Left,1,1,7,0,15.12,27.0,,,0 days 00:26:24.000000000,1.0,0.45,0.0,0.0,,0,Free_feed
2023-09-14 19:11:04,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,8,0,,1496.0,,,0 days 00:51:20.000000000,1.0,24.933333333333337,0.0,0.0,,0,Free_feed
2023-09-14 19:11:32,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,1,9,0,16.09,28.0,,,0 days 00:51:48.000000000,1.0,0.4666666666666667,0.0,0.0,,0,Free_feed
2023-09-14 19:12:08,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,10,0,24.13,36.0,,,0 days 00:52:24.000000000,1.0,0.6,0.0,0.0,,0,Free_feed
2023-09-14 19:53:04,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,1,11,0,,2456.0,,,0 days 01:33:20.000000000,1.0,40.93333333333333,0.0,0.0,,0,Free_feed
2023-09-14 19:53:34,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,12,0,18.49,30.0,,,0 days 01:33:50.000000000,1.0,0.5,0.0,0.0,,0,Free_feed
2023-09-14 19:54:42,1.16.3,Free_feed,1,4.02,2.0,0,Pellet,Left,1,1,13,0,55.06,68.0,,,0 days 01:34:58.000000000,1.0,1.1333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:15:03,1.16.3,Free_feed,1,4.01,2.0,0,Pellet,Left,1,1,14,0,,1221.0,,,0 days 01:55:19.000000000,1.0,20.35,0.0,0.0,,0,Free_feed
2023-09-14 20:15:47,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,15,0,32.38,44.0,,,0 days 01:56:03.000000000,1.0,0.7333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:16:06,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,1,16,0,7.82,19.0,,,0 days 01:56:22.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:29:34,1.16.3,Free_feed,1,4.02,,0,Poke,Left,1,2,16,0,,,0.1,,0 days 02:09:50.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-14 20:41:15,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,2,17,0,,1509.0,,,0 days 02:21:31.000000000,1.0,25.15,0.0,0.0,,0,Free_feed
2023-09-14 20:46:00,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,2,18,0,,285.0,,,0 days 02:26:16.000000000,1.0,4.75,0.0,0.0,,0,Free_feed
