MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2023-08-05 18:00:00,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,0,0,1,0,Timed_out,,,
2023-08-05 19:40:20,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,0,0,1,0,Timed_out,,,
2023-08-05 19:40:35,1.16.3,Free_feed,14,4.03,2.0,0,Pellet,Left,0,0,2,0,0.67,15.0,,
2023-08-05 19:40:50,1.16.3,Free_feed,14,4.03,2.0,0,Pellet,Left,0,0,3,0,0.91,15.0,,
2023-08-05 19:46:30,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,0,0,4,0,Timed_out,340.0,,
2023-08-05 20:28:47,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,0,0,5,0,Timed_out,2537.0,,
2023-08-05 20:29:18,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,0,0,6,0,19.43,31.0,,
2023-08-05 20:43:10,1.16.3,Free_feed,14,4.04,,0,RightWithPellet,Left,0,1,6,0,,,0.01,
2023-08-05 20:44:37,1.16.3,Free_feed,14,4.05,,0,LeftWithPellet,Left,1,1,6,0,,,0.86,
2023-08-05 20:46:32,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,1,7,0,Timed_out,1034.0,,
2023-08-05 20:46:41,1.16.3,Free_feed,14,4.05,,0,RightDuringDispense,Left,1,2,7,0,,,0.28,
2023-08-05 20:46:43,1.16.3,Free_feed,14,4.04,2.0,0,Pellet,Left,1,2,8,0,0.06,11.0,,
2023-08-05 20:46:53,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,9,0,1.15,10.0,,
2023-08-05 20:47:11,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,10,0,5.68,18.0,,
2023-08-05 20:47:28,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,1,2,11,0,5.19,17.0,,
2023-08-05 20:47:45,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,12,0,4.64,17.0,,
2023-08-05 20:48:03,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,13,0,5.32,17.0,,
2023-08-05 20:48:22,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,1,2,14,0,8.26,20.0,,
2023-08-05 20:48:42,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,15,0,7.89,20.0,,
2023-08-05 20:49:03,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,1,2,16,0,8.69,21.0,,
2023-08-05 20:49:25,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,17,0,9.91,22.0,,
2023-08-05 20:49:44,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,1,2,18,0,6.85,19.0,,
2023-08-05 20:58:47,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,19,0,Timed_out,543.0,,
2023-08-05 21:17:44,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,1,2,20,0,Timed_out,1137.0,,
2023-08-05 21:18:17,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,1,2,21,0,21.27,33.0,,
2023-08-05 21:18:33,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,1,2,22,0,4.64,16.0,,
2023-08-05 21:18:48,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,1,2,23,0,2.56,15.0,,
2023-08-05 21:19:05,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,1,2,24,0,5.62,17.0,,
2023-08-05 21:19:24,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,1,2,25,0,6.91,19.0,,
2023-08-05 21:26:26,1.16.3,Free_feed,14,4.04,,0,RightWithPellet,Left,1,3,25,0,,,0.49,
2023-08-05 21:26:27,1.16.3,Free_feed,14,4.04,,0,RightWithPellet,Left,1,4,25,0,,,0.49,
2023-08-05 21:30:56,1.16.3,Free_feed,14,4.03,,0,RightWithPellet,Left,1,5,25,0,,,0.02,
2023-08-05 21:37:41,1.16.3,Free_feed,14,4.03,,0,LeftWithPellet,Left,2,5,25,0,,,0.19,
2023-08-05 21:40:17,1.16.3,Free_feed,14,4.03,,0,LeftWithPellet,Left,3,5,25,0,,,0.03,
2023-08-05 22:12:36,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,26,0,Timed_out,3192.0,,
2023-08-05 22:12:49,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,3,5,27,0,1.83,13.0,,
2023-08-05 22:13:03,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,3,5,28,0,1.89,14.0,,
2023-08-05 22:13:19,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,3,5,29,0,3.05,16.0,,
2023-08-05 22:13:34,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,30,0,3.54,15.0,,
2023-08-05 22:13:50,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,31,0,4.89,16.0,,
2023-08-05 22:14:07,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,32,0,4.58,17.0,,
2023-08-05 22:14:23,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,33,0,4.15,16.0,,
2023-08-05 22:14:40,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,34,0,5.32,17.0,,
2023-08-05 22:14:56,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,35,0,4.40,16.0,,
2023-08-05 22:15:15,1.16.3,Free_feed,14,4.03,1.0,0,Pellet,Left,3,5,36,0,7.52,19.0,,
2023-08-05 22:15:32,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,3,5,37,0,5.25,17.0,,
2023-08-05 22:27:42,1.16.3,Free_feed,14,4.04,1.0,0,Pellet,Left,3,5,38,0,Timed_out,730.0,,
2023-08-05 22:31:57,1.16.3,Free_feed,14,4.05,1.0,0,Pellet,Left,3,5,39,0,Timed_out,255.0,,
