MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/24/2023 15:43:32,1.17.0,Free_feed,1,4.2,11,1,Pellet,Left,0,0,1,0,14.33,,
3/24/2023 16:38:21,1.17.0,Free_feed,1,4.2,4,1,Pellet,Left,0,0,2,0,Timed_out,3290.0,
3/24/2023 16:38:22,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,3,0,0.06,1.0,
3/24/2023 16:40:38,1.17.0,Free_feed,1,4.2,3,1,Pellet,Left,0,0,4,0,Timed_out,136.0,
3/24/2023 16:52:06,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,5,0,Timed_out,688.0,
3/24/2023 16:52:07,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,6,0,0.06,1.0,
3/24/2023 16:52:21,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,7,0,7.22,14.0,
3/24/2023 17:12:54,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,8,0,Timed_out,1233.0,
3/24/2023 17:13:46,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,9,0,44.73,52.0,
3/24/2023 17:13:47,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,10,0,0.06,1.0,
3/24/2023 17:24:46,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,11,0,Timed_out,659.0,
3/24/2023 17:25:28,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,12,0,35.25,42.0,
3/24/2023 17:37:36,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,13,0,Timed_out,728.0,
3/24/2023 17:38:03,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,14,0,22.82,27.0,
3/24/2023 17:38:04,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,15,0,0.06,1.0,
3/24/2023 17:51:12,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,16,0,Timed_out,788.0,
3/24/2023 17:54:22,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,17,0,Timed_out,189.0,
3/24/2023 17:54:23,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,18,0,0.48,2.0,
3/24/2023 18:06:00,1.17.0,Free_feed,1,4.19,2,1,Pellet,Left,0,0,19,0,Timed_out,697.0,
3/24/2023 18:07:19,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,20,0,Timed_out,79.0,
3/24/2023 18:07:20,1.17.0,Free_feed,1,4.2,1,1,Pellet,Left,0,0,21,0,0.06,1.0,
3/24/2023 18:33:32,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,22,0,Timed_out,1572.0,
3/24/2023 18:34:37,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,23,0,58.81,65.0,
3/24/2023 18:34:38,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,24,0,0.06,1.0,
3/24/2023 18:35:45,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,25,0,Timed_out,67.0,
3/24/2023 18:38:31,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,26,0,Timed_out,166.0,
3/24/2023 18:39:14,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,27,0,41.69,43.0,
3/24/2023 18:39:57,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,28,0,37.00,43.0,
3/24/2023 18:41:57,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,29,0,Timed_out,120.0,
3/24/2023 18:42:41,1.17.0,Free_feed,1,4.19,2,1,Pellet,Left,0,0,30,0,36.94,43.0,
3/24/2023 18:47:12,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,31,0,Timed_out,272.0,
3/24/2023 18:47:43,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,32,0,23.32,31.0,
3/24/2023 19:08:26,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,33,0,Timed_out,1243.0,
3/24/2023 19:09:05,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,34,0,32.14,39.0,
3/24/2023 19:33:36,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,35,0,Timed_out,1471.0,
3/24/2023 19:34:40,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,36,0,Timed_out,64.0,
3/24/2023 19:38:57,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,37,0,Timed_out,257.0,
3/24/2023 19:46:42,1.17.0,Free_feed,1,4.18,2,1,Pellet,Left,0,0,38,0,Timed_out,465.0,
3/24/2023 19:47:26,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,39,0,37.00,44.0,
3/24/2023 19:47:54,1.17.0,Free_feed,1,4.19,2,1,Pellet,Left,0,0,40,0,20.86,28.0,
3/24/2023 19:49:01,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,41,0,59.98,67.0,
3/24/2023 19:54:17,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,42,0,Timed_out,316.0,
3/24/2023 19:54:45,1.17.0,Free_feed,1,4.18,1,1,Pellet,Left,0,0,43,0,21.11,28.0,
3/24/2023 19:58:57,1.17.0,Free_feed,1,4.18,2,1,Pellet,Left,0,0,44,0,Timed_out,252.0,
3/24/2023 19:58:58,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,45,0,0.06,1.0,
3/24/2023 19:59:00,1.17.0,Free_feed,1,4.19,1,1,Pellet,Left,0,0,46,0,1.15,2.0,
