MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-21 21:49:06,1.9.0,Free_feed,1,3.8,3,1,Pellet,Left,0,0,1,0,Timed_out,,
2022-10-21 21:59:32,1.9.0,Free_feed,1,3.8,2,1,Pellet,Left,0,0,2,0,Timed_out,626.0,
2022-10-21 21:59:44,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,3,0,4.81,12.0,
2022-10-21 21:59:58,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,4,0,6.85,14.0,
2022-10-21 22:00:13,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,5,0,7.97,15.0,
2022-10-21 22:00:27,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,6,0,7.18,14.0,
2022-10-21 22:08:07,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,7,0,Timed_out,460.0,
2022-10-21 22:16:19,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,8,0,Timed_out,491.0,
2022-10-21 22:17:07,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,9,0,47.26,49.0,
2022-10-21 22:17:20,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,10,0,5.40,12.0,
2022-10-21 22:26:36,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,11,0,Timed_out,557.0,
2022-10-21 22:27:29,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,12,0,45.55,53.0,
2022-10-21 22:41:39,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,13,0,Timed_out,850.0,
2022-10-21 22:41:41,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,14,0,0.39,2.0,
2022-10-21 22:47:49,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,15,0,Timed_out,368.0,
2022-10-21 22:47:59,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,16,0,3.02,10.0,
2022-10-21 22:48:00,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,17,0,0.06,1.0,
2022-10-21 22:48:15,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,18,0,7.51,15.0,
2022-10-21 22:59:37,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,19,0,Timed_out,682.0,
2022-10-21 22:59:46,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,20,0,3.02,9.0,
2022-10-21 22:59:51,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,21,0,0.06,5.0,
2022-10-21 23:00:01,1.9.0,Free_feed,1,3.79,2,1,Pellet,Left,0,0,22,0,1.84,10.0,
2022-10-21 23:07:38,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,23,0,Timed_out,457.0,
2022-10-21 23:19:04,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,24,0,Timed_out,686.0,
2022-10-21 23:19:18,1.9.0,Free_feed,1,3.8,1,1,Pellet,Left,0,0,25,0,6.78,14.0,
2022-10-21 23:27:25,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,26,0,Timed_out,487.0,
2022-10-21 23:27:38,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,27,0,6.12,12.0,
2022-10-21 23:27:53,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,28,0,8.23,16.0,
2022-10-21 23:28:11,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,29,0,12.00,18.0,
2022-10-21 23:37:02,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,30,0,Timed_out,531.0,
2022-10-21 23:42:32,1.9.0,Free_feed,1,3.8,2,1,Pellet,Left,0,0,31,0,Timed_out,330.0,
2022-10-21 23:42:46,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,32,0,6.78,14.0,
2022-10-21 23:43:00,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,33,0,6.12,13.0,
2022-10-21 23:43:14,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,34,0,13.45,15.0,
2022-10-21 23:43:28,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,35,0,6.12,14.0,
2022-10-21 23:54:23,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,36,0,Timed_out,655.0,
2022-10-21 23:54:36,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,37,0,5.99,12.0,
2022-10-21 23:54:50,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,38,0,7.84,15.0,
2022-10-22 00:02:40,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,39,0,Timed_out,470.0,
2022-10-22 00:02:54,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,40,0,7.64,14.0,
2022-10-22 00:03:07,1.9.0,Free_feed,1,3.79,2,1,Pellet,Left,0,0,41,0,6.32,13.0,
2022-10-22 00:03:22,1.9.0,Free_feed,1,3.78,1,1,Pellet,Left,0,0,42,0,8.57,15.0,
2022-10-22 00:03:37,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,43,0,8.17,15.0,
2022-10-22 00:09:55,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,44,0,Timed_out,378.0,
2022-10-22 00:10:09,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,45,0,11.60,14.0,
2022-10-22 00:10:23,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,46,0,7.71,14.0,
2022-10-22 00:18:38,1.9.0,Free_feed,1,3.79,1,1,Pellet,Left,0,0,47,0,Timed_out,495.0,
